Precinct,Ballot Style,source_file,rank1,rank2,rank3,rank4,numSeats,numCands
AD: 29 ED: 052,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,skipped,skipped,skipped,1,4
AD: 29 ED: 060,DEM ABS Ballot Style 48,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 060,DEM ABS Ballot Style 48,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 060,DEM ABS Ballot Style 48,2021P4V1_ABS_DEM,Nancy J. Martinez,Selvena N. Brooks-Powers,Nicole S. Lee,skipped,1,4
AD: 29 ED: 060,DEM ABS Ballot Style 48,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 060,DEM ABS Ballot Style 48,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 060,DEM ABS Ballot Style 48,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 060,DEM ABS Ballot Style 48,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 060,DEM ABS Ballot Style 48,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 060,DEM ABS Ballot Style 48,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 060,DEM ABS Ballot Style 48,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 060,DEM ABS Ballot Style 48,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 060,DEM ABS Ballot Style 48,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
