Precinct,Ballot Style,source_file,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
AD: 71 ED: 046,DEM ABS Ballot Style 53,2021P1V1_ABS,Luis Tejada,skipped,skipped,skipped,skipped,1,13
AD: 69 ED: 056,DEM ABS Ballot Style 40,2021P1V1_ABS,Carmen R. Quinones,skipped,skipped,skipped,skipped,1,13
AD: 69 ED: 056,DEM ABS Ballot Style 40,2021P1V1_ABS,Stacy R. Lynch,Keith L. Harris,Maria Ordonez,Daniel M. Cohen,Raymond Sanchez Jr.,1,13
AD: 69 ED: 056,DEM ABS Ballot Style 40,2021P1V1_ABS,Carmen R. Quinones,skipped,skipped,skipped,skipped,1,13
AD: 69 ED: 056,DEM ABS Ballot Style 40,2021P1V1_ABS,Carmen R. Quinones,Miguel Estrella,Corey Ortega,skipped,skipped,1,13
AD: 69 ED: 056,DEM ABS Ballot Style 40,2021P1V1_ABS,Stacy R. Lynch,Keith L. Harris,Daniel M. Cohen,Luis Tejada,Carmen R. Quinones,1,13
AD: 69 ED: 056,DEM ABS Ballot Style 40,2021P1V1_ABS,Corey Ortega,Miguel Estrella,Maria Ordonez,skipped,skipped,1,13
AD: 69 ED: 056,DEM ABS Ballot Style 40,2021P1V1_ABS,Stacy R. Lynch,skipped,skipped,skipped,skipped,1,13
AD: 70 ED: 064,DEM ABS Ballot Style 48,2021P1V1_ABS,Shaun Abreu,Stacy R. Lynch,skipped,skipped,skipped,1,13
AD: 69 ED: 095,DEM ABS Ballot Style 43,2021P1V1_ABS,Maria Ordonez,Daniel M. Cohen,Corey Ortega,Stacy R. Lynch,Shaun Abreu,1,13
AD: 69 ED: 095,DEM ABS Ballot Style 43,2021P1V1_ABS,Maria Ordonez,Daniel M. Cohen,Corey Ortega,Stacy R. Lynch,Shaun Abreu,1,13
AD: 69 ED: 083,DEM ABS Ballot Style 41,2021P1V1_ABS,Shaun Abreu,skipped,skipped,skipped,skipped,1,13
AD: 69 ED: 083,DEM ABS Ballot Style 41,2021P1V1_ABS,Carmen R. Quinones,Daniel M. Cohen,skipped,skipped,skipped,1,13
AD: 69 ED: 083,DEM ABS Ballot Style 41,2021P1V1_ABS,Maria Ordonez,Lena Melendez,Daniel M. Cohen,Stacy R. Lynch,Corey Ortega,1,13
AD: 69 ED: 083,DEM ABS Ballot Style 41,2021P1V1_ABS,Lena Melendez,Corey Ortega,Maria Ordonez,Daniel M. Cohen,Marti Gould  Allen-Cummings,1,13
AD: 69 ED: 083,DEM ABS Ballot Style 41,2021P1V1_ABS,Maria Ordonez,Marti Gould  Allen-Cummings,Shaun Abreu,Stacy R. Lynch,Luis Tejada,1,13
AD: 69 ED: 083,DEM ABS Ballot Style 41,2021P1V1_ABS,Shaun Abreu,Daniel M. Cohen,Keith L. Harris,Stacy R. Lynch,Raymond Sanchez Jr.,1,13
AD: 69 ED: 083,DEM ABS Ballot Style 41,2021P1V1_ABS,Stacy R. Lynch,Daniel M. Cohen,skipped,skipped,skipped,1,13
AD: 69 ED: 083,DEM ABS Ballot Style 41,2021P1V1_ABS,Shaun Abreu,Keith L. Harris,Stacy R. Lynch,Maria Ordonez,Corey Ortega,1,13
AD: 69 ED: 083,DEM ABS Ballot Style 41,2021P1V1_ABS,Stacy R. Lynch,skipped,skipped,skipped,skipped,1,13
AD: 69 ED: 083,DEM ABS Ballot Style 41,2021P1V1_ABS,Maria Ordonez,skipped,skipped,skipped,skipped,1,13
AD: 69 ED: 083,DEM ABS Ballot Style 41,2021P1V1_ABS,Shaun Abreu,Maria Ordonez,Marti Gould  Allen-Cummings,Daniel M. Cohen,Raymond Sanchez Jr.,1,13
AD: 69 ED: 083,DEM ABS Ballot Style 41,2021P1V1_ABS,Shaun Abreu,Daniel M. Cohen,Maria Ordonez,skipped,skipped,1,13
AD: 69 ED: 083,DEM ABS Ballot Style 41,2021P1V1_ABS,Shaun Abreu,skipped,skipped,skipped,skipped,1,13
AD: 69 ED: 083,DEM ABS Ballot Style 41,2021P1V1_ABS,Marti Gould  Allen-Cummings,skipped,skipped,skipped,skipped,1,13
AD: 69 ED: 083,DEM ABS Ballot Style 41,2021P1V1_ABS,Carmen R. Quinones,Maria Ordonez,skipped,skipped,skipped,1,13
