file,numCands,irv,plurality,plurality_runoff,borda_pm,borda_om_no_uwi,borda_avg_no_uwi,borda_trunc_points_scheme,condorcet,minimax,smith_set,bucklin
"american/processed_data/Eastpointe, MI/Eastpointe_11022021_CityCouncil.csv",6,['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],ERROR,['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.']
"american/processed_data/Eastpointe, MI/Eastpointe_11022021_CityCouncil.csv",6,['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],ERROR,['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.']
"american/processed_data/Eastpointe, MI/Eastpointe_11052019_CityCouncil.csv",5,['Sarah A. Lucido'],['Sarah A. Lucido'],ERROR,['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido']
american/processed_data/St Louis Park/StLouisPark_11022021_CityCouncilWard3.csv,4,['Sue Budd'],['Sue Budd'],ERROR,['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd']
american/processed_data/St Louis Park/StLouisPark_11022021_CityCouncilWard2.csv,3,['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag']
american/processed_data/St Louis Park/StLouisPark_11022021_CityCouncilWard1.csv,2,['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog']
american/processed_data/St Louis Park/StLouisPark_11022021_CityCouncilWard4.csv,2,['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen']
american/processed_data/Alaska/Alaska_11082022_HouseDistrict23.csv,3,"['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']"
american/processed_data/Alaska/Alaska_11082022_HouseDistrict37.csv,2,"['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']"
american/processed_data/Alaska/Alaska_11082022_HouseDistrict36.csv,3,"['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']"
