Ballot Style,Cast Vote Record,Precinct,rank1,rank2,rank3,rank4,numSeats,numCands
"Eastpointe, Pct 3",81592,"Eastpointe, Pct 3",Cardi DeMonaco Jr.,Rob Baker,skipped,skipped,2,6
"Eastpointe, Pct 2",81593,"Eastpointe, Pct 2",Cardi DeMonaco Jr.,skipped,skipped,skipped,2,6
"Eastpointe, Pct 5",81594,"Eastpointe, Pct 5",Cardi DeMonaco Jr.,Michael Jones,Sylvia L. Moore,Rob Baker,2,6
"Eastpointe, Pct 5",81595,"Eastpointe, Pct 5",Cardi DeMonaco Jr.,Michael Jones,skipped,skipped,2,6
"Eastpointe, Pct 2",81596,"Eastpointe, Pct 2",Tonia Gladney,Shenita Lloyd,Sylvia L. Moore,Rob Baker,2,6
"Eastpointe, Pct 3",81597,"Eastpointe, Pct 3",Cardi DeMonaco Jr.,Sylvia L. Moore,Rob Baker,Michael Jones,2,6
"Eastpointe, Pct 3",81598,"Eastpointe, Pct 3",Sylvia L. Moore,Rob Baker,Shenita Lloyd,Cardi DeMonaco Jr.,2,6
"Eastpointe, Pct 5",81599,"Eastpointe, Pct 5",Cardi DeMonaco Jr.,Rob Baker,Sylvia L. Moore,Tonia Gladney,2,6
"Eastpointe, Pct 1",81600,"Eastpointe, Pct 1",Cardi DeMonaco Jr.,Rob Baker,Sylvia L. Moore,skipped,2,6
"Eastpointe, Pct 3",81601,"Eastpointe, Pct 3",Michael Jones,Shenita Lloyd,Rob Baker,skipped,2,6
"Eastpointe, Pct 3",81602,"Eastpointe, Pct 3",Tonia Gladney,Sylvia L. Moore,Michael Jones,skipped,2,6
"Eastpointe, Pct 4",81603,"Eastpointe, Pct 4",Rob Baker,skipped,skipped,skipped,2,6
"Eastpointe, Pct 4",81604,"Eastpointe, Pct 4",Sylvia L. Moore,Shenita Lloyd,Michael Jones,Tonia Gladney,2,6
"Eastpointe, Pct 4",81605,"Eastpointe, Pct 4",Sylvia L. Moore,Cardi DeMonaco Jr.,Rob Baker,Tonia Gladney,2,6
"Eastpointe, Pct 5",81606,"Eastpointe, Pct 5",Rob Baker,skipped,skipped,skipped,2,6
