voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,numSeats,numCands
0,Deryck BEAUMONT (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
1,Deryck BEAUMONT (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
2,Deryck BEAUMONT (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
3,Deryck BEAUMONT (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
4,Deryck BEAUMONT (Ind),Gary O'RORKE (IANL) (UNKNOWN),NATHAN WILSON (Con),Agnes Duncan MAGOWAN (SNP),Kenneth DUFFY (Lab),NEIL WILSON (UKIP),Ian KELLY (Ind),James MITCHELL (Sol),Ian GLENNY (Ind),Ben ADAMS (Grn),skipped,skipped,,12
5,Deryck BEAUMONT (Ind),Ian KELLY (Ind),Gary O'RORKE (IANL) (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
6,Deryck BEAUMONT (Ind),Ian KELLY (Ind),NATHAN WILSON (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
7,Deryck BEAUMONT (Ind),James MITCHELL (Sol),Ben ADAMS (Grn),Agnes Duncan MAGOWAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
8,Deryck BEAUMONT (Ind),Kaye HARMON (Lab),Ian KELLY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
9,Deryck BEAUMONT (Ind),Kenneth DUFFY (Lab),Agnes Duncan MAGOWAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
10,Deryck BEAUMONT (Ind),Kenneth DUFFY (Lab),Ian GLENNY (Ind),Ian KELLY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
11,Deryck BEAUMONT (Ind),Ben ADAMS (Grn),Ian KELLY (Ind),James MITCHELL (Sol),NATHAN WILSON (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
12,Deryck BEAUMONT (Ind),Ben ADAMS (Grn),Kaye HARMON (Lab),Ian KELLY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
13,Deryck BEAUMONT (Ind),Ian GLENNY (Ind),Ian KELLY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
14,Deryck BEAUMONT (Ind),Ian GLENNY (Ind),Ian KELLY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
15,Deryck BEAUMONT (Ind),Ian GLENNY (Ind),Ian KELLY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
16,Deryck BEAUMONT (Ind),Ian GLENNY (Ind),Ian KELLY (Ind),Gary O'RORKE (IANL) (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
17,Deryck BEAUMONT (Ind),Ian GLENNY (Ind),Ian KELLY (Ind),Gary O'RORKE (IANL) (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
18,Deryck BEAUMONT (Ind),Ian GLENNY (Ind),Ian KELLY (Ind),Gary O'RORKE (IANL) (UNKNOWN),NATHAN WILSON (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
19,Deryck BEAUMONT (Ind),Ian GLENNY (Ind),Ian KELLY (Ind),Kenneth DUFFY (Lab),Ben ADAMS (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
20,Deryck BEAUMONT (Ind),Ian GLENNY (Ind),Agnes Duncan MAGOWAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
21,Gary O'RORKE (IANL) (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
22,Gary O'RORKE (IANL) (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
23,Gary O'RORKE (IANL) (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
24,Gary O'RORKE (IANL) (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
25,Gary O'RORKE (IANL) (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
26,Gary O'RORKE (IANL) (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
27,Gary O'RORKE (IANL) (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
28,Gary O'RORKE (IANL) (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
29,Gary O'RORKE (IANL) (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
30,Gary O'RORKE (IANL) (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
31,Gary O'RORKE (IANL) (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
32,Gary O'RORKE (IANL) (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
33,Gary O'RORKE (IANL) (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
34,Gary O'RORKE (IANL) (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
35,Gary O'RORKE (IANL) (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
36,Gary O'RORKE (IANL) (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
37,Gary O'RORKE (IANL) (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
38,Gary O'RORKE (IANL) (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
39,Gary O'RORKE (IANL) (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
40,Gary O'RORKE (IANL) (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
