rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
"Turkel, Alice L.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Turkel, Alice L.","Nolan, Patricia M.","Harding, Jr., Richard","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Tauber, Nancy","Osborne, Mervan F.","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Tauber, Nancy","Osborne, Mervan F.","Turkel, Alice L.","Fantini, Alfred B.","Harding, Jr., Richard","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,6,12
"Tauber, Nancy","Nolan, Patricia M.","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Osborne, Mervan F.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Nolan, Patricia M.","Gerber, Joyce C.","Holland, John J.","Forster, Bill","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Tauber, Nancy","Gerber, Joyce C.","Harding, Jr., Richard","Holland, John J.","Osborne, Mervan F.","Nolan, Patricia M.","McGovern, Marc C.",skipped,skipped,skipped,skipped,6,12
"Tauber, Nancy","Osborne, Mervan F.","Gerber, Joyce C.","Harding, Jr., Richard","Holland, John J.","McGovern, Marc C.","Fantini, Alfred B.","Forster, Bill","Turkel, Alice L.","Nolan, Patricia M.","Stead, Sr., Charles Lewis",6,12
"Osborne, Mervan F.","Tauber, Nancy","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Tauber, Nancy","Gerber, Joyce C.","Nolan, Patricia M.","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.","McGovern, Marc C.","Tauber, Nancy","Nolan, Patricia M.","Osborne, Mervan F.","Turkel, Alice L.","Forster, Bill","Gerber, Joyce C.","Harding, Jr., Richard","Stead, Sr., Charles Lewis","Holland, John J.",6,12
"Turkel, Alice L.","McGovern, Marc C.","Nolan, Patricia M.","Stead, Sr., Charles Lewis","Fantini, Alfred B.","Harding, Jr., Richard","Tauber, Nancy","Gerber, Joyce C.","Forster, Bill",skipped,skipped,6,12
"Turkel, Alice L.","Tauber, Nancy","Nolan, Patricia M.","Gerber, Joyce C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Tauber, Nancy","Gerber, Joyce C.","Nolan, Patricia M.","Stead, Sr., Charles Lewis",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Osborne, Mervan F.","Nolan, Patricia M.","Harding, Jr., Richard","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Osborne, Mervan F.","Holland, John J.","Tauber, Nancy","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
