voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,num_positions
0,Susan RAE Scottish Green Party,James DALGLEISH Labour and Co-operative Party,Jack CALDWELL Scottish Liberal Democrats,Amy MCNEESE-MECHAN Scottish National Party (SNP),Rob MUNN Scottish National Party (SNP),David RENTON Women's Equality Party,Richard Charles SHILLCOCK Communist Party of Britain,David Don JACOBSEN Socialist Labour Party,skipped,skipped,skipped,skipped,4
1,James DALGLEISH Labour and Co-operative Party,Rob MUNN Scottish National Party (SNP),Jack CALDWELL Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
2,James DALGLEISH Labour and Co-operative Party,Rob MUNN Scottish National Party (SNP),Jack CALDWELL Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
3,David RENTON Women's Equality Party,Joe SMITH Alba Party for independence,Bonus FOMBO Scottish Conservative and Unionist,Jon PULLMAN Freedom Alliance. Real People. Real Alternative,Jack CALDWELL Scottish Liberal Democrats,James DALGLEISH Labour and Co-operative Party,David Don JACOBSEN Socialist Labour Party,Richard Charles SHILLCOCK Communist Party of Britain,"Niel DEEPNARAIN Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Amy MCNEESE-MECHAN Scottish National Party (SNP),Rob MUNN Scottish National Party (SNP),Susan RAE Scottish Green Party,4
4,James DALGLEISH Labour and Co-operative Party,Amy MCNEESE-MECHAN Scottish National Party (SNP),Rob MUNN Scottish National Party (SNP),Jack CALDWELL Scottish Liberal Democrats,David Don JACOBSEN Socialist Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
5,Susan RAE Scottish Green Party,Amy MCNEESE-MECHAN Scottish National Party (SNP),Rob MUNN Scottish National Party (SNP),Jack CALDWELL Scottish Liberal Democrats,James DALGLEISH Labour and Co-operative Party,David RENTON Women's Equality Party,David Don JACOBSEN Socialist Labour Party,Richard Charles SHILLCOCK Communist Party of Britain,Joe SMITH Alba Party for independence,Bonus FOMBO Scottish Conservative and Unionist,"Niel DEEPNARAIN Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Jon PULLMAN Freedom Alliance. Real People. Real Alternative,4
6,Susan RAE Scottish Green Party,David RENTON Women's Equality Party,Richard Charles SHILLCOCK Communist Party of Britain,Jack CALDWELL Scottish Liberal Democrats,James DALGLEISH Labour and Co-operative Party,Amy MCNEESE-MECHAN Scottish National Party (SNP),Rob MUNN Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,4
7,Bonus FOMBO Scottish Conservative and Unionist,James DALGLEISH Labour and Co-operative Party,"Niel DEEPNARAIN Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Jon PULLMAN Freedom Alliance. Real People. Real Alternative,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
8,Susan RAE Scottish Green Party,Rob MUNN Scottish National Party (SNP),Richard Charles SHILLCOCK Communist Party of Britain,Amy MCNEESE-MECHAN Scottish National Party (SNP),David Don JACOBSEN Socialist Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
9,Amy MCNEESE-MECHAN Scottish National Party (SNP),Rob MUNN Scottish National Party (SNP),Susan RAE Scottish Green Party,Richard Charles SHILLCOCK Communist Party of Britain,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
