voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,num_positions
0,Andrew BROUGH Scottish Green Party,Norrie WORK Scottish National Party (SNP),Annemarie BAILLIE Workers Party of Britain,skipped,skipped,skipped,skipped,skipped,skipped,4
1,Andrew BROUGH Scottish Green Party,Norrie WORK Scottish National Party (SNP),Annemarie BAILLIE Workers Party of Britain,skipped,skipped,skipped,skipped,skipped,skipped,4
2,Andrew BROUGH Scottish Green Party,Norrie WORK Scottish National Party (SNP),Annemarie BAILLIE Workers Party of Britain,skipped,skipped,skipped,skipped,skipped,skipped,4
3,Fred HESSLER Scottish Labour Party,Louise YOUNG Scottish Liberal Democrats,Andrew BROUGH Scottish Green Party,Norrie WORK Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,4
4,Kevin LANG Scottish Liberal Democrats,Louise YOUNG Scottish Liberal Democrats,Andrew BROUGH Scottish Green Party,Lewis James YOUNIE Scottish Liberal Democrats,Fred HESSLER Scottish Labour Party,Norrie WORK Scottish National Party (SNP),Annemarie BAILLIE Workers Party of Britain,skipped,skipped,4
5,Fred HESSLER Scottish Labour Party,Annemarie BAILLIE Workers Party of Britain,Andrew BROUGH Scottish Green Party,James HILL Scottish Conservative and Unionist,"Stewart GEDDES Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,4
6,Norrie WORK Scottish National Party (SNP),Louise YOUNG Scottish Liberal Democrats,Lewis James YOUNIE Scottish Liberal Democrats,Kevin LANG Scottish Liberal Democrats,Annemarie BAILLIE Workers Party of Britain,Andrew BROUGH Scottish Green Party,"Stewart GEDDES Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Fred HESSLER Scottish Labour Party,James HILL Scottish Conservative and Unionist,4
7,Norrie WORK Scottish National Party (SNP),Andrew BROUGH Scottish Green Party,Fred HESSLER Scottish Labour Party,James HILL Scottish Conservative and Unionist,Lewis James YOUNIE Scottish Liberal Democrats,Louise YOUNG Scottish Liberal Democrats,Kevin LANG Scottish Liberal Democrats,Annemarie BAILLIE Workers Party of Britain,"Stewart GEDDES Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",4
8,Lewis James YOUNIE Scottish Liberal Democrats,Louise YOUNG Scottish Liberal Democrats,Norrie WORK Scottish National Party (SNP),Kevin LANG Scottish Liberal Democrats,Fred HESSLER Scottish Labour Party,"Stewart GEDDES Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Andrew BROUGH Scottish Green Party,Annemarie BAILLIE Workers Party of Britain,James HILL Scottish Conservative and Unionist,4
9,Norrie WORK Scottish National Party (SNP),Louise YOUNG Scottish Liberal Democrats,Fred HESSLER Scottish Labour Party,Kevin LANG Scottish Liberal Democrats,Andrew BROUGH Scottish Green Party,skipped,skipped,skipped,skipped,4
10,Lewis James YOUNIE Scottish Liberal Democrats,Louise YOUNG Scottish Liberal Democrats,Andrew BROUGH Scottish Green Party,Norrie WORK Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,4
11,Kevin LANG Scottish Liberal Democrats,Louise YOUNG Scottish Liberal Democrats,Lewis James YOUNIE Scottish Liberal Democrats,James HILL Scottish Conservative and Unionist,Fred HESSLER Scottish Labour Party,"Stewart GEDDES Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Andrew BROUGH Scottish Green Party,Norrie WORK Scottish National Party (SNP),Annemarie BAILLIE Workers Party of Britain,4
12,Andrew BROUGH Scottish Green Party,Annemarie BAILLIE Workers Party of Britain,Fred HESSLER Scottish Labour Party,Norrie WORK Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,4
13,"Stewart GEDDES Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Annemarie BAILLIE Workers Party of Britain,James HILL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,4
14,Kevin LANG Scottish Liberal Democrats,Louise YOUNG Scottish Liberal Democrats,Lewis James YOUNIE Scottish Liberal Democrats,Andrew BROUGH Scottish Green Party,Fred HESSLER Scottish Labour Party,Norrie WORK Scottish National Party (SNP),Annemarie BAILLIE Workers Party of Britain,"Stewart GEDDES Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",James HILL Scottish Conservative and Unionist,4
15,Kevin LANG Scottish Liberal Democrats,Louise YOUNG Scottish Liberal Democrats,Lewis James YOUNIE Scottish Liberal Democrats,Andrew BROUGH Scottish Green Party,Fred HESSLER Scottish Labour Party,Norrie WORK Scottish National Party (SNP),Annemarie BAILLIE Workers Party of Britain,"Stewart GEDDES Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",James HILL Scottish Conservative and Unionist,4
16,Louise YOUNG Scottish Liberal Democrats,Lewis James YOUNIE Scottish Liberal Democrats,Kevin LANG Scottish Liberal Democrats,Fred HESSLER Scottish Labour Party,James HILL Scottish Conservative and Unionist,"Stewart GEDDES Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Annemarie BAILLIE Workers Party of Britain,Andrew BROUGH Scottish Green Party,Norrie WORK Scottish National Party (SNP),4
17,Fred HESSLER Scottish Labour Party,Andrew BROUGH Scottish Green Party,James HILL Scottish Conservative and Unionist,Norrie WORK Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,4
18,Norrie WORK Scottish National Party (SNP),Fred HESSLER Scottish Labour Party,Andrew BROUGH Scottish Green Party,"Stewart GEDDES Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Annemarie BAILLIE Workers Party of Britain,Louise YOUNG Scottish Liberal Democrats,Lewis James YOUNIE Scottish Liberal Democrats,Kevin LANG Scottish Liberal Democrats,skipped,4
19,Norrie WORK Scottish National Party (SNP),Andrew BROUGH Scottish Green Party,Louise YOUNG Scottish Liberal Democrats,Lewis James YOUNIE Scottish Liberal Democrats,Kevin LANG Scottish Liberal Democrats,Fred HESSLER Scottish Labour Party,Annemarie BAILLIE Workers Party of Britain,skipped,skipped,4
20,Norrie WORK Scottish National Party (SNP),Andrew BROUGH Scottish Green Party,Louise YOUNG Scottish Liberal Democrats,Lewis James YOUNIE Scottish Liberal Democrats,Kevin LANG Scottish Liberal Democrats,Fred HESSLER Scottish Labour Party,Annemarie BAILLIE Workers Party of Britain,skipped,skipped,4
21,Kevin LANG Scottish Liberal Democrats,Louise YOUNG Scottish Liberal Democrats,Lewis James YOUNIE Scottish Liberal Democrats,Andrew BROUGH Scottish Green Party,Fred HESSLER Scottish Labour Party,James HILL Scottish Conservative and Unionist,Annemarie BAILLIE Workers Party of Britain,"Stewart GEDDES Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Norrie WORK Scottish National Party (SNP),4
22,Kevin LANG Scottish Liberal Democrats,Louise YOUNG Scottish Liberal Democrats,Lewis James YOUNIE Scottish Liberal Democrats,Andrew BROUGH Scottish Green Party,Norrie WORK Scottish National Party (SNP),Fred HESSLER Scottish Labour Party,James HILL Scottish Conservative and Unionist,Annemarie BAILLIE Workers Party of Britain,"Stewart GEDDES Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",4
