voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,num_positions
0,Paul R. PENMAN Independent,Norrie ROWAN Independent,Claire MILLER Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
1,Claire MILLER Scottish Green Party,Marianne MWIKI Scottish National Party (SNP),Finlay MCFARLANE Scottish National Party (SNP),Andy FOXALL Scottish Liberal Democrats,Margaret Arma GRAHAM Labour and Co-operative Party,Maria PAKPAHAN-CAMPBELL Independent,Paul R. PENMAN Independent,Norrie ROWAN Independent,Kevin ILLINGWORTH Independent,Bonnie Prince BOB Independent,Pete CARSON Independent,skipped,skipped,4
2,Andy FOXALL Scottish Liberal Democrats,Claire MILLER Scottish Green Party,Finlay MCFARLANE Scottish National Party (SNP),Marianne MWIKI Scottish National Party (SNP),Margaret Arma GRAHAM Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
3,Andy FOXALL Scottish Liberal Democrats,Claire MILLER Scottish Green Party,Finlay MCFARLANE Scottish National Party (SNP),Marianne MWIKI Scottish National Party (SNP),Margaret Arma GRAHAM Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4,Andy FOXALL Scottish Liberal Democrats,Claire MILLER Scottish Green Party,Finlay MCFARLANE Scottish National Party (SNP),Marianne MWIKI Scottish National Party (SNP),Margaret Arma GRAHAM Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
5,Andy FOXALL Scottish Liberal Democrats,Claire MILLER Scottish Green Party,Finlay MCFARLANE Scottish National Party (SNP),Marianne MWIKI Scottish National Party (SNP),Margaret Arma GRAHAM Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6,Bonnie Prince BOB Independent,Claire MILLER Scottish Green Party,Norrie ROWAN Independent,Marianne MWIKI Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
7,Claire MILLER Scottish Green Party,Bonnie Prince BOB Independent,Maria PAKPAHAN-CAMPBELL Independent,Kevin ILLINGWORTH Independent,Marianne MWIKI Scottish National Party (SNP),Finlay MCFARLANE Scottish National Party (SNP),Pete CARSON Independent,Margaret Arma GRAHAM Labour and Co-operative Party,Andy FOXALL Scottish Liberal Democrats,Kevan SHAW Alba Party for independence,Norrie ROWAN Independent,Paul R. PENMAN Independent,Jo MOWAT Scottish Conservative and Unionist,4
8,Andy FOXALL Scottish Liberal Democrats,Margaret Arma GRAHAM Labour and Co-operative Party,Jo MOWAT Scottish Conservative and Unionist,Maria PAKPAHAN-CAMPBELL Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
9,Andy FOXALL Scottish Liberal Democrats,Margaret Arma GRAHAM Labour and Co-operative Party,Jo MOWAT Scottish Conservative and Unionist,Maria PAKPAHAN-CAMPBELL Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
