,file_name,election_method,anomaly_type
0,./data/australia/Australia_NewSouthWales_Mayorals_2021/City_of_Maitland-mayoral-finalpreferencedatafile.csv,plurality,strat_compromise
1,./data/australia/Australia_NewSouthWales_Mayorals_2021/Byron-mayoral-finalpreferencedatafile.csv,plurality,strat_compromise
2,./data/australia/Australia_NewSouthWales_Mayorals_2021/Wollondilly-mayoral-finalpreferencedatafile.csv,plurality,strat_compromise
3,./data/australia/Australia_NewSouthWales_Mayorals_2021/City_of_Liverpool-mayoral-finalpreferencedatafile.csv,plurality,strat_compromise
4,./data/australia/Australia_NewSouthWales_Mayorals_2021/City_of_Wollongong-mayoral-finalpreferencedatafile.csv,plurality,strat_compromise
5,./data/australia/Australia_NewSouthWales_Mayorals_2021/City_of_Shoalhaven-mayoral-finalpreferencedatafile.csv,plurality,strat_compromise
6,./data/australia/Australia_NewSouthWales_Mayorals_2021/Eurobodalla-mayoral-finalpreferencedatafile.csv,plurality,strat_compromise
7,./data/australia/Australia_NewSouthWales_Mayorals_2021/City_of_Orange-mayoral-finalpreferencedatafile.csv,plurality,strat_compromise
8,./data/australia/Australia_NSW_LegAssembly_2017_ByElections/SB1702 LA Pref Data_NA_Murray.csv,plurality,strat_compromise
9,./data/australia/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Dubbo.csv,plurality,strat_compromise
10,./data/australia/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Upper Hunter.csv,plurality,strat_compromise
11,./data/australia/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data East Hills.csv,plurality,strat_compromise
12,./data/australia/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Penrith.csv,plurality,strat_compromise
13,./data/australia/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Kogarah.csv,plurality,strat_compromise
14,./data/australia/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Barwon.csv,plurality,strat_compromise
15,./data/australia/Australia_Victoria_LegAssembly_2018/BallotPaperDetails-Melbourne District SE2018.csv,plurality,strat_compromise
16,./data/australia/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Point Cook with candidates.csv,plurality,strat_compromise
17,./data/australia/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Melton with candidates.csv,plurality,strat_compromise
18,./data/australia/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Northcote with candidates.csv,plurality,strat_compromise
19,./data/australia/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Hawthorn with candidates.csv,plurality,strat_compromise
20,./data/australia/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Preston with Candidates.csv,plurality,strat_compromise
21,./data/australia/Australia_NewSouthWales_State_LegAssembly_2015/SGE2015 LA Pref Data_NA_Lismore.csv,plurality,strat_compromise
22,./data/australia/Australia_NewSouthWales_State_LegAssembly_2015/SGE2015 LA Pref Data_NA_Upper Hunter.csv,plurality,strat_compromise
23,./data/australia/Australia_NewSouthWales_State_LegAssembly_2015/SGE2015 LA Pref Data_NA_Ballina.csv,plurality,strat_compromise
24,./data/australia/Australia_NewSouthWales_State_LegAssembly_2015/SGE2015 LA Pref Data_NA_East Hills.csv,plurality,strat_compromise
25,./data/australia/Australia_NewSouthWales_State_LegAssembly_2015/SGE2015 LA Pref Data_NA_Granville.csv,plurality,strat_compromise
26,./data/australia/Australia_NewSouthWales_State_LegAssembly_2023/SG2301 LA Pref Data Ryde.csv,plurality,strat_compromise
27,./data/australia/Australia_NewSouthWales_State_LegAssembly_2023/SG2301 LA Pref Data Goulburn.csv,plurality,strat_compromise
28,./data/australia/Australia_NewSouthWales_State_LegAssembly_2023/SG2301 LA Pref Data Oatley.csv,plurality,strat_compromise
29,./data/australia/Australia_NewSouthWales_State_LegAssembly_2023/SG2301 LA Pref Data Pittwater.csv,plurality,strat_compromise
30,./data/australia/Australia_NewSouthWales_State_LegAssembly_2023/SG2301 LA Pref Data Balmain.csv,plurality,strat_compromise
31,./data/australia/Australia_NewSouthWales_State_LegAssembly_2023/SG2301 LA Pref Data Camden.csv,plurality,strat_compromise
32,./data/australia/Australia_NewSouthWales_State_LegAssembly_2023/SG2301 LA Pref Data East Hills.csv,plurality,strat_compromise
33,./data/australia/Australia_NewSouthWales_State_LegAssembly_2023/SG2301 LA Pref Data Kiama.csv,plurality,strat_compromise
34,./data/australia/Australia_NewSouthWales_State_LegAssembly_2023/SG2301 LA Pref Data Holsworthy.csv,plurality,strat_compromise
35,./data/australia/Australia_NewSouthWales_State_LegAssembly_2023/SG2301 LA Pref Data Wollondilly.csv,plurality,strat_compromise
36,./data/australia/Australia_NewSouthWales_State_LegAssembly_2023/SG2301 LA Pref Data Ballina.csv,plurality,strat_compromise
37,./data/australia/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Lismore.csv,plurality_runoff,strat_compromise
38,./data/australia/Australia_NewSouthWales_State_LegAssembly_2015/SGE2015 LA Pref Data_NA_Ballina.csv,plurality_runoff,strat_compromise
39,./data/australia/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Lismore.csv,IRV,strat_compromise
40,./data/australia/Australia_NewSouthWales_State_LegAssembly_2023/SG2301 LA Pref Data South Coast.csv,smith_plurality,strat_bury_deep
41,./data/australia/Australia_NewSouthWales_State_LegAssembly_2023/SG2301 LA Pref Data Wakehurst.csv,smith_plurality,strat_bury_deep
42,./data/australia/Australia_NewSouthWales_Mayorals_2021/Kempsey-mayoral-finalpreferencedatafile.csv,Borda_PM,strat_compromise
43,./data/australia/Australia_NewSouthWales_Mayorals_2021/City_of_Orange-mayoral-finalpreferencedatafile.csv,Borda_PM,strat_compromise
