voterId,rank1,rank2,rank3,numSeats,numCands
0,Alistair Mason (UNKNOWN),skipped,skipped,1,3
1,Alistair Mason (UNKNOWN),skipped,skipped,1,3
2,Alistair Mason (UNKNOWN),skipped,skipped,1,3
3,Alistair Mason (UNKNOWN),skipped,skipped,1,3
4,Alistair Mason (UNKNOWN),skipped,skipped,1,3
5,Alistair Mason (UNKNOWN),skipped,skipped,1,3
6,Alistair Mason (UNKNOWN),skipped,skipped,1,3
7,Alistair Mason (UNKNOWN),skipped,skipped,1,3
8,Alistair Mason (UNKNOWN),skipped,skipped,1,3
9,Alistair Mason (UNKNOWN),skipped,skipped,1,3
10,Alistair Mason (UNKNOWN),skipped,skipped,1,3
11,Alistair Mason (UNKNOWN),skipped,skipped,1,3
12,Alistair Mason (UNKNOWN),skipped,skipped,1,3
13,Alistair Mason (UNKNOWN),skipped,skipped,1,3
14,Alistair Mason (UNKNOWN),skipped,skipped,1,3
15,Alistair Mason (UNKNOWN),skipped,skipped,1,3
16,Alistair Mason (UNKNOWN),skipped,skipped,1,3
17,Alistair Mason (UNKNOWN),skipped,skipped,1,3
18,Alistair Mason (UNKNOWN),skipped,skipped,1,3
19,Alistair Mason (UNKNOWN),skipped,skipped,1,3
20,Alistair Mason (UNKNOWN),skipped,skipped,1,3
21,Alistair Mason (UNKNOWN),skipped,skipped,1,3
22,Alistair Mason (UNKNOWN),skipped,skipped,1,3
23,Alistair Mason (UNKNOWN),skipped,skipped,1,3
24,Alistair Mason (UNKNOWN),skipped,skipped,1,3
25,Alistair Mason (UNKNOWN),skipped,skipped,1,3
26,Alistair Mason (UNKNOWN),skipped,skipped,1,3
27,Alistair Mason (UNKNOWN),skipped,skipped,1,3
28,Alistair Mason (UNKNOWN),skipped,skipped,1,3
29,Alistair Mason (UNKNOWN),skipped,skipped,1,3
30,Alistair Mason (UNKNOWN),skipped,skipped,1,3
31,Alistair Mason (UNKNOWN),skipped,skipped,1,3
32,Alistair Mason (UNKNOWN),skipped,skipped,1,3
33,Alistair Mason (UNKNOWN),skipped,skipped,1,3
34,Alistair Mason (UNKNOWN),skipped,skipped,1,3
35,Alistair Mason (UNKNOWN),skipped,skipped,1,3
36,Alistair Mason (UNKNOWN),skipped,skipped,1,3
37,Alistair Mason (UNKNOWN),skipped,skipped,1,3
38,Alistair Mason (UNKNOWN),skipped,skipped,1,3
39,Alistair Mason (UNKNOWN),skipped,skipped,1,3
40,Alistair Mason (UNKNOWN),skipped,skipped,1,3
41,Alistair Mason (UNKNOWN),skipped,skipped,1,3
42,Alistair Mason (UNKNOWN),skipped,skipped,1,3
43,Alistair Mason (UNKNOWN),skipped,skipped,1,3
44,Alistair Mason (UNKNOWN),skipped,skipped,1,3
45,Alistair Mason (UNKNOWN),skipped,skipped,1,3
46,Alistair Mason (UNKNOWN),skipped,skipped,1,3
47,Alistair Mason (UNKNOWN),skipped,skipped,1,3
48,Alistair Mason (UNKNOWN),skipped,skipped,1,3
49,Alistair Mason (UNKNOWN),skipped,skipped,1,3
50,Alistair Mason (UNKNOWN),skipped,skipped,1,3
51,Alistair Mason (UNKNOWN),skipped,skipped,1,3
52,Alistair Mason (UNKNOWN),skipped,skipped,1,3
53,Alistair Mason (UNKNOWN),skipped,skipped,1,3
54,Alistair Mason (UNKNOWN),skipped,skipped,1,3
55,Alistair Mason (UNKNOWN),skipped,skipped,1,3
56,Alistair Mason (UNKNOWN),skipped,skipped,1,3
57,Alistair Mason (UNKNOWN),skipped,skipped,1,3
58,Alistair Mason (UNKNOWN),skipped,skipped,1,3
59,Alistair Mason (UNKNOWN),skipped,skipped,1,3
60,Alistair Mason (UNKNOWN),skipped,skipped,1,3
61,Alistair Mason (UNKNOWN),skipped,skipped,1,3
62,Alistair Mason (UNKNOWN),skipped,skipped,1,3
63,Alistair Mason (UNKNOWN),skipped,skipped,1,3
64,Alistair Mason (UNKNOWN),skipped,skipped,1,3
65,Alistair Mason (UNKNOWN),skipped,skipped,1,3
66,Alistair Mason (UNKNOWN),skipped,skipped,1,3
67,Alistair Mason (UNKNOWN),skipped,skipped,1,3
68,Alistair Mason (UNKNOWN),skipped,skipped,1,3
