voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
4356,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,skipped,skipped,skipped,1
4357,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,skipped,skipped,skipped,1
4358,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,skipped,skipped,skipped,1
4359,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,skipped,skipped,skipped,1
4360,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,skipped,skipped,skipped,1
4361,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,skipped,skipped,skipped,1
4362,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,skipped,skipped,skipped,1
4363,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,skipped,skipped,skipped,1
4364,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,skipped,skipped,skipped,1
4365,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,skipped,skipped,skipped,1
4366,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,skipped,skipped,skipped,1
4367,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,skipped,skipped,skipped,1
4368,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,skipped,skipped,skipped,1
4369,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,skipped,skipped,skipped,1
4370,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,skipped,skipped,skipped,1
4371,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,skipped,skipped,skipped,1
4372,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,skipped,skipped,skipped,1
4373,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,skipped,skipped,skipped,1
4374,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,skipped,skipped,skipped,1
4375,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,skipped,skipped,skipped,1
4376,Janis WILSON Scottish National Party - Stronger for Scotland,Tim PORTEUS Scottish Green Party,Colin YORKSTON Scottish Labour Party,Andy OVENS Scottish Conservative and Unionist,Calum MILLER Independent,Ben MORSE Scottish Liberal Democrats,1
4377,Janis WILSON Scottish National Party - Stronger for Scotland,Tim PORTEUS Scottish Green Party,Colin YORKSTON Scottish Labour Party,Andy OVENS Scottish Conservative and Unionist,Calum MILLER Independent,Ben MORSE Scottish Liberal Democrats,1
4378,Ben MORSE Scottish Liberal Democrats,Tim PORTEUS Scottish Green Party,Janis WILSON Scottish National Party - Stronger for Scotland,skipped,skipped,skipped,1
4379,Janis WILSON Scottish National Party - Stronger for Scotland,Andy OVENS Scottish Conservative and Unionist,Colin YORKSTON Scottish Labour Party,Tim PORTEUS Scottish Green Party,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,1
4380,Janis WILSON Scottish National Party - Stronger for Scotland,Calum MILLER Independent,Ben MORSE Scottish Liberal Democrats,Tim PORTEUS Scottish Green Party,Andy OVENS Scottish Conservative and Unionist,Colin YORKSTON Scottish Labour Party,1
4381,Colin YORKSTON Scottish Labour Party,Janis WILSON Scottish National Party - Stronger for Scotland,Andy OVENS Scottish Conservative and Unionist,Calum MILLER Independent,Tim PORTEUS Scottish Green Party,Ben MORSE Scottish Liberal Democrats,1
4382,Janis WILSON Scottish National Party - Stronger for Scotland,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,Ben MORSE Scottish Liberal Democrats,Tim PORTEUS Scottish Green Party,Andy OVENS Scottish Conservative and Unionist,1
4383,Janis WILSON Scottish National Party - Stronger for Scotland,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,Ben MORSE Scottish Liberal Democrats,Tim PORTEUS Scottish Green Party,Andy OVENS Scottish Conservative and Unionist,1
4384,Janis WILSON Scottish National Party - Stronger for Scotland,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,Ben MORSE Scottish Liberal Democrats,Tim PORTEUS Scottish Green Party,Andy OVENS Scottish Conservative and Unionist,1
4385,Janis WILSON Scottish National Party - Stronger for Scotland,Tim PORTEUS Scottish Green Party,Ben MORSE Scottish Liberal Democrats,Andy OVENS Scottish Conservative and Unionist,Colin YORKSTON Scottish Labour Party,Calum MILLER Independent,1
4386,Colin YORKSTON Scottish Labour Party,Andy OVENS Scottish Conservative and Unionist,Calum MILLER Independent,Tim PORTEUS Scottish Green Party,Ben MORSE Scottish Liberal Democrats,Janis WILSON Scottish National Party - Stronger for Scotland,1
4387,Colin YORKSTON Scottish Labour Party,Janis WILSON Scottish National Party - Stronger for Scotland,Ben MORSE Scottish Liberal Democrats,Andy OVENS Scottish Conservative and Unionist,Tim PORTEUS Scottish Green Party,Calum MILLER Independent,1
4388,Colin YORKSTON Scottish Labour Party,Tim PORTEUS Scottish Green Party,Janis WILSON Scottish National Party - Stronger for Scotland,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,1
4389,Colin YORKSTON Scottish Labour Party,Tim PORTEUS Scottish Green Party,Janis WILSON Scottish National Party - Stronger for Scotland,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,1
4390,Colin YORKSTON Scottish Labour Party,Tim PORTEUS Scottish Green Party,Janis WILSON Scottish National Party - Stronger for Scotland,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,1
4391,Colin YORKSTON Scottish Labour Party,Tim PORTEUS Scottish Green Party,Janis WILSON Scottish National Party - Stronger for Scotland,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,1
4392,Colin YORKSTON Scottish Labour Party,Tim PORTEUS Scottish Green Party,Janis WILSON Scottish National Party - Stronger for Scotland,Andy OVENS Scottish Conservative and Unionist,Ben MORSE Scottish Liberal Democrats,Calum MILLER Independent,1
4393,Andy OVENS Scottish Conservative and Unionist,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Tim PORTEUS Scottish Green Party,Janis WILSON Scottish National Party - Stronger for Scotland,Calum MILLER Independent,1
4394,Andy OVENS Scottish Conservative and Unionist,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Tim PORTEUS Scottish Green Party,Janis WILSON Scottish National Party - Stronger for Scotland,Calum MILLER Independent,1
4395,Andy OVENS Scottish Conservative and Unionist,Colin YORKSTON Scottish Labour Party,Ben MORSE Scottish Liberal Democrats,Tim PORTEUS Scottish Green Party,Janis WILSON Scottish National Party - Stronger for Scotland,Calum MILLER Independent,1
4396,Calum MILLER Independent,Colin YORKSTON Scottish Labour Party,Andy OVENS Scottish Conservative and Unionist,Janis WILSON Scottish National Party - Stronger for Scotland,Tim PORTEUS Scottish Green Party,Ben MORSE Scottish Liberal Democrats,1
