voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,num_positions
0,Brideen GODLEY-MACKENZIE Independent,Sinclair COGHILL Independent,KIM HANNING JACKSON Reform UK,ROLAND HANNING JACKSON Reform UK,Tina MCCAFFERY Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
1,Ryan BARROWMAN Scottish Greens,ROLAND HANNING JACKSON Reform UK,Michael PERERA Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
2,Ryan BARROWMAN Scottish Greens,ROLAND HANNING JACKSON Reform UK,Michael PERERA Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
3,Martin RATTRAY Independent,Tina MCCAFFERY Independent,Brideen GODLEY-MACKENZIE Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
4,Martin RATTRAY Independent,Tina MCCAFFERY Independent,Brideen GODLEY-MACKENZIE Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
5,Richard James CROSS Independent,Brideen GODLEY-MACKENZIE Independent,Innes MUNRO Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
6,Richard James CROSS Independent,Sinclair COGHILL Independent,John EDMONDSON Scottish Liberal Democrats,Innes MUNRO Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
7,Richard James CROSS Independent,Sinclair COGHILL Independent,John EDMONDSON Scottish Liberal Democrats,Innes MUNRO Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
8,Sinclair COGHILL Independent,Martin RATTRAY Independent,Brideen GODLEY-MACKENZIE Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
9,Sinclair COGHILL Independent,Martin RATTRAY Independent,Brideen GODLEY-MACKENZIE Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
10,Sinclair COGHILL Independent,Martin RATTRAY Independent,Brideen GODLEY-MACKENZIE Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
11,Sinclair COGHILL Independent,Martin RATTRAY Independent,Brideen GODLEY-MACKENZIE Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
12,Sinclair COGHILL Independent,Martin RATTRAY Independent,Brideen GODLEY-MACKENZIE Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
13,Sinclair COGHILL Independent,Martin RATTRAY Independent,Brideen GODLEY-MACKENZIE Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
14,Sinclair COGHILL Independent,Martin RATTRAY Independent,Brideen GODLEY-MACKENZIE Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
15,Sinclair COGHILL Independent,Martin RATTRAY Independent,Brideen GODLEY-MACKENZIE Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
16,Sinclair COGHILL Independent,Martin RATTRAY Independent,Brideen GODLEY-MACKENZIE Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
17,John EDMONDSON Scottish Liberal Democrats,Brideen GODLEY-MACKENZIE Independent,Martin RATTRAY Independent,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
18,Martin RATTRAY Independent,Brideen GODLEY-MACKENZIE Independent,Odette MACDONALD Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
19,Sinclair COGHILL Independent,Odette MACDONALD Scottish National Party (SNP),Michael PERERA Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
20,Richard James CROSS Independent,Martin RATTRAY Independent,Odette MACDONALD Scottish National Party (SNP),Tina MCCAFFERY Independent,Sinclair COGHILL Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
21,John EDMONDSON Scottish Liberal Democrats,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
22,John EDMONDSON Scottish Liberal Democrats,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
23,John EDMONDSON Scottish Liberal Democrats,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
24,John EDMONDSON Scottish Liberal Democrats,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
25,John EDMONDSON Scottish Liberal Democrats,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
26,John EDMONDSON Scottish Liberal Democrats,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
27,John EDMONDSON Scottish Liberal Democrats,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
28,John EDMONDSON Scottish Liberal Democrats,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
29,John EDMONDSON Scottish Liberal Democrats,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
30,John EDMONDSON Scottish Liberal Democrats,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
31,John EDMONDSON Scottish Liberal Democrats,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
32,John EDMONDSON Scottish Liberal Democrats,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
33,John EDMONDSON Scottish Liberal Democrats,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
34,John EDMONDSON Scottish Liberal Democrats,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
35,John EDMONDSON Scottish Liberal Democrats,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
36,John EDMONDSON Scottish Liberal Democrats,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
37,John EDMONDSON Scottish Liberal Democrats,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
38,John EDMONDSON Scottish Liberal Democrats,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
39,John EDMONDSON Scottish Liberal Democrats,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
40,John EDMONDSON Scottish Liberal Democrats,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
41,John EDMONDSON Scottish Liberal Democrats,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
42,John EDMONDSON Scottish Liberal Democrats,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
43,John EDMONDSON Scottish Liberal Democrats,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
44,John EDMONDSON Scottish Liberal Democrats,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
45,John EDMONDSON Scottish Liberal Democrats,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
46,John EDMONDSON Scottish Liberal Democrats,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
47,John EDMONDSON Scottish Liberal Democrats,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
48,John EDMONDSON Scottish Liberal Democrats,Richard James CROSS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
