precincts,tally_type,ballotID,rank1,rank2,rank3,numSeats,numCands
225810,Election Day - Insight,77123,AIMEE ENG,skipped,skipped,1,2
225810,Election Day - Insight,77125,AIMEE ENG,skipped,skipped,1,2
225810,Election Day - Insight,77126,AIMEE ENG,WILLIAM ''BO'' GHIRARDELLI,skipped,1,2
225810,Election Day - Insight,77128,AIMEE ENG,skipped,skipped,1,2
225810,Election Day - Insight,77129,AIMEE ENG,skipped,skipped,1,2
225810,Election Day - Insight,77130,AIMEE ENG,skipped,skipped,1,2
225810,Election Day - Insight,77131,AIMEE ENG,skipped,skipped,1,2
225810,Election Day - Insight,77133,AIMEE ENG,skipped,skipped,1,2
225810,Election Day - Insight,77134,WILLIAM ''BO'' GHIRARDELLI,skipped,skipped,1,2
225810,Election Day - Insight,77135,WILLIAM ''BO'' GHIRARDELLI,AIMEE ENG,skipped,1,2
225810,Election Day - Insight,77136,WILLIAM ''BO'' GHIRARDELLI,AIMEE ENG,skipped,1,2
225810,Election Day - Insight,77139,WILLIAM ''BO'' GHIRARDELLI,skipped,skipped,1,2
225810,Election Day - Insight,77140,AIMEE ENG,skipped,skipped,1,2
225810,Election Day - Insight,77141,WILLIAM ''BO'' GHIRARDELLI,skipped,skipped,1,2
225810,Election Day - Insight,77142,WILLIAM ''BO'' GHIRARDELLI,AIMEE ENG,skipped,1,2
225810,Election Day - Insight,77143,AIMEE ENG,WILLIAM ''BO'' GHIRARDELLI,skipped,1,2
225810,Election Day - Insight,77144,AIMEE ENG,skipped,skipped,1,2
225810,Election Day - Insight,77145,AIMEE ENG,skipped,skipped,1,2
225810,Election Day - Insight,77146,AIMEE ENG,skipped,skipped,1,2
225810,Election Day - Insight,77147,AIMEE ENG,WILLIAM ''BO'' GHIRARDELLI,skipped,1,2
225810,Election Day - Insight,77148,AIMEE ENG,WILLIAM ''BO'' GHIRARDELLI,skipped,1,2
225810,Election Day - Insight,77154,AIMEE ENG,skipped,skipped,1,2
225810,Election Day - Insight,77155,AIMEE ENG,skipped,skipped,1,2
225810,Election Day - Insight,77156,AIMEE ENG,skipped,skipped,1,2
225810,Election Day - Insight,77158,AIMEE ENG,WILLIAM ''BO'' GHIRARDELLI,skipped,1,2
225810,Election Day - Insight,77160,WILLIAM ''BO'' GHIRARDELLI,skipped,skipped,1,2
225810,Election Day - Insight,77161,AIMEE ENG,skipped,skipped,1,2
225810,Election Day - Insight,77162,AIMEE ENG,skipped,skipped,1,2
225810,Election Day - Insight,77163,AIMEE ENG,skipped,skipped,1,2
225810,Election Day - Insight,77164,AIMEE ENG,WILLIAM ''BO'' GHIRARDELLI,skipped,1,2
225810,Election Day - Insight,77165,WILLIAM ''BO'' GHIRARDELLI,skipped,skipped,1,2
225810,Election Day - Insight,77168,WILLIAM ''BO'' GHIRARDELLI,skipped,skipped,1,2
225810,Election Day - Insight,77169,WILLIAM ''BO'' GHIRARDELLI,AIMEE ENG,skipped,1,2
225810,Election Day - Insight,77172,AIMEE ENG,skipped,skipped,1,2
225810,Election Day - Insight,77173,AIMEE ENG,WILLIAM ''BO'' GHIRARDELLI,skipped,1,2
225810,Election Day - Insight,77175,AIMEE ENG,skipped,skipped,1,2
225810,Election Day - Insight,77176,AIMEE ENG,WILLIAM ''BO'' GHIRARDELLI,skipped,1,2
225810,Election Day - Insight,77177,AIMEE ENG,skipped,skipped,1,2
225810,Election Day - Insight,77178,WILLIAM ''BO'' GHIRARDELLI,AIMEE ENG,skipped,1,2
225810,Election Day - Insight,77181,WILLIAM ''BO'' GHIRARDELLI,skipped,skipped,1,2
225810,Election Day - Insight,77183,AIMEE ENG,skipped,skipped,1,2
225810,Election Day - Insight,77184,AIMEE ENG,skipped,skipped,1,2
