9 3.0
167 1 0
2 1 2 0
2 1 2 5 0
1 1 2 9 0
1 1 3 0
1 1 3 7 0
1 1 4 2 0
1 1 4 9 0
1 1 5 0
1 1 5 6 0
1 1 5 7 0
1 1 5 9 0
1 1 6 3 0
3 1 6 8 0
3 1 8 0
1 1 8 2 0
1 1 8 3 0
1 1 8 6 0
1 1 8 9 0
1 1 9 0
2 1 9 8 0
3761 2 0
17 2 1 0
1 2 1 6 0
3 2 1 8 0
1 2 1 9 0
57 2 3 0
2 2 3 1 0
49 2 3 4 0
31 2 3 5 0
42 2 3 6 0
27 2 3 7 0
31 2 3 8 0
36 2 3 9 0
194 2 4 0
2 2 4 1 0
56 2 4 3 0
100 2 4 5 0
64 2 4 6 0
50 2 4 7 0
129 2 4 8 0
133 2 4 9 0
111 2 5 0
3 2 5 1 0
44 2 5 3 0
115 2 5 4 0
29 2 5 6 0
40 2 5 7 0
85 2 5 8 0
83 2 5 9 0
71 2 6 0
21 2 6 3 0
33 2 6 4 0
42 2 6 5 0
60 2 6 7 0
115 2 6 8 0
89 2 6 9 0
44 2 7 0
22 2 7 3 0
39 2 7 4 0
72 2 7 5 0
34 2 7 6 0
48 2 7 8 0
20 2 7 9 0
287 2 8 0
4 2 8 1 0
51 2 8 3 0
137 2 8 4 0
97 2 8 5 0
206 2 8 6 0
69 2 8 7 0
221 2 8 9 0
284 2 9 0
3 2 9 1 0
74 2 9 3 0
162 2 9 4 0
154 2 9 5 0
79 2 9 6 0
24 2 9 7 0
231 2 9 8 0
1570 3 0
15 3 1 0
1 3 1 5 0
2 3 1 7 0
1 3 1 9 0
113 3 2 0
1 3 2 1 0
28 3 2 4 0
28 3 2 5 0
33 3 2 6 0
30 3 2 7 0
31 3 2 8 0
31 3 2 9 0
36 3 4 0
34 3 4 2 0
29 3 4 5 0
13 3 4 6 0
22 3 4 7 0
28 3 4 8 0
16 3 4 9 0
26 3 5 0
23 3 5 2 0
23 3 5 4 0
12 3 5 6 0
13 3 5 7 0
23 3 5 8 0
20 3 5 9 0
19 3 6 0
14 3 6 2 0
9 3 6 4 0
12 3 6 5 0
18 3 6 7 0
18 3 6 8 0
20 3 6 9 0
41 3 7 0
1 3 7 1 0
21 3 7 2 0
25 3 7 4 0
24 3 7 5 0
27 3 7 6 0
25 3 7 8 0
17 3 7 9 0
37 3 8 0
1 3 8 1 0
27 3 8 2 0
31 3 8 4 0
28 3 8 5 0
22 3 8 6 0
14 3 8 7 0
28 3 8 9 0
20 3 9 0
22 3 9 2 0
27 3 9 4 0
12 3 9 5 0
14 3 9 6 0
9 3 9 7 0
22 3 9 8 0
947 4 0
4 4 1 0
146 4 2 0
1 4 2 1 0
27 4 2 3 0
56 4 2 5 0
41 4 2 6 0
31 4 2 7 0
88 4 2 8 0
93 4 2 9 0
14 4 3 0
2 4 3 1 0
51 4 3 2 0
22 4 3 5 0
16 4 3 6 0
19 4 3 7 0
23 4 3 8 0
19 4 3 9 0
149 4 5 0
74 4 5 2 0
35 4 5 3 0
24 4 5 6 0
18 4 5 7 0
216 4 5 8 0
260 4 5 9 0
19 4 6 0
3 4 6 1 0
21 4 6 2 0
4 4 6 3 0
14 4 6 5 0
3 4 6 7 0
27 4 6 8 0
32 4 6 9 0
9 4 7 0
14 4 7 2 0
9 4 7 3 0
16 4 7 5 0
11 4 7 6 0
15 4 7 8 0
15 4 7 9 0
104 4 8 0
80 4 8 2 0
14 4 8 3 0
166 4 8 5 0
49 4 8 6 0
12 4 8 7 0
89 4 8 9 0
90 4 9 0
2 4 9 1 0
87 4 9 2 0
20 4 9 3 0
257 4 9 5 0
25 4 9 6 0
9 4 9 7 0
124 4 9 8 0
1104 5 0
4 5 1 0
1 5 1 2 0
122 5 2 0
4 5 2 1 0
17 5 2 3 0
77 5 2 4 0
25 5 2 6 0
25 5 2 7 0
79 5 2 8 0
89 5 2 9 0
25 5 3 0
19 5 3 2 0
24 5 3 4 0
16 5 3 6 0
23 5 3 7 0
26 5 3 8 0
14 5 3 9 0
200 5 4 0
115 5 4 2 0
57 5 4 3 0
26 5 4 6 0
23 5 4 7 0
524 5 4 8 0
439 5 4 9 0
19 5 6 0
9 5 6 2 0
10 5 6 3 0
15 5 6 4 0
15 5 6 7 0
22 5 6 8 0
12 5 6 9 0
23 5 7 0
2 5 7 1 0
17 5 7 2 0
16 5 7 3 0
21 5 7 4 0
17 5 7 6 0
21 5 7 8 0
5 5 7 9 0
389 5 8 0
2 5 8 1 0
137 5 8 2 0
52 5 8 3 0
1095 5 8 4 0
64 5 8 6 0
28 5 8 7 0
259 5 8 9 0
110 5 9 0
3 5 9 1 0
79 5 9 2 0
14 5 9 3 0
615 5 9 4 0
16 5 9 6 0
15 5 9 7 0
196 5 9 8 0
735 6 0
1 6 1 8 0
30 6 2 0
17 6 2 3 0
14 6 2 4 0
17 6 2 5 0
10 6 2 7 0
33 6 2 8 0
25 6 2 9 0
8 6 3 0
1 6 3 1 0
8 6 3 2 0
12 6 3 4 0
7 6 3 5 0
12 6 3 7 0
13 6 3 8 0
13 6 3 9 0
13 6 4 0
1 6 4 1 0
8 6 4 2 0
6 6 4 3 0
18 6 4 5 0
7 6 4 7 0
17 6 4 8 0
12 6 4 9 0
16 6 5 0
1 6 5 1 0
13 6 5 2 0
10 6 5 3 0
19 6 5 4 0
2 6 5 7 0
22 6 5 8 0
9 6 5 9 0
17 6 7 0
11 6 7 2 0
14 6 7 3 0
8 6 7 4 0
