ballotID,ward,rank1,rank2,Num cands,Num seats
7,400,Terry Seamens,skipped,2,1
49,400,Terry Seamens,skipped,2,1
342,400,Terry Seamens,skipped,2,1
500,400,Terry Seamens,skipped,2,1
570,400,Terry Seamens,skipped,2,1
862,400,Terry Seamens,skipped,2,1
978,400,Terry Seamens,skipped,2,1
1322,400,Terry Seamens,skipped,2,1
1325,400,Terry Seamens,skipped,2,1
1364,400,Terry Seamens,skipped,2,1
3118,400,Terry Seamens,skipped,2,1
3720,400,Terry Seamens,skipped,2,1
4148,400,Terry Seamens,skipped,2,1
4230,400,Terry Seamens,skipped,2,1
4863,400,Terry Seamens,skipped,2,1
5481,400,Terry Seamens,skipped,2,1
6088,400,Terry Seamens,skipped,2,1
3957,400,writein,Terry Seamens,2,1
4233,400,writein,Terry Seamens,2,1
4345,400,writein,Terry Seamens,2,1
4874,400,writein,Terry Seamens,2,1
4908,400,writein,Terry Seamens,2,1
4920,400,writein,Terry Seamens,2,1
4924,400,writein,Terry Seamens,2,1
5575,400,writein,Terry Seamens,2,1
6179,400,writein,Terry Seamens,2,1
506,400,writein,Terry Seamens,2,1
871,400,writein,Terry Seamens,2,1
151,400,Terry Seamens,writein,2,1
1345,400,Terry Seamens,writein,2,1
1653,400,Terry Seamens,writein,2,1
1940,400,Terry Seamens,writein,2,1
304,400,Terry Seamens,writein,2,1
2264,400,writein,skipped,2,1
2772,400,Terry Seamens,writein,2,1
2928,400,Terry Seamens,writein,2,1
3277,400,Terry Seamens,writein,2,1
3421,400,Terry Seamens,writein,2,1
4137,400,Terry Seamens,writein,2,1
374,400,Terry Seamens,writein,2,1
5198,400,Terry Seamens,writein,2,1
5556,400,Terry Seamens,writein,2,1
5597,400,Terry Seamens,writein,2,1
456,400,Terry Seamens,writein,2,1
6052,400,Terry Seamens,writein,2,1
6138,400,Terry Seamens,writein,2,1
767,400,Terry Seamens,writein,2,1
8,400,Terry Seamens,skipped,2,1
9,400,Terry Seamens,skipped,2,1
18,400,Terry Seamens,skipped,2,1
25,400,Terry Seamens,skipped,2,1
27,400,Terry Seamens,skipped,2,1
45,400,Terry Seamens,skipped,2,1
48,400,Terry Seamens,skipped,2,1
59,400,Terry Seamens,skipped,2,1
89,400,Terry Seamens,skipped,2,1
100,400,Terry Seamens,skipped,2,1
115,400,Terry Seamens,skipped,2,1
118,400,Terry Seamens,skipped,2,1
136,400,Terry Seamens,skipped,2,1
137,400,Terry Seamens,skipped,2,1
138,400,Terry Seamens,skipped,2,1
140,400,Terry Seamens,skipped,2,1
147,400,Terry Seamens,skipped,2,1
152,400,Terry Seamens,skipped,2,1
177,400,Terry Seamens,skipped,2,1
183,400,Terry Seamens,skipped,2,1
196,400,Terry Seamens,skipped,2,1
197,400,Terry Seamens,skipped,2,1
203,400,Terry Seamens,skipped,2,1
221,400,Terry Seamens,skipped,2,1
231,400,Terry Seamens,skipped,2,1
233,400,Terry Seamens,skipped,2,1
234,400,Terry Seamens,skipped,2,1
239,400,Terry Seamens,skipped,2,1
264,400,Terry Seamens,skipped,2,1
283,400,Terry Seamens,skipped,2,1
297,400,Terry Seamens,skipped,2,1
302,400,Terry Seamens,skipped,2,1
325,400,Terry Seamens,skipped,2,1
335,400,Terry Seamens,skipped,2,1
339,400,Terry Seamens,skipped,2,1
348,400,Terry Seamens,skipped,2,1
351,400,Terry Seamens,skipped,2,1
361,400,Terry Seamens,skipped,2,1
368,400,Terry Seamens,skipped,2,1
