ballotID,ward,rank1,rank2,rank3,rank4,Num cands,Num seats
2012,500,A. J. Campbell,skipped,skipped,skipped,3,1
3187,500,A. J. Campbell,skipped,skipped,skipped,3,1
1588,500,Cara Honzak,A. J. Campbell,Yared Tebabu,skipped,3,1
1656,500,Cara Honzak,A. J. Campbell,Yared Tebabu,skipped,3,1
1934,500,A. J. Campbell,Cara Honzak,skipped,skipped,3,1
116,500,Yared Tebabu,writein,A. J. Campbell,Cara Honzak,3,1
104,500,Cara Honzak,skipped,skipped,skipped,3,1
1568,500,Cara Honzak,skipped,skipped,skipped,3,1
1664,500,Cara Honzak,skipped,skipped,skipped,3,1
1427,500,Yared Tebabu,Cara Honzak,skipped,skipped,3,1
1153,500,Yared Tebabu,Cara Honzak,A. J. Campbell,writein,3,1
3935,500,A. J. Campbell,Yared Tebabu,skipped,skipped,3,1
3766,500,Yared Tebabu,skipped,skipped,skipped,3,1
5018,500,Yared Tebabu,skipped,skipped,skipped,3,1
6236,500,Yared Tebabu,skipped,skipped,skipped,3,1
6237,500,Yared Tebabu,skipped,skipped,skipped,3,1
345,500,Cara Honzak,A. J. Campbell,Yared Tebabu,skipped,3,1
3250,500,Cara Honzak,A. J. Campbell,Yared Tebabu,skipped,3,1
5197,500,Cara Honzak,A. J. Campbell,Yared Tebabu,skipped,3,1
1291,500,A. J. Campbell,Cara Honzak,Yared Tebabu,skipped,3,1
4221,500,A. J. Campbell,Cara Honzak,Yared Tebabu,skipped,3,1
4834,500,A. J. Campbell,Cara Honzak,Yared Tebabu,skipped,3,1
397,500,Yared Tebabu,Cara Honzak,A. J. Campbell,skipped,3,1
472,500,Yared Tebabu,Cara Honzak,A. J. Campbell,skipped,3,1
2106,500,Yared Tebabu,Cara Honzak,A. J. Campbell,skipped,3,1
2188,500,Yared Tebabu,Cara Honzak,A. J. Campbell,skipped,3,1
2269,500,Yared Tebabu,Cara Honzak,A. J. Campbell,skipped,3,1
2287,500,Yared Tebabu,Cara Honzak,A. J. Campbell,skipped,3,1
2687,500,Yared Tebabu,Cara Honzak,A. J. Campbell,skipped,3,1
3248,500,Yared Tebabu,Cara Honzak,A. J. Campbell,skipped,3,1
3361,500,Yared Tebabu,Cara Honzak,A. J. Campbell,skipped,3,1
3493,500,Yared Tebabu,Cara Honzak,A. J. Campbell,skipped,3,1
3497,500,Yared Tebabu,Cara Honzak,A. J. Campbell,skipped,3,1
3614,500,Yared Tebabu,Cara Honzak,A. J. Campbell,skipped,3,1
3701,500,Yared Tebabu,Cara Honzak,A. J. Campbell,skipped,3,1
3857,500,Yared Tebabu,Cara Honzak,A. J. Campbell,skipped,3,1
4181,500,Yared Tebabu,Cara Honzak,A. J. Campbell,skipped,3,1
