ballotID,ward,rank1,rank2,rank3,rank4,rank5,Num cands,Num seats
3034,600,Ambroise Agosse,Mike Moore,Jason Small,skipped,skipped,5,1
2951,600,Ambroise Agosse,Jason Small,Raju Charles,skipped,skipped,5,1
5291,600,Raju Charles,Mike Moore,Jason Small,Ambroise Agosse,skipped,5,1
5596,600,writein,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,5,1
2662,600,Mike Moore,Jason Small,writein,Raju Charles,Ambroise Agosse,5,1
589,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,5,1
2055,600,Jason Small,skipped,skipped,skipped,skipped,5,1
2660,600,Jason Small,skipped,skipped,skipped,skipped,5,1
4191,600,Jason Small,skipped,skipped,skipped,skipped,5,1
92,600,Ambroise Agosse,skipped,skipped,skipped,skipped,5,1
341,600,Ambroise Agosse,Raju Charles,Mike Moore,writein,Jason Small,5,1
5306,600,Raju Charles,Mike Moore,skipped,skipped,skipped,5,1
5735,600,writein,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,5,1
2092,600,Mike Moore,Jason Small,writein,Ambroise Agosse,Raju Charles,5,1
2093,600,Mike Moore,Jason Small,writein,Ambroise Agosse,Raju Charles,5,1
4995,600,Ambroise Agosse,Mike Moore,writein,Raju Charles,skipped,5,1
5968,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,5,1
4434,600,Ambroise Agosse,Mike Moore,Jason Small,Raju Charles,skipped,5,1
2245,600,Mike Moore,Ambroise Agosse,Jason Small,Raju Charles,writein,5,1
2926,600,Raju Charles,Ambroise Agosse,Mike Moore,Jason Small,writein,5,1
4413,600,Ambroise Agosse,Raju Charles,Jason Small,Mike Moore,writein,5,1
4830,600,Ambroise Agosse,Raju Charles,Jason Small,Mike Moore,writein,5,1
1688,600,Raju Charles,Mike Moore,Jason Small,Ambroise Agosse,skipped,5,1
2304,600,Raju Charles,Mike Moore,Jason Small,Ambroise Agosse,skipped,5,1
4780,600,Raju Charles,Mike Moore,Jason Small,Ambroise Agosse,skipped,5,1
6313,600,Raju Charles,Mike Moore,Jason Small,Ambroise Agosse,skipped,5,1
911,600,Mike Moore,Raju Charles,Jason Small,Ambroise Agosse,skipped,5,1
1276,600,Mike Moore,Raju Charles,Jason Small,Ambroise Agosse,skipped,5,1
1277,600,Mike Moore,Raju Charles,Jason Small,Ambroise Agosse,skipped,5,1
2876,600,Mike Moore,Raju Charles,Jason Small,Ambroise Agosse,skipped,5,1
2930,600,Mike Moore,Raju Charles,Jason Small,Ambroise Agosse,skipped,5,1
4398,600,Mike Moore,Raju Charles,Jason Small,Ambroise Agosse,skipped,5,1
4422,600,Mike Moore,Raju Charles,Jason Small,Ambroise Agosse,skipped,5,1
4775,600,Mike Moore,Raju Charles,Jason Small,Ambroise Agosse,skipped,5,1
6222,600,Raju Charles,Jason Small,Mike Moore,Ambroise Agosse,skipped,5,1
4725,600,writein,Jason Small,Mike Moore,Ambroise Agosse,skipped,5,1
3665,600,Jason Small,Raju Charles,Mike Moore,Ambroise Agosse,skipped,5,1
4010,600,Jason Small,Raju Charles,Mike Moore,Ambroise Agosse,skipped,5,1
4433,600,Jason Small,Raju Charles,Mike Moore,Ambroise Agosse,skipped,5,1
4642,600,Jason Small,Raju Charles,Mike Moore,Ambroise Agosse,skipped,5,1
572,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,5,1
1175,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,5,1
1207,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,5,1
1377,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,5,1
1391,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,5,1
1445,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,5,1
1843,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,5,1
2150,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,5,1
2284,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,5,1
2334,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,5,1
3540,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,5,1
3849,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,5,1
4758,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,5,1
4769,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,5,1
5341,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,5,1
5377,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,5,1
5901,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,5,1
473,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,5,1
650,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,5,1
