ballotID,ward,rank1,rank2,rank3,rank4,Num cands,Num seats
2459,100,Elizabeth Wallace,skipped,skipped,skipped,4,1
5002,100,Shana Fulcher,writein,Mark Sherman,Elizabeth Wallace,4,1
543,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
6382,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
466,100,Shana Fulcher,Mark Sherman,writein,Elizabeth Wallace,4,1
2570,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
2193,100,writein,Shana Fulcher,Elizabeth Wallace,Mark Sherman,4,1
2866,100,writein,Shana Fulcher,Elizabeth Wallace,Mark Sherman,4,1
2221,100,Shana Fulcher,writein,Elizabeth Wallace,Mark Sherman,4,1
2791,100,Shana Fulcher,writein,Elizabeth Wallace,Mark Sherman,4,1
4342,100,Elizabeth Wallace,Shana Fulcher,writein,Mark Sherman,4,1
5537,100,Shana Fulcher,Elizabeth Wallace,writein,Mark Sherman,4,1
1916,100,Shana Fulcher,Elizabeth Wallace,Mark Sherman,skipped,4,1
4560,100,writein,Elizabeth Wallace,Mark Sherman,Shana Fulcher,4,1
3415,100,Elizabeth Wallace,Mark Sherman,Shana Fulcher,skipped,4,1
4554,100,Mark Sherman,Elizabeth Wallace,Shana Fulcher,skipped,4,1
6018,100,Mark Sherman,Elizabeth Wallace,Shana Fulcher,skipped,4,1
2580,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,writein,4,1
3623,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,writein,4,1
424,100,Shana Fulcher,Elizabeth Wallace,Mark Sherman,writein,4,1
1383,100,Shana Fulcher,Elizabeth Wallace,Mark Sherman,writein,4,1
1228,100,Mark Sherman,writein,skipped,skipped,4,1
5714,100,Elizabeth Wallace,writein,skipped,skipped,4,1
4630,100,Shana Fulcher,Elizabeth Wallace,Mark Sherman,writein,4,1
51,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
71,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
88,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
175,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
185,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
187,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
309,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
310,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
330,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
398,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
420,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
544,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
583,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
639,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
644,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
736,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
737,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
758,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
828,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
841,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
893,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
896,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
935,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
1026,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
1035,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
1036,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
1130,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
1131,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
1205,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
1220,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
1244,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
1273,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
1292,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
1300,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
1307,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
1339,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
1425,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
1436,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
1467,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
1579,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
1613,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
1631,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
1697,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
1800,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
1835,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
1859,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
1868,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
1885,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
2027,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
2037,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
2090,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
2114,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
2174,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
2185,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
2218,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
2272,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
2359,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
2375,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
2434,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
2438,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
2536,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
2542,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
2630,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
2712,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
2821,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
2870,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
2900,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
2990,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
3004,100,Shana Fulcher,Mark Sherman,Elizabeth Wallace,skipped,4,1
