id1,id2,id3,ward,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
001001-00-00290000003520,11,2,1001,David J. Weinstein,Rachel B. Weinstein,Alborz Bejnood,Elizabeth Clark Polner Hudson,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,13
001001-00-00290000004057,10,2,1001,Rachel B. Weinstein,Caroline M. Hunter,David J. Weinstein,Jose Luis Rojas Villarreal,Alborz Bejnood,skipped,skipped,skipped,skipped,skipped,skipped,6,13
001001-00-00290000004798,8,2,1001,Andrew R. King,Caroline M. Hunter,"Richard Harding, Jr.",David J. Weinstein,Jose Luis Rojas Villarreal,Rachel B. Weinstein,skipped,skipped,skipped,skipped,skipped,6,13
001001-00-00290000006624,8,2,1001,"Robert Vincent Travers, Jr.",David J. Weinstein,Rachel B. Weinstein,Jose Luis Rojas Villarreal,Caroline M. Hunter,Eugenia Schraa Huh,Frantz Pierre,skipped,skipped,skipped,skipped,6,13
001001-00-00290000007581,3,2,1001,"Richard Harding, Jr.",David J. Weinstein,Andrew R. King,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,13
001001-00-00290000010042,9,2,1001,David J. Weinstein,Rachel B. Weinstein,Elizabeth Clark Polner Hudson,Eugenia Schraa Huh,Caroline M. Hunter,Andrew R. King,Alborz Bejnood,Jose Luis Rojas Villarreal,Frantz Pierre,"Richard Harding, Jr.","Robert Vincent Travers, Jr.",6,13
001001-00-00290000012922,3,2,1001,David J. Weinstein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,13
001001-00-00290000014888,7,2,1001,David J. Weinstein,Rachel B. Weinstein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,13
001001-00-00290000018839,11,2,1001,Eugenia Schraa Huh,Caroline M. Hunter,David J. Weinstein,Elizabeth Clark Polner Hudson,Jose Luis Rojas Villarreal,"Richard Harding, Jr.",skipped,skipped,skipped,skipped,skipped,6,13
001001-00-00290000019356,3,2,1001,Elizabeth Clark Polner Hudson,Rachel B. Weinstein,Andrew R. King,"Robert Vincent Travers, Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,13
001001-00-00290000020184,10,2,1001,Elizabeth Clark Polner Hudson,"Richard Harding, Jr.",Rachel B. Weinstein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,13
001001-00-00290000022675,6,2,1001,Eugenia Schraa Huh,Elizabeth Clark Polner Hudson,Rachel B. Weinstein,David J. Weinstein,"Robert Vincent Travers, Jr.",Caroline M. Hunter,skipped,skipped,skipped,skipped,skipped,6,13
001001-00-00290000024514,3,2,1001,Jose Luis Rojas Villarreal,David J. Weinstein,Rachel B. Weinstein,Caroline M. Hunter,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,13
001001-00-00290000024852,9,2,1001,"Richard Harding, Jr.",Rachel B. Weinstein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,13
001001-00-00290000026123,10,2,1001,"Richard Harding, Jr.",Frantz Pierre,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,13
001001-00-00290000028543,2,2,1001,Eugenia Schraa Huh,"Robert Vincent Travers, Jr.",David J. Weinstein,Rachel B. Weinstein,Elizabeth Clark Polner Hudson,Alborz Bejnood,Jose Luis Rojas Villarreal,Caroline M. Hunter,"Richard Harding, Jr.",Frantz Pierre,Andrew R. King,6,13
001001-00-00290000032008,7,2,1001,David J. Weinstein,Rachel B. Weinstein,Caroline M. Hunter,Andrew R. King,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,13
001001-00-00290000035132,1,2,1001,Elizabeth Clark Polner Hudson,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,13
001001-00-00290000036611,1,2,1001,Caroline M. Hunter,Eugenia Schraa Huh,Rachel B. Weinstein,Elizabeth Clark Polner Hudson,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,13
001001-00-00290000039592,6,2,1001,Rachel B. Weinstein,David J. Weinstein,Eugenia Schraa Huh,Caroline M. Hunter,Elizabeth Clark Polner Hudson,Alborz Bejnood,"Richard Harding, Jr.",Jose Luis Rojas Villarreal,Frantz Pierre,skipped,skipped,6,13
001001-00-00290000041895,8,2,1001,Elizabeth Clark Polner Hudson,Eugenia Schraa Huh,David J. Weinstein,Andrew R. King,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,13
001001-00-00290000048866,6,2,1001,Rachel B. Weinstein,Caroline M. Hunter,David J. Weinstein,Andrew R. King,Jose Luis Rojas Villarreal,Elizabeth Clark Polner Hudson,skipped,skipped,skipped,skipped,skipped,6,13
001001-00-00290000049383,10,2,1001,Elizabeth Clark Polner Hudson,Eugenia Schraa Huh,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,13
