voter_id,rank1,rank2,rank3,num_positions
112,Alistair Mason,skipped,skipped,1
113,Alistair Mason,skipped,skipped,1
114,Alistair Mason,skipped,skipped,1
115,Alistair Mason,skipped,skipped,1
116,Alistair Mason,skipped,skipped,1
117,Alistair Mason,skipped,skipped,1
118,Alistair Mason,skipped,skipped,1
119,Alistair Mason,skipped,skipped,1
120,Alistair Mason,skipped,skipped,1
121,Alistair Mason,skipped,skipped,1
122,Alistair Mason,skipped,skipped,1
123,Alistair Mason,skipped,skipped,1
124,Alistair Mason,skipped,skipped,1
125,Alistair Mason,skipped,skipped,1
126,Alistair Mason,skipped,skipped,1
127,Alistair Mason,skipped,skipped,1
128,Alistair Mason,skipped,skipped,1
129,Alistair Mason,skipped,skipped,1
130,Alistair Mason,skipped,skipped,1
131,Alistair Mason,skipped,skipped,1
132,Alistair Mason,skipped,skipped,1
133,Alistair Mason,skipped,skipped,1
134,Alistair Mason,skipped,skipped,1
135,Alistair Mason,skipped,skipped,1
136,Alistair Mason,skipped,skipped,1
137,Alistair Mason,skipped,skipped,1
138,Alistair Mason,skipped,skipped,1
139,Alistair Mason,skipped,skipped,1
140,Alistair Mason,skipped,skipped,1
141,Alistair Mason,skipped,skipped,1
142,Alistair Mason,skipped,skipped,1
143,Alistair Mason,skipped,skipped,1
144,Alistair Mason,skipped,skipped,1
145,Alistair Mason,skipped,skipped,1
146,Alistair Mason,skipped,skipped,1
147,Alistair Mason,skipped,skipped,1
148,Alistair Mason,skipped,skipped,1
149,Alistair Mason,skipped,skipped,1
150,Alistair Mason,skipped,skipped,1
151,Alistair Mason,skipped,skipped,1
152,Alistair Mason,skipped,skipped,1
153,Alistair Mason,skipped,skipped,1
154,Alistair Mason,skipped,skipped,1
155,Alistair Mason,skipped,skipped,1
156,Alistair Mason,skipped,skipped,1
157,Alistair Mason,skipped,skipped,1
158,Alistair Mason,skipped,skipped,1
159,Alistair Mason,skipped,skipped,1
160,Alistair Mason,skipped,skipped,1
161,Alistair Mason,skipped,skipped,1
162,Alistair Mason,skipped,skipped,1
163,Alistair Mason,skipped,skipped,1
164,Alistair Mason,skipped,skipped,1
165,Alistair Mason,skipped,skipped,1
166,Alistair Mason,skipped,skipped,1
167,Alistair Mason,skipped,skipped,1
168,Alistair Mason,skipped,skipped,1
169,Alistair Mason,skipped,skipped,1
170,Alistair Mason,skipped,skipped,1
171,Alistair Mason,skipped,skipped,1
172,Alistair Mason,skipped,skipped,1
173,Alistair Mason,skipped,skipped,1
174,Alistair Mason,skipped,skipped,1
175,Alistair Mason,skipped,skipped,1
176,Alistair Mason,skipped,skipped,1
177,Alistair Mason,skipped,skipped,1
178,Alistair Mason,skipped,skipped,1
179,Alistair Mason,skipped,skipped,1
180,Alistair Mason,skipped,skipped,1
181,Alistair Mason,skipped,skipped,1
182,Alistair Mason,skipped,skipped,1
183,Alistair Mason,Glen Reynolds,skipped,1
184,Alistair Mason,Glen Reynolds,skipped,1
185,Alistair Mason,Glen Reynolds,skipped,1
186,Alistair Mason,Glen Reynolds,skipped,1
187,Alistair Mason,Glen Reynolds,skipped,1
188,Alistair Mason,Glen Reynolds,skipped,1
189,Alistair Mason,Glen Reynolds,skipped,1
190,Alistair Mason,Glen Reynolds,skipped,1
191,Alistair Mason,Glen Reynolds,skipped,1
192,Alistair Mason,Glen Reynolds,skipped,1
193,Alistair Mason,Glen Reynolds,skipped,1
194,Alistair Mason,Glen Reynolds,skipped,1
195,Alistair Mason,Glen Reynolds,skipped,1
196,Alistair Mason,Glen Reynolds,skipped,1
197,Alistair Mason,Glen Reynolds,skipped,1
198,Alistair Mason,Glen Reynolds,skipped,1
199,Alistair Mason,Glen Reynolds,skipped,1
200,Alistair Mason,Glen Reynolds,skipped,1
201,Alistair Mason,Glen Reynolds,skipped,1
202,Alistair Mason,Glen Reynolds,skipped,1
203,Alistair Mason,Glen Reynolds,skipped,1
204,Alistair Mason,Glen Reynolds,skipped,1
205,Alistair Mason,Glen Reynolds,skipped,1
206,Alistair Mason,Glen Reynolds,skipped,1
207,Alistair Mason,Glen Reynolds,skipped,1
208,Alistair Mason,Glen Reynolds,skipped,1
209,Alistair Mason,Glen Reynolds,skipped,1
210,Alistair Mason,Glen Reynolds,skipped,1
211,Alistair Mason,Glen Reynolds,Iain Taylor,1
212,Alistair Mason,Glen Reynolds,Iain Taylor,1
213,Alistair Mason,Glen Reynolds,Iain Taylor,1
214,Alistair Mason,Glen Reynolds,Iain Taylor,1
215,Alistair Mason,Glen Reynolds,Iain Taylor,1
216,Alistair Mason,Glen Reynolds,Iain Taylor,1
217,Alistair Mason,Glen Reynolds,Iain Taylor,1
218,Alistair Mason,Glen Reynolds,Iain Taylor,1
219,Alistair Mason,Glen Reynolds,Iain Taylor,1
220,Alistair Mason,Glen Reynolds,Iain Taylor,1
221,Alistair Mason,Glen Reynolds,Iain Taylor,1
222,Alistair Mason,Glen Reynolds,Iain Taylor,1
223,Alistair Mason,Glen Reynolds,Iain Taylor,1
224,Alistair Mason,Glen Reynolds,Iain Taylor,1
225,Alistair Mason,Glen Reynolds,Iain Taylor,1
226,Alistair Mason,Glen Reynolds,Iain Taylor,1
227,Alistair Mason,Glen Reynolds,Iain Taylor,1
228,Alistair Mason,Glen Reynolds,Iain Taylor,1
229,Alistair Mason,Glen Reynolds,Iain Taylor,1
230,Alistair Mason,Glen Reynolds,Iain Taylor,1
231,Alistair Mason,Glen Reynolds,Iain Taylor,1
232,Alistair Mason,Glen Reynolds,Iain Taylor,1
233,Alistair Mason,Glen Reynolds,Iain Taylor,1
234,Alistair Mason,Glen Reynolds,Iain Taylor,1
235,Alistair Mason,Glen Reynolds,Iain Taylor,1
236,Alistair Mason,Glen Reynolds,Iain Taylor,1
237,Alistair Mason,Glen Reynolds,Iain Taylor,1
238,Alistair Mason,Glen Reynolds,Iain Taylor,1
239,Alistair Mason,Glen Reynolds,Iain Taylor,1
240,Alistair Mason,Glen Reynolds,Iain Taylor,1
241,Alistair Mason,Glen Reynolds,Iain Taylor,1
242,Alistair Mason,Glen Reynolds,Iain Taylor,1
243,Alistair Mason,Glen Reynolds,Iain Taylor,1
244,Alistair Mason,Glen Reynolds,Iain Taylor,1
245,Alistair Mason,Glen Reynolds,Iain Taylor,1
