voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,num_positions
6341,Alan HILL Scottish National Party (SNP),Margaret MCLELLAN Scottish Liberal Democrats,Wendy LOW-THOMSON Independent,Eleanor COLLIER Scottish National Party (SNP),Nick HOBSON Independence for Scotland Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6342,Eleanor COLLIER Scottish National Party (SNP),Alan HILL Scottish National Party (SNP),Wendy LOW-THOMSON Independent,Ian MURDOCH Independent,Jane FRASER Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6343,David John NAIRN Scottish Green Party,Margaret MCLELLAN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6344,David John NAIRN Scottish Green Party,Margaret MCLELLAN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6345,David John NAIRN Scottish Green Party,Margaret MCLELLAN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6346,David John NAIRN Scottish Green Party,Margaret MCLELLAN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6347,David John NAIRN Scottish Green Party,Margaret MCLELLAN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6348,David John NAIRN Scottish Green Party,Margaret MCLELLAN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6349,David John NAIRN Scottish Green Party,Margaret MCLELLAN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6350,James MCDAID Socialist Labour Party,David John NAIRN Scottish Green Party,Valerie REID Scottish Labour Party,Nick HOBSON Independence for Scotland Party,Ian MURDOCH Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6351,Todd FERGUSON Scottish Conservative and Unionist,Tom MARSHALL Scottish Conservative and Unionist,Jane FRASER Alba Party for independence,Alan HILL Scottish National Party (SNP),Eleanor COLLIER Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6352,David John NAIRN Scottish Green Party,James MCDAID Socialist Labour Party,Eleanor COLLIER Scottish National Party (SNP),Alan HILL Scottish National Party (SNP),Wendy LOW-THOMSON Independent,Valerie REID Scottish Labour Party,Jane FRASER Alba Party for independence,Margaret MCLELLAN Scottish Liberal Democrats,Ian MURDOCH Independent,Nick HOBSON Independence for Scotland Party,Todd FERGUSON Scottish Conservative and Unionist,Tom MARSHALL Scottish Conservative and Unionist,skipped,5
6353,Tom MARSHALL Scottish Conservative and Unionist,Todd FERGUSON Scottish Conservative and Unionist,Ian MURDOCH Independent,Wendy LOW-THOMSON Independent,Margaret MCLELLAN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6354,Tom MARSHALL Scottish Conservative and Unionist,Todd FERGUSON Scottish Conservative and Unionist,Ian MURDOCH Independent,Wendy LOW-THOMSON Independent,Margaret MCLELLAN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6355,Tom MARSHALL Scottish Conservative and Unionist,Todd FERGUSON Scottish Conservative and Unionist,Ian MURDOCH Independent,Wendy LOW-THOMSON Independent,Margaret MCLELLAN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6356,Tom MARSHALL Scottish Conservative and Unionist,Todd FERGUSON Scottish Conservative and Unionist,Ian MURDOCH Independent,Wendy LOW-THOMSON Independent,Margaret MCLELLAN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6357,Tom MARSHALL Scottish Conservative and Unionist,Todd FERGUSON Scottish Conservative and Unionist,Ian MURDOCH Independent,Wendy LOW-THOMSON Independent,Margaret MCLELLAN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6358,Tom MARSHALL Scottish Conservative and Unionist,Todd FERGUSON Scottish Conservative and Unionist,Ian MURDOCH Independent,Wendy LOW-THOMSON Independent,Margaret MCLELLAN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6359,Wendy LOW-THOMSON Independent,Ian MURDOCH Independent,Tom MARSHALL Scottish Conservative and Unionist,Todd FERGUSON Scottish Conservative and Unionist,Valerie REID Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6360,Ian MURDOCH Independent,Todd FERGUSON Scottish Conservative and Unionist,James MCDAID Socialist Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6361,Ian MURDOCH Independent,Todd FERGUSON Scottish Conservative and Unionist,James MCDAID Socialist Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6362,Valerie REID Scottish Labour Party,Ian MURDOCH Independent,Alan HILL Scottish National Party (SNP),James MCDAID Socialist Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6363,Eleanor COLLIER Scottish National Party (SNP),David John NAIRN Scottish Green Party,James MCDAID Socialist Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6364,Eleanor COLLIER Scottish National Party (SNP),David John NAIRN Scottish Green Party,James MCDAID Socialist Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
