voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,num_positions
2102,Guy NJALI BOLA Alba Party for independence,Frank MCNIFF Independent,Elizabeth Anne BROWN Scottish Green Party,skipped,skipped,skipped,skipped,4
2103,Guy NJALI BOLA Alba Party for independence,Frank MCNIFF Independent,Elizabeth Anne BROWN Scottish Green Party,skipped,skipped,skipped,skipped,4
2104,Lillian JONES Scottish Labour Party,Iain LINTON Scottish National Party (SNP),Douglas REID Scottish National Party (SNP),Elizabeth Anne BROWN Scottish Green Party,Frank MCNIFF Independent,James ADAMS Scottish Conservative and Unionist,Guy NJALI BOLA Alba Party for independence,4
2105,Lillian JONES Scottish Labour Party,Iain LINTON Scottish National Party (SNP),Douglas REID Scottish National Party (SNP),Elizabeth Anne BROWN Scottish Green Party,Frank MCNIFF Independent,James ADAMS Scottish Conservative and Unionist,Guy NJALI BOLA Alba Party for independence,4
2106,Lillian JONES Scottish Labour Party,Elizabeth Anne BROWN Scottish Green Party,Douglas REID Scottish National Party (SNP),Iain LINTON Scottish National Party (SNP),Frank MCNIFF Independent,skipped,skipped,4
2107,James ADAMS Scottish Conservative and Unionist,Elizabeth Anne BROWN Scottish Green Party,Douglas REID Scottish National Party (SNP),Iain LINTON Scottish National Party (SNP),skipped,skipped,skipped,4
2108,James ADAMS Scottish Conservative and Unionist,Elizabeth Anne BROWN Scottish Green Party,Guy NJALI BOLA Alba Party for independence,skipped,skipped,skipped,skipped,4
2109,Guy NJALI BOLA Alba Party for independence,Douglas REID Scottish National Party (SNP),Elizabeth Anne BROWN Scottish Green Party,Iain LINTON Scottish National Party (SNP),Frank MCNIFF Independent,Lillian JONES Scottish Labour Party,James ADAMS Scottish Conservative and Unionist,4
2110,Douglas REID Scottish National Party (SNP),Iain LINTON Scottish National Party (SNP),Lillian JONES Scottish Labour Party,Frank MCNIFF Independent,Elizabeth Anne BROWN Scottish Green Party,Guy NJALI BOLA Alba Party for independence,James ADAMS Scottish Conservative and Unionist,4
2111,Douglas REID Scottish National Party (SNP),Iain LINTON Scottish National Party (SNP),Lillian JONES Scottish Labour Party,Frank MCNIFF Independent,Elizabeth Anne BROWN Scottish Green Party,Guy NJALI BOLA Alba Party for independence,James ADAMS Scottish Conservative and Unionist,4
2112,Douglas REID Scottish National Party (SNP),Elizabeth Anne BROWN Scottish Green Party,Iain LINTON Scottish National Party (SNP),Lillian JONES Scottish Labour Party,Frank MCNIFF Independent,skipped,skipped,4
2113,Douglas REID Scottish National Party (SNP),Iain LINTON Scottish National Party (SNP),Elizabeth Anne BROWN Scottish Green Party,Frank MCNIFF Independent,Lillian JONES Scottish Labour Party,Guy NJALI BOLA Alba Party for independence,James ADAMS Scottish Conservative and Unionist,4
2114,Douglas REID Scottish National Party (SNP),Iain LINTON Scottish National Party (SNP),Elizabeth Anne BROWN Scottish Green Party,Frank MCNIFF Independent,Lillian JONES Scottish Labour Party,Guy NJALI BOLA Alba Party for independence,James ADAMS Scottish Conservative and Unionist,4
2115,Douglas REID Scottish National Party (SNP),Iain LINTON Scottish National Party (SNP),Elizabeth Anne BROWN Scottish Green Party,Frank MCNIFF Independent,Lillian JONES Scottish Labour Party,Guy NJALI BOLA Alba Party for independence,James ADAMS Scottish Conservative and Unionist,4
2116,Douglas REID Scottish National Party (SNP),Iain LINTON Scottish National Party (SNP),Elizabeth Anne BROWN Scottish Green Party,Frank MCNIFF Independent,Lillian JONES Scottish Labour Party,Guy NJALI BOLA Alba Party for independence,James ADAMS Scottish Conservative and Unionist,4
2117,Douglas REID Scottish National Party (SNP),Iain LINTON Scottish National Party (SNP),Elizabeth Anne BROWN Scottish Green Party,Frank MCNIFF Independent,Lillian JONES Scottish Labour Party,Guy NJALI BOLA Alba Party for independence,James ADAMS Scottish Conservative and Unionist,4
2118,Douglas REID Scottish National Party (SNP),Iain LINTON Scottish National Party (SNP),Elizabeth Anne BROWN Scottish Green Party,Frank MCNIFF Independent,Lillian JONES Scottish Labour Party,Guy NJALI BOLA Alba Party for independence,James ADAMS Scottish Conservative and Unionist,4
2119,Douglas REID Scottish National Party (SNP),Iain LINTON Scottish National Party (SNP),Elizabeth Anne BROWN Scottish Green Party,Frank MCNIFF Independent,Lillian JONES Scottish Labour Party,Guy NJALI BOLA Alba Party for independence,James ADAMS Scottish Conservative and Unionist,4
2120,Iain LINTON Scottish National Party (SNP),Douglas REID Scottish National Party (SNP),James ADAMS Scottish Conservative and Unionist,Lillian JONES Scottish Labour Party,Elizabeth Anne BROWN Scottish Green Party,Guy NJALI BOLA Alba Party for independence,skipped,4
2121,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,Lillian JONES Scottish Labour Party,Elizabeth Anne BROWN Scottish Green Party,skipped,skipped,skipped,4
2122,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,Lillian JONES Scottish Labour Party,Elizabeth Anne BROWN Scottish Green Party,skipped,skipped,skipped,4
2123,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,Lillian JONES Scottish Labour Party,Elizabeth Anne BROWN Scottish Green Party,skipped,skipped,skipped,4
2124,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,Lillian JONES Scottish Labour Party,Elizabeth Anne BROWN Scottish Green Party,skipped,skipped,skipped,4
2125,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,Lillian JONES Scottish Labour Party,Elizabeth Anne BROWN Scottish Green Party,skipped,skipped,skipped,4
2126,Iain LINTON Scottish National Party (SNP),Frank MCNIFF Independent,Douglas REID Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
2127,Iain LINTON Scottish National Party (SNP),Frank MCNIFF Independent,Douglas REID Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
2128,Iain LINTON Scottish National Party (SNP),Frank MCNIFF Independent,Douglas REID Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
2129,Iain LINTON Scottish National Party (SNP),Frank MCNIFF Independent,Douglas REID Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
2130,Elizabeth Anne BROWN Scottish Green Party,Lillian JONES Scottish Labour Party,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
2131,Elizabeth Anne BROWN Scottish Green Party,Lillian JONES Scottish Labour Party,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
2132,Elizabeth Anne BROWN Scottish Green Party,Lillian JONES Scottish Labour Party,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
2133,Elizabeth Anne BROWN Scottish Green Party,Lillian JONES Scottish Labour Party,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
2134,Elizabeth Anne BROWN Scottish Green Party,Lillian JONES Scottish Labour Party,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
2135,Elizabeth Anne BROWN Scottish Green Party,Lillian JONES Scottish Labour Party,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
