voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,num_positions
55,Douglas CANNING (Soc),Eddie GRADY  (Lab),Margaret DEVINE (Lab),skipped,skipped,skipped,skipped,3
56,Douglas CANNING (Soc),Eddie GRADY  (Lab),Margaret DEVINE (Lab),skipped,skipped,skipped,skipped,3
57,Douglas CANNING (Soc),Eddie GRADY  (Lab),Margaret DEVINE (Lab),skipped,skipped,skipped,skipped,3
58,Douglas CANNING (Soc),Eddie GRADY  (Lab),Margaret DEVINE (Lab),skipped,skipped,skipped,skipped,3
59,Douglas CANNING (Soc),Eddie GRADY  (Lab),Margaret DEVINE (Lab),Cathy MCEWAN (SNP),Garry QUIGLEY (SNP),Michael HANLEY (LD),Helen MATHIE (Con),3
60,Douglas CANNING (Soc),Eddie GRADY  (Lab),Margaret DEVINE (Lab),Garry QUIGLEY (SNP),Cathy MCEWAN (SNP),skipped,skipped,3
61,Douglas CANNING (Soc),Eddie GRADY  (Lab),Cathy MCEWAN (SNP),skipped,skipped,skipped,skipped,3
62,Douglas CANNING (Soc),Eddie GRADY  (Lab),Garry QUIGLEY (SNP),Cathy MCEWAN (SNP),skipped,skipped,skipped,3
63,Douglas CANNING (Soc),Michael HANLEY (LD),skipped,skipped,skipped,skipped,skipped,3
64,Douglas CANNING (Soc),Michael HANLEY (LD),skipped,skipped,skipped,skipped,skipped,3
65,Douglas CANNING (Soc),Michael HANLEY (LD),skipped,skipped,skipped,skipped,skipped,3
66,Douglas CANNING (Soc),Michael HANLEY (LD),Eddie GRADY  (Lab),Margaret DEVINE (Lab),Helen MATHIE (Con),Garry QUIGLEY (SNP),Cathy MCEWAN (SNP),3
67,Douglas CANNING (Soc),Michael HANLEY (LD),Helen MATHIE (Con),skipped,skipped,skipped,skipped,3
68,Douglas CANNING (Soc),Michael HANLEY (LD),Helen MATHIE (Con),skipped,skipped,skipped,skipped,3
69,Douglas CANNING (Soc),Michael HANLEY (LD),Cathy MCEWAN (SNP),Eddie GRADY  (Lab),Garry QUIGLEY (SNP),Helen MATHIE (Con),Margaret DEVINE (Lab),3
70,Douglas CANNING (Soc),Helen MATHIE (Con),Eddie GRADY  (Lab),skipped,skipped,skipped,skipped,3
71,Douglas CANNING (Soc),Helen MATHIE (Con),Eddie GRADY  (Lab),skipped,skipped,skipped,skipped,3
72,Douglas CANNING (Soc),Helen MATHIE (Con),Michael HANLEY (LD),Margaret DEVINE (Lab),Eddie GRADY  (Lab),skipped,skipped,3
73,Douglas CANNING (Soc),Cathy MCEWAN (SNP),skipped,skipped,skipped,skipped,skipped,3
74,Douglas CANNING (Soc),Cathy MCEWAN (SNP),Eddie GRADY  (Lab),Margaret DEVINE (Lab),skipped,skipped,skipped,3
75,Douglas CANNING (Soc),Cathy MCEWAN (SNP),Michael HANLEY (LD),skipped,skipped,skipped,skipped,3
76,Douglas CANNING (Soc),Cathy MCEWAN (SNP),Garry QUIGLEY (SNP),skipped,skipped,skipped,skipped,3
77,Douglas CANNING (Soc),Cathy MCEWAN (SNP),Garry QUIGLEY (SNP),skipped,skipped,skipped,skipped,3
78,Douglas CANNING (Soc),Cathy MCEWAN (SNP),Garry QUIGLEY (SNP),skipped,skipped,skipped,skipped,3
79,Douglas CANNING (Soc),Cathy MCEWAN (SNP),Garry QUIGLEY (SNP),skipped,skipped,skipped,skipped,3
80,Douglas CANNING (Soc),Cathy MCEWAN (SNP),Garry QUIGLEY (SNP),skipped,skipped,skipped,skipped,3
81,Douglas CANNING (Soc),Cathy MCEWAN (SNP),Garry QUIGLEY (SNP),skipped,skipped,skipped,skipped,3
82,Douglas CANNING (Soc),Cathy MCEWAN (SNP),Garry QUIGLEY (SNP),skipped,skipped,skipped,skipped,3
83,Douglas CANNING (Soc),Cathy MCEWAN (SNP),Garry QUIGLEY (SNP),skipped,skipped,skipped,skipped,3
84,Douglas CANNING (Soc),Cathy MCEWAN (SNP),Garry QUIGLEY (SNP),Margaret DEVINE (Lab),Eddie GRADY  (Lab),skipped,skipped,3
85,Douglas CANNING (Soc),Cathy MCEWAN (SNP),Garry QUIGLEY (SNP),Margaret DEVINE (Lab),Eddie GRADY  (Lab),skipped,skipped,3
86,Douglas CANNING (Soc),Garry QUIGLEY (SNP),Eddie GRADY  (Lab),Cathy MCEWAN (SNP),Michael HANLEY (LD),Margaret DEVINE (Lab),Helen MATHIE (Con),3
87,Douglas CANNING (Soc),Garry QUIGLEY (SNP),Cathy MCEWAN (SNP),skipped,skipped,skipped,skipped,3
88,Douglas CANNING (Soc),Garry QUIGLEY (SNP),Cathy MCEWAN (SNP),skipped,skipped,skipped,skipped,3
89,Douglas CANNING (Soc),Garry QUIGLEY (SNP),Cathy MCEWAN (SNP),Margaret DEVINE (Lab),Eddie GRADY  (Lab),Michael HANLEY (LD),skipped,3
90,Margaret DEVINE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,3
91,Margaret DEVINE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,3
92,Margaret DEVINE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,3
93,Margaret DEVINE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,3
94,Margaret DEVINE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,3
