voter_id,rank1,rank2,rank3,rank4,num_positions
0,Norman SMITH Scottish National Party (SNP),Angus MORRISON Independent,skipped,skipped,2
1,Norman SMITH Scottish National Party (SNP),Angus MORRISON Independent,skipped,skipped,2
2,Norman SMITH Scottish National Party (SNP),Angus MORRISON Independent,skipped,skipped,2
3,Norman SMITH Scottish National Party (SNP),Angus MORRISON Independent,skipped,skipped,2
4,Norman SMITH Scottish National Party (SNP),Angus MORRISON Independent,skipped,skipped,2
5,Norman SMITH Scottish National Party (SNP),Angus MORRISON Independent,skipped,skipped,2
6,Norman SMITH Scottish National Party (SNP),Angus MORRISON Independent,skipped,skipped,2
7,Norman SMITH Scottish National Party (SNP),Angus MORRISON Independent,skipped,skipped,2
8,Norman SMITH Scottish National Party (SNP),Angus MORRISON Independent,skipped,skipped,2
9,Robert MACKENZIE Independent,Angus MORRISON Independent,Norman SMITH Scottish National Party (SNP),skipped,2
10,Robert MACKENZIE Independent,Angus MORRISON Independent,Norman SMITH Scottish National Party (SNP),skipped,2
11,Robert MACKENZIE Independent,Angus MORRISON Independent,Norman SMITH Scottish National Party (SNP),skipped,2
12,Robert MACKENZIE Independent,Angus MORRISON Independent,Norman SMITH Scottish National Party (SNP),skipped,2
13,Robert MACKENZIE Independent,Angus MORRISON Independent,Norman SMITH Scottish National Party (SNP),skipped,2
14,Robert MACKENZIE Independent,Angus MORRISON Independent,Norman SMITH Scottish National Party (SNP),skipped,2
15,Robert MACKENZIE Independent,Angus MORRISON Independent,Norman SMITH Scottish National Party (SNP),skipped,2
16,Robert MACKENZIE Independent,Angus MORRISON Independent,Norman SMITH Scottish National Party (SNP),skipped,2
17,Robert MACKENZIE Independent,Angus MORRISON Independent,Norman SMITH Scottish National Party (SNP),skipped,2
18,Angus MORRISON Independent,Robert MACKENZIE Independent,Norman SMITH Scottish National Party (SNP),skipped,2
19,Angus MORRISON Independent,Robert MACKENZIE Independent,Norman SMITH Scottish National Party (SNP),skipped,2
20,Angus MORRISON Independent,Robert MACKENZIE Independent,Norman SMITH Scottish National Party (SNP),skipped,2
21,Angus MORRISON Independent,Robert MACKENZIE Independent,Norman SMITH Scottish National Party (SNP),skipped,2
