voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
4973,Al CLARK Scottish Liberal Democrats,Rosalind GARTON Scottish Labour Party,skipped,skipped,skipped,skipped,4
4974,Al CLARK Scottish Liberal Democrats,Rosalind GARTON Scottish Labour Party,skipped,skipped,skipped,skipped,4
4975,Al CLARK Scottish Liberal Democrats,Rosalind GARTON Scottish Labour Party,skipped,skipped,skipped,skipped,4
4976,Al CLARK Scottish Liberal Democrats,Rosalind GARTON Scottish Labour Party,skipped,skipped,skipped,skipped,4
4977,Al CLARK Scottish Liberal Democrats,Rosalind GARTON Scottish Labour Party,skipped,skipped,skipped,skipped,4
4978,Al CLARK Scottish Liberal Democrats,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4979,Ann VERNER Scottish National Party (SNP),Rosalind GARTON Scottish Labour Party,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,skipped,4
4980,Ann VERNER Scottish National Party (SNP),Rosalind GARTON Scottish Labour Party,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,skipped,4
4981,Ann VERNER Scottish National Party (SNP),Rosalind GARTON Scottish Labour Party,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,skipped,4
4982,Ann VERNER Scottish National Party (SNP),Rosalind GARTON Scottish Labour Party,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,skipped,4
4983,Ann VERNER Scottish National Party (SNP),Rosalind GARTON Scottish Labour Party,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,skipped,4
