voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
1366,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1367,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1368,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1369,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1370,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1371,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1372,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1373,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1374,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1375,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1376,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1377,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1378,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1379,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1380,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1381,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1382,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1383,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1384,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1385,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1386,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1387,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1388,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1389,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1390,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1391,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1392,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
1393,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
