voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,num_positions
0,Daniel FRASER (Libtn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
1,Daniel FRASER (Libtn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
2,Daniel FRASER (Libtn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
3,Daniel FRASER (Libtn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4,Daniel FRASER (Libtn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
5,Daniel FRASER (Libtn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6,Daniel FRASER (Libtn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
7,Daniel FRASER (Libtn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
8,Daniel FRASER (Libtn),Louise YOUNG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
9,Daniel FRASER (Libtn),Louise YOUNG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
10,Daniel FRASER (Libtn),Louise YOUNG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
11,Daniel FRASER (Libtn),Louise YOUNG (LD),Graham HUTCHISON (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
12,Daniel FRASER (Libtn),Louise YOUNG (LD),Graham HUTCHISON (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
13,Daniel FRASER (Libtn),Louise YOUNG (LD),Graham HUTCHISON (C),Kevin LANG (LD),Bruce WHITEHEAD (Lab),John LONGSTAFF (Ind),Iain MCKINNON-WADDELL (Grn),Otto INGLIS (UKIP),Norrie WORK (SNP),Pamela MITCHELL (SNP),skipped,4
14,Daniel FRASER (Libtn),Louise YOUNG (LD),Kevin LANG (LD),Graham HUTCHISON (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
15,Daniel FRASER (Libtn),Louise YOUNG (LD),Pamela MITCHELL (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
16,Daniel FRASER (Libtn),Louise YOUNG (LD),Pamela MITCHELL (SNP),Bruce WHITEHEAD (Lab),John LONGSTAFF (Ind),Kevin LANG (LD),Otto INGLIS (UKIP),Iain MCKINNON-WADDELL (Grn),skipped,skipped,skipped,4
17,Daniel FRASER (Libtn),Louise YOUNG (LD),Bruce WHITEHEAD (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
18,Daniel FRASER (Libtn),Graham HUTCHISON (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
19,Daniel FRASER (Libtn),Graham HUTCHISON (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
20,Daniel FRASER (Libtn),Graham HUTCHISON (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
21,Daniel FRASER (Libtn),Graham HUTCHISON (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
22,Daniel FRASER (Libtn),Graham HUTCHISON (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
23,Daniel FRASER (Libtn),Graham HUTCHISON (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
24,Daniel FRASER (Libtn),Graham HUTCHISON (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
25,Daniel FRASER (Libtn),Graham HUTCHISON (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
26,Daniel FRASER (Libtn),Graham HUTCHISON (C),Louise YOUNG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
27,Daniel FRASER (Libtn),Graham HUTCHISON (C),Otto INGLIS (UKIP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
28,Daniel FRASER (Libtn),Graham HUTCHISON (C),Otto INGLIS (UKIP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
29,Daniel FRASER (Libtn),Graham HUTCHISON (C),Otto INGLIS (UKIP),Kevin LANG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
30,Daniel FRASER (Libtn),Graham HUTCHISON (C),Otto INGLIS (UKIP),Pamela MITCHELL (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
31,Daniel FRASER (Libtn),Graham HUTCHISON (C),Kevin LANG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
32,Daniel FRASER (Libtn),Graham HUTCHISON (C),Kevin LANG (LD),Louise YOUNG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
33,Daniel FRASER (Libtn),Graham HUTCHISON (C),Kevin LANG (LD),Louise YOUNG (LD),Iain MCKINNON-WADDELL (Grn),skipped,skipped,skipped,skipped,skipped,skipped,4
34,Daniel FRASER (Libtn),Graham HUTCHISON (C),Kevin LANG (LD),Louise YOUNG (LD),Bruce WHITEHEAD (Lab),skipped,skipped,skipped,skipped,skipped,skipped,4
35,Daniel FRASER (Libtn),Graham HUTCHISON (C),Kevin LANG (LD),John LONGSTAFF (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
36,Daniel FRASER (Libtn),Graham HUTCHISON (C),Kevin LANG (LD),Bruce WHITEHEAD (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
37,Daniel FRASER (Libtn),Graham HUTCHISON (C),John LONGSTAFF (Ind),Louise YOUNG (LD),Kevin LANG (LD),Otto INGLIS (UKIP),Iain MCKINNON-WADDELL (Grn),Bruce WHITEHEAD (Lab),Pamela MITCHELL (SNP),Norrie WORK (SNP),skipped,4
38,Daniel FRASER (Libtn),Graham HUTCHISON (C),Iain MCKINNON-WADDELL (Grn),Bruce WHITEHEAD (Lab),Pamela MITCHELL (SNP),Norrie WORK (SNP),Louise YOUNG (LD),John LONGSTAFF (Ind),Kevin LANG (LD),Otto INGLIS (UKIP),skipped,4
39,Daniel FRASER (Libtn),Graham HUTCHISON (C),Pamela MITCHELL (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
40,Daniel FRASER (Libtn),Graham HUTCHISON (C),Bruce WHITEHEAD (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
41,Daniel FRASER (Libtn),Graham HUTCHISON (C),Bruce WHITEHEAD (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
42,Daniel FRASER (Libtn),Otto INGLIS (UKIP),Louise YOUNG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
43,Daniel FRASER (Libtn),Otto INGLIS (UKIP),Graham HUTCHISON (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
44,Daniel FRASER (Libtn),Otto INGLIS (UKIP),Kevin LANG (LD),Pamela MITCHELL (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
45,Daniel FRASER (Libtn),Otto INGLIS (UKIP),John LONGSTAFF (Ind),Pamela MITCHELL (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
46,Daniel FRASER (Libtn),Otto INGLIS (UKIP),Iain MCKINNON-WADDELL (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
47,Daniel FRASER (Libtn),Otto INGLIS (UKIP),Pamela MITCHELL (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
48,Daniel FRASER (Libtn),Otto INGLIS (UKIP),Bruce WHITEHEAD (Lab),Louise YOUNG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
49,Daniel FRASER (Libtn),Kevin LANG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
50,Daniel FRASER (Libtn),Kevin LANG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
51,Daniel FRASER (Libtn),Kevin LANG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
52,Daniel FRASER (Libtn),Kevin LANG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
53,Daniel FRASER (Libtn),Kevin LANG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
54,Daniel FRASER (Libtn),Kevin LANG (LD),Louise YOUNG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
55,Daniel FRASER (Libtn),Kevin LANG (LD),Louise YOUNG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
56,Daniel FRASER (Libtn),Kevin LANG (LD),Louise YOUNG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
57,Daniel FRASER (Libtn),Kevin LANG (LD),Louise YOUNG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
58,Daniel FRASER (Libtn),Kevin LANG (LD),Louise YOUNG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
59,Daniel FRASER (Libtn),Kevin LANG (LD),Louise YOUNG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
60,Daniel FRASER (Libtn),Kevin LANG (LD),Louise YOUNG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
61,Daniel FRASER (Libtn),Kevin LANG (LD),Louise YOUNG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
62,Daniel FRASER (Libtn),Kevin LANG (LD),Louise YOUNG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
63,Daniel FRASER (Libtn),Kevin LANG (LD),Louise YOUNG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
64,Daniel FRASER (Libtn),Kevin LANG (LD),Louise YOUNG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
65,Daniel FRASER (Libtn),Kevin LANG (LD),Louise YOUNG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
66,Daniel FRASER (Libtn),Kevin LANG (LD),Louise YOUNG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
67,Daniel FRASER (Libtn),Kevin LANG (LD),Louise YOUNG (LD),Graham HUTCHISON (C),Otto INGLIS (UKIP),Bruce WHITEHEAD (Lab),John LONGSTAFF (Ind),Iain MCKINNON-WADDELL (Grn),Pamela MITCHELL (SNP),Norrie WORK (SNP),skipped,4
68,Daniel FRASER (Libtn),Kevin LANG (LD),Louise YOUNG (LD),John LONGSTAFF (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
69,Daniel FRASER (Libtn),Kevin LANG (LD),Louise YOUNG (LD),Bruce WHITEHEAD (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
70,Daniel FRASER (Libtn),Kevin LANG (LD),Louise YOUNG (LD),Bruce WHITEHEAD (Lab),John LONGSTAFF (Ind),Graham HUTCHISON (C),skipped,skipped,skipped,skipped,skipped,4
71,Daniel FRASER (Libtn),Kevin LANG (LD),Graham HUTCHISON (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
72,Daniel FRASER (Libtn),Kevin LANG (LD),Graham HUTCHISON (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
73,Daniel FRASER (Libtn),Kevin LANG (LD),John LONGSTAFF (Ind),Bruce WHITEHEAD (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
74,Daniel FRASER (Libtn),Kevin LANG (LD),Iain MCKINNON-WADDELL (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
75,Daniel FRASER (Libtn),Kevin LANG (LD),Iain MCKINNON-WADDELL (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
76,Daniel FRASER (Libtn),Kevin LANG (LD),Iain MCKINNON-WADDELL (Grn),Louise YOUNG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
77,Daniel FRASER (Libtn),Kevin LANG (LD),Norrie WORK (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
78,Daniel FRASER (Libtn),Kevin LANG (LD),Norrie WORK (SNP),Pamela MITCHELL (SNP),Graham HUTCHISON (C),Otto INGLIS (UKIP),Iain MCKINNON-WADDELL (Grn),Louise YOUNG (LD),John LONGSTAFF (Ind),skipped,skipped,4
79,Daniel FRASER (Libtn),John LONGSTAFF (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
80,Daniel FRASER (Libtn),John LONGSTAFF (Ind),Bruce WHITEHEAD (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
81,Daniel FRASER (Libtn),John LONGSTAFF (Ind),Bruce WHITEHEAD (Lab),Louise YOUNG (LD),Kevin LANG (LD),Graham HUTCHISON (C),Iain MCKINNON-WADDELL (Grn),Norrie WORK (SNP),Pamela MITCHELL (SNP),Otto INGLIS (UKIP),skipped,4
82,Daniel FRASER (Libtn),Iain MCKINNON-WADDELL (Grn),Louise YOUNG (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
