voter_id,rank1,rank2,rank3,rank4,num_positions
0,Stuart DUFFIN,skipped,skipped,skipped,1
1,Stuart DUFFIN,skipped,skipped,skipped,1
2,Stuart DUFFIN,skipped,skipped,skipped,1
3,Stuart DUFFIN,skipped,skipped,skipped,1
4,Stuart DUFFIN,skipped,skipped,skipped,1
5,Stuart DUFFIN,skipped,skipped,skipped,1
6,Stuart DUFFIN,skipped,skipped,skipped,1
7,Stuart DUFFIN,skipped,skipped,skipped,1
8,Stuart DUFFIN,skipped,skipped,skipped,1
9,Stuart DUFFIN,skipped,skipped,skipped,1
10,Stuart DUFFIN,skipped,skipped,skipped,1
11,Stuart DUFFIN,skipped,skipped,skipped,1
12,Stuart DUFFIN,skipped,skipped,skipped,1
13,Stuart DUFFIN,skipped,skipped,skipped,1
14,Stuart DUFFIN,skipped,skipped,skipped,1
15,Stuart DUFFIN,skipped,skipped,skipped,1
16,Stuart DUFFIN,skipped,skipped,skipped,1
17,Stuart DUFFIN,skipped,skipped,skipped,1
18,Stuart DUFFIN,skipped,skipped,skipped,1
19,Stuart DUFFIN,skipped,skipped,skipped,1
20,Stuart DUFFIN,skipped,skipped,skipped,1
21,Stuart DUFFIN,skipped,skipped,skipped,1
22,Stuart DUFFIN,skipped,skipped,skipped,1
23,Stuart DUFFIN,skipped,skipped,skipped,1
24,Stuart DUFFIN,skipped,skipped,skipped,1
25,Stuart DUFFIN,skipped,skipped,skipped,1
26,Stuart DUFFIN,skipped,skipped,skipped,1
27,Stuart DUFFIN,skipped,skipped,skipped,1
28,Stuart DUFFIN,skipped,skipped,skipped,1
29,Stuart DUFFIN,skipped,skipped,skipped,1
30,Stuart DUFFIN,skipped,skipped,skipped,1
31,Stuart DUFFIN,skipped,skipped,skipped,1
32,Stuart DUFFIN,skipped,skipped,skipped,1
33,Stuart DUFFIN,skipped,skipped,skipped,1
34,Stuart DUFFIN,skipped,skipped,skipped,1
35,Stuart DUFFIN,skipped,skipped,skipped,1
36,Stuart DUFFIN,skipped,skipped,skipped,1
37,Stuart DUFFIN,skipped,skipped,skipped,1
38,Stuart DUFFIN,skipped,skipped,skipped,1
39,Stuart DUFFIN,skipped,skipped,skipped,1
40,Stuart DUFFIN,skipped,skipped,skipped,1
41,Stuart DUFFIN,skipped,skipped,skipped,1
42,Stuart DUFFIN,James MARSHALL,skipped,skipped,1
43,Stuart DUFFIN,James MARSHALL,skipped,skipped,1
44,Stuart DUFFIN,James MARSHALL,skipped,skipped,1
45,Stuart DUFFIN,James MARSHALL,skipped,skipped,1
46,Stuart DUFFIN,James MARSHALL,skipped,skipped,1
47,Stuart DUFFIN,James MARSHALL,skipped,skipped,1
48,Stuart DUFFIN,James MARSHALL,skipped,skipped,1
49,Stuart DUFFIN,James MARSHALL,skipped,skipped,1
50,Stuart DUFFIN,James MARSHALL,skipped,skipped,1
51,Stuart DUFFIN,James MARSHALL,skipped,skipped,1
52,Stuart DUFFIN,James MARSHALL,skipped,skipped,1
53,Stuart DUFFIN,James MARSHALL,skipped,skipped,1
54,Stuart DUFFIN,James MARSHALL,skipped,skipped,1
55,Stuart DUFFIN,James MARSHALL,skipped,skipped,1
56,Stuart DUFFIN,James MARSHALL,skipped,skipped,1
57,Stuart DUFFIN,James MARSHALL,Sarah PATRICK,skipped,1
58,Stuart DUFFIN,James MARSHALL,Sarah PATRICK,skipped,1
59,Stuart DUFFIN,James MARSHALL,Sarah PATRICK,Emma Lindsey RUSSELL,1
60,Stuart DUFFIN,James MARSHALL,Sarah PATRICK,Emma Lindsey RUSSELL,1
61,Stuart DUFFIN,James MARSHALL,Sarah PATRICK,Emma Lindsey RUSSELL,1
62,Stuart DUFFIN,James MARSHALL,Sarah PATRICK,Emma Lindsey RUSSELL,1
63,Stuart DUFFIN,James MARSHALL,Sarah PATRICK,Emma Lindsey RUSSELL,1
64,Stuart DUFFIN,James MARSHALL,Sarah PATRICK,Emma Lindsey RUSSELL,1
65,Stuart DUFFIN,James MARSHALL,Sarah PATRICK,Emma Lindsey RUSSELL,1
66,Stuart DUFFIN,James MARSHALL,Emma Lindsey RUSSELL,skipped,1
67,Stuart DUFFIN,James MARSHALL,Emma Lindsey RUSSELL,skipped,1
68,Stuart DUFFIN,James MARSHALL,Emma Lindsey RUSSELL,skipped,1
69,Stuart DUFFIN,James MARSHALL,Emma Lindsey RUSSELL,skipped,1
70,Stuart DUFFIN,James MARSHALL,Emma Lindsey RUSSELL,skipped,1
71,Stuart DUFFIN,James MARSHALL,Emma Lindsey RUSSELL,skipped,1
72,Stuart DUFFIN,James MARSHALL,Emma Lindsey RUSSELL,skipped,1
73,Stuart DUFFIN,James MARSHALL,Emma Lindsey RUSSELL,skipped,1
74,Stuart DUFFIN,James MARSHALL,Emma Lindsey RUSSELL,skipped,1
75,Stuart DUFFIN,James MARSHALL,Emma Lindsey RUSSELL,skipped,1
76,Stuart DUFFIN,James MARSHALL,Emma Lindsey RUSSELL,skipped,1
77,Stuart DUFFIN,James MARSHALL,Emma Lindsey RUSSELL,skipped,1
78,Stuart DUFFIN,James MARSHALL,Emma Lindsey RUSSELL,Sarah PATRICK,1
79,Stuart DUFFIN,James MARSHALL,Emma Lindsey RUSSELL,Sarah PATRICK,1
80,Stuart DUFFIN,James MARSHALL,Emma Lindsey RUSSELL,Sarah PATRICK,1
81,Stuart DUFFIN,James MARSHALL,Emma Lindsey RUSSELL,Sarah PATRICK,1
