voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,num_positions
0,Jim MONTGOMERIE Scottish Labour Party,John SWEENEY Scottish Labour Party,Ronnie MCNICOL Independent,Jimmy MILLER Independent,Jean MCCLUNG Scottish National Party (SNP),Davina MCTIERNAN Scottish National Party (SNP),David HIGGINS Independence for Scotland Party,Cameron INGLIS Scottish Conservative and Unionist,skipped,5
1,Jim MONTGOMERIE Scottish Labour Party,John SWEENEY Scottish Labour Party,Ronnie MCNICOL Independent,Jimmy MILLER Independent,Jean MCCLUNG Scottish National Party (SNP),Davina MCTIERNAN Scottish National Party (SNP),David HIGGINS Independence for Scotland Party,Cameron INGLIS Scottish Conservative and Unionist,skipped,5
2,Jim MONTGOMERIE Scottish Labour Party,John SWEENEY Scottish Labour Party,Ronnie MCNICOL Independent,Jimmy MILLER Independent,Cameron INGLIS Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,5
3,Jim MONTGOMERIE Scottish Labour Party,John SWEENEY Scottish Labour Party,Ronnie MCNICOL Independent,Jimmy MILLER Independent,Cameron INGLIS Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,5
4,Jim MONTGOMERIE Scottish Labour Party,John SWEENEY Scottish Labour Party,Ronnie MCNICOL Independent,Jimmy MILLER Independent,Cameron INGLIS Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,5
5,Jim MONTGOMERIE Scottish Labour Party,John SWEENEY Scottish Labour Party,Ronnie MCNICOL Independent,Jimmy MILLER Independent,Cameron INGLIS Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,5
6,Jim MONTGOMERIE Scottish Labour Party,John SWEENEY Scottish Labour Party,Ronnie MCNICOL Independent,Jimmy MILLER Independent,Cameron INGLIS Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,5
7,Jim MONTGOMERIE Scottish Labour Party,John SWEENEY Scottish Labour Party,Ronnie MCNICOL Independent,Jimmy MILLER Independent,Cameron INGLIS Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,5
8,Jim MONTGOMERIE Scottish Labour Party,John SWEENEY Scottish Labour Party,Ronnie MCNICOL Independent,Jimmy MILLER Independent,Cameron INGLIS Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,5
9,John SWEENEY Scottish Labour Party,Ronnie MCNICOL Independent,Davina MCTIERNAN Scottish National Party (SNP),Jim MONTGOMERIE Scottish Labour Party,Jean MCCLUNG Scottish National Party (SNP),skipped,skipped,skipped,skipped,5
10,Jean MCCLUNG Scottish National Party (SNP),Davina MCTIERNAN Scottish National Party (SNP),Jimmy MILLER Independent,Jim MONTGOMERIE Scottish Labour Party,John SWEENEY Scottish Labour Party,Ronnie MCNICOL Independent,David HIGGINS Independence for Scotland Party,skipped,skipped,5
11,Cameron INGLIS Scottish Conservative and Unionist,Jim MONTGOMERIE Scottish Labour Party,David HIGGINS Independence for Scotland Party,skipped,skipped,skipped,skipped,skipped,skipped,5
12,Davina MCTIERNAN Scottish National Party (SNP),Jean MCCLUNG Scottish National Party (SNP),David HIGGINS Independence for Scotland Party,Ronnie MCNICOL Independent,Jim MONTGOMERIE Scottish Labour Party,John SWEENEY Scottish Labour Party,Jimmy MILLER Independent,Cameron INGLIS Scottish Conservative and Unionist,skipped,5
13,Jimmy MILLER Independent,Cameron INGLIS Scottish Conservative and Unionist,Ronnie MCNICOL Independent,John SWEENEY Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,5
14,Jean MCCLUNG Scottish National Party (SNP),John SWEENEY Scottish Labour Party,Davina MCTIERNAN Scottish National Party (SNP),Jim MONTGOMERIE Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,5
15,David HIGGINS Independence for Scotland Party,Jean MCCLUNG Scottish National Party (SNP),Davina MCTIERNAN Scottish National Party (SNP),Ronnie MCNICOL Independent,John SWEENEY Scottish Labour Party,skipped,skipped,skipped,skipped,5
16,Jean MCCLUNG Scottish National Party (SNP),David HIGGINS Independence for Scotland Party,Davina MCTIERNAN Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,5
17,Jean MCCLUNG Scottish National Party (SNP),David HIGGINS Independence for Scotland Party,Davina MCTIERNAN Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,5
18,Jean MCCLUNG Scottish National Party (SNP),David HIGGINS Independence for Scotland Party,Davina MCTIERNAN Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,5
19,Jean MCCLUNG Scottish National Party (SNP),David HIGGINS Independence for Scotland Party,Davina MCTIERNAN Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,5
20,Jean MCCLUNG Scottish National Party (SNP),Davina MCTIERNAN Scottish National Party (SNP),Jimmy MILLER Independent,David HIGGINS Independence for Scotland Party,Ronnie MCNICOL Independent,John SWEENEY Scottish Labour Party,Jim MONTGOMERIE Scottish Labour Party,Cameron INGLIS Scottish Conservative and Unionist,skipped,5
21,Jean MCCLUNG Scottish National Party (SNP),Davina MCTIERNAN Scottish National Party (SNP),Jimmy MILLER Independent,John SWEENEY Scottish Labour Party,Jim MONTGOMERIE Scottish Labour Party,skipped,skipped,skipped,skipped,5
22,Ronnie MCNICOL Independent,Jean MCCLUNG Scottish National Party (SNP),Davina MCTIERNAN Scottish National Party (SNP),John SWEENEY Scottish Labour Party,David HIGGINS Independence for Scotland Party,Jim MONTGOMERIE Scottish Labour Party,Jimmy MILLER Independent,Cameron INGLIS Scottish Conservative and Unionist,skipped,5
23,Jim MONTGOMERIE Scottish Labour Party,John SWEENEY Scottish Labour Party,Jimmy MILLER Independent,Ronnie MCNICOL Independent,Jean MCCLUNG Scottish National Party (SNP),David HIGGINS Independence for Scotland Party,Cameron INGLIS Scottish Conservative and Unionist,Davina MCTIERNAN Scottish National Party (SNP),skipped,5
24,Ronnie MCNICOL Independent,Cameron INGLIS Scottish Conservative and Unionist,Davina MCTIERNAN Scottish National Party (SNP),Jim MONTGOMERIE Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,5
25,Ronnie MCNICOL Independent,Davina MCTIERNAN Scottish National Party (SNP),Jimmy MILLER Independent,John SWEENEY Scottish Labour Party,Jim MONTGOMERIE Scottish Labour Party,Jean MCCLUNG Scottish National Party (SNP),Cameron INGLIS Scottish Conservative and Unionist,David HIGGINS Independence for Scotland Party,skipped,5
26,John SWEENEY Scottish Labour Party,Jim MONTGOMERIE Scottish Labour Party,Cameron INGLIS Scottish Conservative and Unionist,Ronnie MCNICOL Independent,Jimmy MILLER Independent,David HIGGINS Independence for Scotland Party,Davina MCTIERNAN Scottish National Party (SNP),Jean MCCLUNG Scottish National Party (SNP),skipped,5
27,Jim MONTGOMERIE Scottish Labour Party,John SWEENEY Scottish Labour Party,Ronnie MCNICOL Independent,Jimmy MILLER Independent,Cameron INGLIS Scottish Conservative and Unionist,Davina MCTIERNAN Scottish National Party (SNP),Jean MCCLUNG Scottish National Party (SNP),skipped,skipped,5
