voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,num_positions
32,Alex MCRAE Scottish Greens - Think Global Act Local,Jack David MCGINTY Scottish Labour Party,Martin Patrick LENNON Scottish Labour Party,skipped,skipped,skipped,skipped,3
33,Jack David MCGINTY Scottish Labour Party,Martin Patrick LENNON Scottish Labour Party,Andrea COWAN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
34,Jack David MCGINTY Scottish Labour Party,Martin Patrick LENNON Scottish Labour Party,Andrea COWAN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
35,Jack David MCGINTY Scottish Labour Party,Martin Patrick LENNON Scottish Labour Party,Andrea COWAN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
36,Jack David MCGINTY Scottish Labour Party,Martin Patrick LENNON Scottish Labour Party,Andrea COWAN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
37,Jack David MCGINTY Scottish Labour Party,Martin Patrick LENNON Scottish Labour Party,Andrea COWAN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
38,Jack David MCGINTY Scottish Labour Party,Andrea COWAN Scottish National Party (SNP),Libby FOX Scottish Conservative and Unionist,Martin Patrick LENNON Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,Janine CALIKES Scottish National Party (SNP),Alex MCRAE Scottish Greens - Think Global Act Local,3
39,Libby FOX Scottish Conservative and Unionist,Alex MCRAE Scottish Greens - Think Global Act Local,Jack David MCGINTY Scottish Labour Party,Martin Patrick LENNON Scottish Labour Party,skipped,skipped,skipped,3
40,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,Martin Patrick LENNON Scottish Labour Party,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Alex MCRAE Scottish Greens - Think Global Act Local,Libby FOX Scottish Conservative and Unionist,3
41,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Libby FOX Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
42,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Libby FOX Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
43,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Libby FOX Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
44,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Libby FOX Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
45,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Libby FOX Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
46,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Libby FOX Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
47,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Libby FOX Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
48,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Libby FOX Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
49,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Libby FOX Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
50,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Libby FOX Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
51,Andrea COWAN Scottish National Party (SNP),Janine CALIKES Scottish National Party (SNP),Alex MCRAE Scottish Greens - Think Global Act Local,Gloria ADEBO Scottish Liberal Democrats,Libby FOX Scottish Conservative and Unionist,Jack David MCGINTY Scottish Labour Party,Martin Patrick LENNON Scottish Labour Party,3
52,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Martin Patrick LENNON Scottish Labour Party,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,Alex MCRAE Scottish Greens - Think Global Act Local,Libby FOX Scottish Conservative and Unionist,3
53,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Martin Patrick LENNON Scottish Labour Party,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,Alex MCRAE Scottish Greens - Think Global Act Local,Libby FOX Scottish Conservative and Unionist,3
54,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Martin Patrick LENNON Scottish Labour Party,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,Alex MCRAE Scottish Greens - Think Global Act Local,Libby FOX Scottish Conservative and Unionist,3
55,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Martin Patrick LENNON Scottish Labour Party,Jack David MCGINTY Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,Alex MCRAE Scottish Greens - Think Global Act Local,Libby FOX Scottish Conservative and Unionist,3
