voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,num_positions
3843,Colin John CASSIDY Scottish National Party (SNP),Stephen CURRAN Scottish Labour Party,Karen Mary GREEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3844,Karen Mary GREEN Scottish National Party (SNP),Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),skipped,skipped,skipped,3
3845,Margot RUSSELL Scottish Labour Party,Stephen CURRAN Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,skipped,3
3846,Margot RUSSELL Scottish Labour Party,Stephen CURRAN Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,skipped,3
3847,Margot RUSSELL Scottish Labour Party,Stephen CURRAN Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,skipped,3
3848,Margot RUSSELL Scottish Labour Party,Stephen CURRAN Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,skipped,3
3849,Margot RUSSELL Scottish Labour Party,Stephen CURRAN Scottish Labour Party,Marion BLACK Scottish Green Party,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Jamie BRYANT Alba Party,Mark WELLS Scottish Conservative and Unionist,3
3850,Margot RUSSELL Scottish Labour Party,Stephen CURRAN Scottish Labour Party,Marion BLACK Scottish Green Party,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Jamie BRYANT Alba Party,Mark WELLS Scottish Conservative and Unionist,3
3851,Margot RUSSELL Scottish Labour Party,Stephen CURRAN Scottish Labour Party,Marion BLACK Scottish Green Party,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Jamie BRYANT Alba Party,Mark WELLS Scottish Conservative and Unionist,3
3852,Margot RUSSELL Scottish Labour Party,Stephen CURRAN Scottish Labour Party,Jamie BRYANT Alba Party,Marion BLACK Scottish Green Party,Mark WELLS Scottish Conservative and Unionist,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),3
3853,Margot RUSSELL Scottish Labour Party,Stephen CURRAN Scottish Labour Party,Jamie BRYANT Alba Party,Marion BLACK Scottish Green Party,Mark WELLS Scottish Conservative and Unionist,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),3
3854,Margot RUSSELL Scottish Labour Party,Stephen CURRAN Scottish Labour Party,Jamie BRYANT Alba Party,Marion BLACK Scottish Green Party,Mark WELLS Scottish Conservative and Unionist,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),3
3855,Marion BLACK Scottish Green Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),Karen Mary GREEN Scottish National Party (SNP),skipped,skipped,skipped,3
3856,Marion BLACK Scottish Green Party,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Jamie BRYANT Alba Party,skipped,3
3857,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,Karen Mary GREEN Scottish National Party (SNP),Margot RUSSELL Scottish Labour Party,Stephen CURRAN Scottish Labour Party,Jamie BRYANT Alba Party,Mark WELLS Scottish Conservative and Unionist,3
3858,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,Karen Mary GREEN Scottish National Party (SNP),Margot RUSSELL Scottish Labour Party,Stephen CURRAN Scottish Labour Party,Jamie BRYANT Alba Party,Mark WELLS Scottish Conservative and Unionist,3
3859,Mark WELLS Scottish Conservative and Unionist,Stephen CURRAN Scottish Labour Party,Karen Mary GREEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
3860,Colin John CASSIDY Scottish National Party (SNP),Stephen CURRAN Scottish Labour Party,Karen Mary GREEN Scottish National Party (SNP),Margot RUSSELL Scottish Labour Party,Mark WELLS Scottish Conservative and Unionist,Marion BLACK Scottish Green Party,Jamie BRYANT Alba Party,3
3861,Colin John CASSIDY Scottish National Party (SNP),Stephen CURRAN Scottish Labour Party,Karen Mary GREEN Scottish National Party (SNP),Margot RUSSELL Scottish Labour Party,Mark WELLS Scottish Conservative and Unionist,Marion BLACK Scottish Green Party,Jamie BRYANT Alba Party,3
3862,Margot RUSSELL Scottish Labour Party,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Jamie BRYANT Alba Party,Marion BLACK Scottish Green Party,skipped,skipped,3
3863,Marion BLACK Scottish Green Party,Stephen CURRAN Scottish Labour Party,Karen Mary GREEN Scottish National Party (SNP),Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),Jamie BRYANT Alba Party,Mark WELLS Scottish Conservative and Unionist,3
3864,Margot RUSSELL Scottish Labour Party,Marion BLACK Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
3865,Margot RUSSELL Scottish Labour Party,Marion BLACK Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
3866,Margot RUSSELL Scottish Labour Party,Marion BLACK Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
3867,Margot RUSSELL Scottish Labour Party,Marion BLACK Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
3868,Margot RUSSELL Scottish Labour Party,Marion BLACK Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
3869,Margot RUSSELL Scottish Labour Party,Marion BLACK Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
3870,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),Karen Mary GREEN Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,3
3871,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),Karen Mary GREEN Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,3
3872,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),Karen Mary GREEN Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,3
3873,Jamie BRYANT Alba Party,Marion BLACK Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
3874,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Mark WELLS Scottish Conservative and Unionist,Colin John CASSIDY Scottish National Party (SNP),Karen Mary GREEN Scottish National Party (SNP),Marion BLACK Scottish Green Party,Jamie BRYANT Alba Party,3
3875,Karen Mary GREEN Scottish National Party (SNP),Marion BLACK Scottish Green Party,Stephen CURRAN Scottish Labour Party,skipped,skipped,skipped,skipped,3
3876,Margot RUSSELL Scottish Labour Party,Marion BLACK Scottish Green Party,Mark WELLS Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,3
3877,Colin John CASSIDY Scottish National Party (SNP),Margot RUSSELL Scottish Labour Party,Karen Mary GREEN Scottish National Party (SNP),Jamie BRYANT Alba Party,Marion BLACK Scottish Green Party,Stephen CURRAN Scottish Labour Party,Mark WELLS Scottish Conservative and Unionist,3
