voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,num_positions
0,Bobby BULLOCH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
1,Bobby BULLOCH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
2,Bobby BULLOCH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
3,Bobby BULLOCH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4,Bobby BULLOCH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
5,Bobby BULLOCH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6,Bobby BULLOCH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
7,Bobby BULLOCH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
8,Bobby BULLOCH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
9,Bobby BULLOCH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
10,Bobby BULLOCH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
11,Bobby BULLOCH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
12,Bobby BULLOCH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
13,Bobby BULLOCH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
14,Bobby BULLOCH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
15,Bobby BULLOCH (Grn),Jackie BURNS (Lab),Andy CARMICHAEL (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
16,Bobby BULLOCH (Grn),Jackie BURNS (Lab),Andy CARMICHAEL (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
17,Bobby BULLOCH (Grn),Jackie BURNS (Lab),Andy CARMICHAEL (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
18,Bobby BULLOCH (Grn),Jackie BURNS (Lab),Andy CARMICHAEL (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
19,Bobby BULLOCH (Grn),Jackie BURNS (Lab),Andy CARMICHAEL (Lab),Peter CRAIG (SNP),Donald MACLEOD (SNP),skipped,skipped,skipped,skipped,skipped,4
20,Bobby BULLOCH (Grn),Jackie BURNS (Lab),Andy CARMICHAEL (Lab),Lesley MCDONALD (Lab),skipped,skipped,skipped,skipped,skipped,skipped,4
21,Bobby BULLOCH (Grn),Jackie BURNS (Lab),Andy CARMICHAEL (Lab),Lesley MCDONALD (Lab),skipped,skipped,skipped,skipped,skipped,skipped,4
22,Bobby BULLOCH (Grn),Jackie BURNS (Lab),Andy CARMICHAEL (Lab),Lesley MCDONALD (Lab),skipped,skipped,skipped,skipped,skipped,skipped,4
23,Bobby BULLOCH (Grn),Jackie BURNS (Lab),Andy CARMICHAEL (Lab),Lesley MCDONALD (Lab),Donald MACLEOD (SNP),Lindsay WATT (LD),skipped,skipped,skipped,skipped,4
24,Bobby BULLOCH (Grn),Jackie BURNS (Lab),Andy CARMICHAEL (Lab),Lesley MCDONALD (Lab),Lindsay WATT (LD),Donald MACKAY (UKIP),Peter CRAIG (SNP),Donald MACLEOD (SNP),Richard NELSON (C),skipped,4
25,Bobby BULLOCH (Grn),Jackie BURNS (Lab),Peter CRAIG (SNP),Donald MACLEOD (SNP),Andy CARMICHAEL (Lab),Lesley MCDONALD (Lab),Lindsay WATT (LD),Richard NELSON (C),Donald MACKAY (UKIP),skipped,4
26,Bobby BULLOCH (Grn),Jackie BURNS (Lab),Donald MACLEOD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
27,Bobby BULLOCH (Grn),Jackie BURNS (Lab),Donald MACLEOD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
28,Bobby BULLOCH (Grn),Jackie BURNS (Lab),Lesley MCDONALD (Lab),Andy CARMICHAEL (Lab),skipped,skipped,skipped,skipped,skipped,skipped,4
29,Bobby BULLOCH (Grn),Jackie BURNS (Lab),Lindsay WATT (LD),Donald MACLEOD (SNP),Peter CRAIG (SNP),Andy CARMICHAEL (Lab),skipped,skipped,skipped,skipped,4
30,Bobby BULLOCH (Grn),Andy CARMICHAEL (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
31,Bobby BULLOCH (Grn),Andy CARMICHAEL (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
32,Bobby BULLOCH (Grn),Andy CARMICHAEL (Lab),Jackie BURNS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
33,Bobby BULLOCH (Grn),Andy CARMICHAEL (Lab),Jackie BURNS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
34,Bobby BULLOCH (Grn),Andy CARMICHAEL (Lab),Peter CRAIG (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
35,Bobby BULLOCH (Grn),Andy CARMICHAEL (Lab),Peter CRAIG (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
36,Bobby BULLOCH (Grn),Andy CARMICHAEL (Lab),Peter CRAIG (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
37,Bobby BULLOCH (Grn),Andy CARMICHAEL (Lab),Peter CRAIG (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
38,Bobby BULLOCH (Grn),Andy CARMICHAEL (Lab),Peter CRAIG (SNP),Donald MACLEOD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
39,Bobby BULLOCH (Grn),Andy CARMICHAEL (Lab),Donald MACLEOD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
40,Bobby BULLOCH (Grn),Andy CARMICHAEL (Lab),Lesley MCDONALD (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
41,Bobby BULLOCH (Grn),Andy CARMICHAEL (Lab),Lesley MCDONALD (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
42,Bobby BULLOCH (Grn),Andy CARMICHAEL (Lab),Lesley MCDONALD (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
43,Bobby BULLOCH (Grn),Andy CARMICHAEL (Lab),Lesley MCDONALD (Lab),Jackie BURNS (Lab),Peter CRAIG (SNP),Donald MACLEOD (SNP),skipped,skipped,skipped,skipped,4
44,Bobby BULLOCH (Grn),Andy CARMICHAEL (Lab),Lesley MCDONALD (Lab),Peter CRAIG (SNP),Donald MACLEOD (SNP),Jackie BURNS (Lab),Lindsay WATT (LD),Richard NELSON (C),Donald MACKAY (UKIP),skipped,4
45,Bobby BULLOCH (Grn),Andy CARMICHAEL (Lab),Lesley MCDONALD (Lab),Lindsay WATT (LD),skipped,skipped,skipped,skipped,skipped,skipped,4
46,Bobby BULLOCH (Grn),Andy CARMICHAEL (Lab),Lindsay WATT (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
47,Bobby BULLOCH (Grn),Peter CRAIG (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
48,Bobby BULLOCH (Grn),Peter CRAIG (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
49,Bobby BULLOCH (Grn),Peter CRAIG (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
50,Bobby BULLOCH (Grn),Peter CRAIG (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
51,Bobby BULLOCH (Grn),Peter CRAIG (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
52,Bobby BULLOCH (Grn),Peter CRAIG (SNP),Jackie BURNS (Lab),Andy CARMICHAEL (Lab),Donald MACKAY (UKIP),Donald MACLEOD (SNP),Lesley MCDONALD (Lab),Richard NELSON (C),Lindsay WATT (LD),skipped,4
53,Bobby BULLOCH (Grn),Peter CRAIG (SNP),Andy CARMICHAEL (Lab),Lesley MCDONALD (Lab),Donald MACLEOD (SNP),skipped,skipped,skipped,skipped,skipped,4
54,Bobby BULLOCH (Grn),Peter CRAIG (SNP),Donald MACKAY (UKIP),Donald MACLEOD (SNP),Lesley MCDONALD (Lab),Richard NELSON (C),Lindsay WATT (LD),Jackie BURNS (Lab),Andy CARMICHAEL (Lab),skipped,4
55,Bobby BULLOCH (Grn),Peter CRAIG (SNP),Donald MACLEOD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
56,Bobby BULLOCH (Grn),Peter CRAIG (SNP),Donald MACLEOD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
57,Bobby BULLOCH (Grn),Peter CRAIG (SNP),Donald MACLEOD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
58,Bobby BULLOCH (Grn),Peter CRAIG (SNP),Donald MACLEOD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
59,Bobby BULLOCH (Grn),Peter CRAIG (SNP),Donald MACLEOD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
60,Bobby BULLOCH (Grn),Peter CRAIG (SNP),Donald MACLEOD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
61,Bobby BULLOCH (Grn),Peter CRAIG (SNP),Donald MACLEOD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
62,Bobby BULLOCH (Grn),Peter CRAIG (SNP),Donald MACLEOD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
63,Bobby BULLOCH (Grn),Peter CRAIG (SNP),Donald MACLEOD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
64,Bobby BULLOCH (Grn),Peter CRAIG (SNP),Donald MACLEOD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
65,Bobby BULLOCH (Grn),Peter CRAIG (SNP),Donald MACLEOD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
66,Bobby BULLOCH (Grn),Peter CRAIG (SNP),Donald MACLEOD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
67,Bobby BULLOCH (Grn),Peter CRAIG (SNP),Donald MACLEOD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
68,Bobby BULLOCH (Grn),Peter CRAIG (SNP),Donald MACLEOD (SNP),Jackie BURNS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,4
69,Bobby BULLOCH (Grn),Peter CRAIG (SNP),Donald MACLEOD (SNP),Jackie BURNS (Lab),Andy CARMICHAEL (Lab),Lesley MCDONALD (Lab),skipped,skipped,skipped,skipped,4
70,Bobby BULLOCH (Grn),Peter CRAIG (SNP),Donald MACLEOD (SNP),Jackie BURNS (Lab),Andy CARMICHAEL (Lab),Lesley MCDONALD (Lab),Richard NELSON (C),Lindsay WATT (LD),Donald MACKAY (UKIP),skipped,4
