voter_id,rank1,rank2,rank3,rank4,rank5,num_positions
0,Allan MACDONALD Scottish Conservative and Unionist,Stephen MCNAMARA ,Jayne SANGSTER Scottish Labour Party,Lee MANLEY Scottish Liberal Democrats,skipped,1
1,Marie ROBERTSON Scottish National Party (SNP),Allan MACDONALD Scottish Conservative and Unionist,Lee MANLEY Scottish Liberal Democrats,Jayne SANGSTER Scottish Labour Party,Stephen MCNAMARA ,1
2,Marie ROBERTSON Scottish National Party (SNP),Allan MACDONALD Scottish Conservative and Unionist,Lee MANLEY Scottish Liberal Democrats,Jayne SANGSTER Scottish Labour Party,Stephen MCNAMARA ,1
3,Marie ROBERTSON Scottish National Party (SNP),Allan MACDONALD Scottish Conservative and Unionist,Lee MANLEY Scottish Liberal Democrats,Jayne SANGSTER Scottish Labour Party,Stephen MCNAMARA ,1
4,Stephen MCNAMARA ,Allan MACDONALD Scottish Conservative and Unionist,Jayne SANGSTER Scottish Labour Party,skipped,skipped,1
5,Stephen MCNAMARA ,Allan MACDONALD Scottish Conservative and Unionist,Jayne SANGSTER Scottish Labour Party,skipped,skipped,1
6,Marie ROBERTSON Scottish National Party (SNP),Lee MANLEY Scottish Liberal Democrats,Stephen MCNAMARA ,skipped,skipped,1
7,Marie ROBERTSON Scottish National Party (SNP),Lee MANLEY Scottish Liberal Democrats,Stephen MCNAMARA ,skipped,skipped,1
8,Marie ROBERTSON Scottish National Party (SNP),Lee MANLEY Scottish Liberal Democrats,Stephen MCNAMARA ,skipped,skipped,1
9,Marie ROBERTSON Scottish National Party (SNP),Lee MANLEY Scottish Liberal Democrats,Stephen MCNAMARA ,skipped,skipped,1
10,Marie ROBERTSON Scottish National Party (SNP),Lee MANLEY Scottish Liberal Democrats,Stephen MCNAMARA ,skipped,skipped,1
11,Marie ROBERTSON Scottish National Party (SNP),Lee MANLEY Scottish Liberal Democrats,Stephen MCNAMARA ,skipped,skipped,1
12,Marie ROBERTSON Scottish National Party (SNP),Lee MANLEY Scottish Liberal Democrats,Stephen MCNAMARA ,skipped,skipped,1
13,Marie ROBERTSON Scottish National Party (SNP),Lee MANLEY Scottish Liberal Democrats,Stephen MCNAMARA ,skipped,skipped,1
14,Marie ROBERTSON Scottish National Party (SNP),Lee MANLEY Scottish Liberal Democrats,Stephen MCNAMARA ,skipped,skipped,1
15,Marie ROBERTSON Scottish National Party (SNP),Lee MANLEY Scottish Liberal Democrats,Stephen MCNAMARA ,skipped,skipped,1
16,Marie ROBERTSON Scottish National Party (SNP),Lee MANLEY Scottish Liberal Democrats,Stephen MCNAMARA ,skipped,skipped,1
17,Marie ROBERTSON Scottish National Party (SNP),Lee MANLEY Scottish Liberal Democrats,Stephen MCNAMARA ,skipped,skipped,1
18,Marie ROBERTSON Scottish National Party (SNP),Lee MANLEY Scottish Liberal Democrats,Stephen MCNAMARA ,skipped,skipped,1
19,Marie ROBERTSON Scottish National Party (SNP),Lee MANLEY Scottish Liberal Democrats,Stephen MCNAMARA ,skipped,skipped,1
