voter_id,rank1,rank2,rank3,rank4,rank5,num_positions
0,Alan MCMANUS Freedom Alliance,Douglas MACDONALD Scottish Liberal Democrats,skipped,skipped,skipped,1
1,Alan MCMANUS Freedom Alliance,Douglas MACDONALD Scottish Liberal Democrats,skipped,skipped,skipped,1
2,Anne HORN Scottish National Party (SNP),Donald KELLY Independent,Douglas MACDONALD Scottish Liberal Democrats,Elizabeth REDMAN Scottish Conservative and Unionist,Alan MCMANUS Freedom Alliance,1
3,Anne HORN Scottish National Party (SNP),Donald KELLY Independent,Douglas MACDONALD Scottish Liberal Democrats,Elizabeth REDMAN Scottish Conservative and Unionist,Alan MCMANUS Freedom Alliance,1
4,Anne HORN Scottish National Party (SNP),Donald KELLY Independent,Douglas MACDONALD Scottish Liberal Democrats,Elizabeth REDMAN Scottish Conservative and Unionist,Alan MCMANUS Freedom Alliance,1
5,Anne HORN Scottish National Party (SNP),Donald KELLY Independent,Douglas MACDONALD Scottish Liberal Democrats,Elizabeth REDMAN Scottish Conservative and Unionist,Alan MCMANUS Freedom Alliance,1
6,Anne HORN Scottish National Party (SNP),Donald KELLY Independent,Douglas MACDONALD Scottish Liberal Democrats,Elizabeth REDMAN Scottish Conservative and Unionist,Alan MCMANUS Freedom Alliance,1
7,Anne HORN Scottish National Party (SNP),Donald KELLY Independent,Douglas MACDONALD Scottish Liberal Democrats,Elizabeth REDMAN Scottish Conservative and Unionist,Alan MCMANUS Freedom Alliance,1
8,Douglas MACDONALD Scottish Liberal Democrats,Donald KELLY Independent,Anne HORN Scottish National Party (SNP),Elizabeth REDMAN Scottish Conservative and Unionist,Alan MCMANUS Freedom Alliance,1
9,Douglas MACDONALD Scottish Liberal Democrats,Donald KELLY Independent,Anne HORN Scottish National Party (SNP),Elizabeth REDMAN Scottish Conservative and Unionist,Alan MCMANUS Freedom Alliance,1
10,Douglas MACDONALD Scottish Liberal Democrats,Donald KELLY Independent,Anne HORN Scottish National Party (SNP),Elizabeth REDMAN Scottish Conservative and Unionist,Alan MCMANUS Freedom Alliance,1
11,Donald KELLY Independent,Douglas MACDONALD Scottish Liberal Democrats,Elizabeth REDMAN Scottish Conservative and Unionist,Alan MCMANUS Freedom Alliance,Anne HORN Scottish National Party (SNP),1
12,Donald KELLY Independent,Douglas MACDONALD Scottish Liberal Democrats,Elizabeth REDMAN Scottish Conservative and Unionist,Alan MCMANUS Freedom Alliance,Anne HORN Scottish National Party (SNP),1
13,Donald KELLY Independent,Douglas MACDONALD Scottish Liberal Democrats,Elizabeth REDMAN Scottish Conservative and Unionist,Alan MCMANUS Freedom Alliance,Anne HORN Scottish National Party (SNP),1
14,Donald KELLY Independent,Douglas MACDONALD Scottish Liberal Democrats,Elizabeth REDMAN Scottish Conservative and Unionist,Alan MCMANUS Freedom Alliance,Anne HORN Scottish National Party (SNP),1
15,Donald KELLY Independent,Douglas MACDONALD Scottish Liberal Democrats,Elizabeth REDMAN Scottish Conservative and Unionist,Alan MCMANUS Freedom Alliance,Anne HORN Scottish National Party (SNP),1
16,Donald KELLY Independent,Douglas MACDONALD Scottish Liberal Democrats,Alan MCMANUS Freedom Alliance,skipped,skipped,1
17,Elizabeth REDMAN Scottish Conservative and Unionist,Douglas MACDONALD Scottish Liberal Democrats,Donald KELLY Independent,Alan MCMANUS Freedom Alliance,Anne HORN Scottish National Party (SNP),1
18,Elizabeth REDMAN Scottish Conservative and Unionist,Douglas MACDONALD Scottish Liberal Democrats,Donald KELLY Independent,Alan MCMANUS Freedom Alliance,Anne HORN Scottish National Party (SNP),1
19,Elizabeth REDMAN Scottish Conservative and Unionist,Douglas MACDONALD Scottish Liberal Democrats,Donald KELLY Independent,Alan MCMANUS Freedom Alliance,Anne HORN Scottish National Party (SNP),1
20,Elizabeth REDMAN Scottish Conservative and Unionist,Douglas MACDONALD Scottish Liberal Democrats,Donald KELLY Independent,Alan MCMANUS Freedom Alliance,Anne HORN Scottish National Party (SNP),1
21,Elizabeth REDMAN Scottish Conservative and Unionist,Douglas MACDONALD Scottish Liberal Democrats,Donald KELLY Independent,Alan MCMANUS Freedom Alliance,Anne HORN Scottish National Party (SNP),1
22,Elizabeth REDMAN Scottish Conservative and Unionist,Douglas MACDONALD Scottish Liberal Democrats,Donald KELLY Independent,Alan MCMANUS Freedom Alliance,Anne HORN Scottish National Party (SNP),1
