voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,num_positions
0,Lynda BAIRD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
1,Lynda BAIRD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
2,Lynda BAIRD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
3,Lynda BAIRD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4,Lynda BAIRD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
5,Lynda BAIRD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6,Lynda BAIRD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
7,Lynda BAIRD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
8,Lynda BAIRD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
9,Lynda BAIRD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
10,Lynda BAIRD (SNP),Raymond SMITH (Ind),David DAWSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
11,Lynda BAIRD (SNP),David TULLOCK (Ind),Raymond SMITH (Ind),David DAWSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
12,Lynda BAIRD (SNP),David TULLOCK (Ind),Raymond SMITH (Ind),David DAWSON (Ind),John RICHARDS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4
13,Lynda BAIRD (SNP),David TULLOCK (Ind),David DAWSON (Ind),Raymond SMITH (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
14,Lynda BAIRD (SNP),David TULLOCK (Ind),David DAWSON (Ind),Sandra SHEARER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
15,Lynda BAIRD (SNP),David TULLOCK (Ind),Jack MOODIE (Ind),John RICHARDS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
16,Lynda BAIRD (SNP),David TULLOCK (Ind),Sandra SHEARER (Ind),Alan CLOUSTON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
17,Lynda BAIRD (SNP),David TULLOCK (Ind),Sandra SHEARER (Ind),Laurence LEONARD (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
18,Lynda BAIRD (SNP),Alan CLOUSTON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
19,Lynda BAIRD (SNP),Alan CLOUSTON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
20,Lynda BAIRD (SNP),Alan CLOUSTON (Ind),Jack MOODIE (Ind),David DAWSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
21,Lynda BAIRD (SNP),Alan CLOUSTON (Ind),Jack MOODIE (Ind),Bryan LESLIE (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
22,Lynda BAIRD (SNP),Alan CLOUSTON (Ind),Sandra SHEARER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
23,Lynda BAIRD (SNP),Alan CLOUSTON (Ind),Sandra SHEARER (Ind),David TULLOCK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
24,Lynda BAIRD (SNP),David DAWSON (Ind),Raymond SMITH (Ind),Alan CLOUSTON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
25,Lynda BAIRD (SNP),David DAWSON (Ind),David TULLOCK (Ind),Walter HAYWOOD (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
26,Lynda BAIRD (SNP),David DAWSON (Ind),Sandra SHEARER (Ind),John RICHARDS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
27,Lynda BAIRD (SNP),Walter HAYWOOD (Ind),Jack MOODIE (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
28,Lynda BAIRD (SNP),Walter HAYWOOD (Ind),John RICHARDS (Ind),Raymond SMITH (Ind),David TULLOCK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4
29,Lynda BAIRD (SNP),Laurence LEONARD (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
30,Lynda BAIRD (SNP),Laurence LEONARD (Ind),Walter HAYWOOD (Ind),Jack MOODIE (Ind),Raymond SMITH (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4
31,Lynda BAIRD (SNP),Laurence LEONARD (Ind),Sandra SHEARER (Ind),David TULLOCK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
32,Lynda BAIRD (SNP),Bryan LESLIE (Ind),David TULLOCK (Ind),Sandra SHEARER (Ind),Jack MOODIE (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4
33,Lynda BAIRD (SNP),Jack MOODIE (Ind),Raymond SMITH (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
34,Lynda BAIRD (SNP),Jack MOODIE (Ind),David TULLOCK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
35,Lynda BAIRD (SNP),Jack MOODIE (Ind),Alan CLOUSTON (Ind),David DAWSON (Ind),Bryan LESLIE (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4
36,Lynda BAIRD (SNP),Jack MOODIE (Ind),John RICHARDS (Ind),David DAWSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
37,Lynda BAIRD (SNP),Jack MOODIE (Ind),Sandra SHEARER (Ind),Raymond SMITH (Ind),David TULLOCK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4
38,Lynda BAIRD (SNP),John RICHARDS (Ind),Alan CLOUSTON (Ind),Jack MOODIE (Ind),David DAWSON (Ind),Bryan LESLIE (Ind),skipped,skipped,skipped,skipped,skipped,4
39,Lynda BAIRD (SNP),John RICHARDS (Ind),David DAWSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
40,Lynda BAIRD (SNP),John RICHARDS (Ind),Laurence LEONARD (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
41,Lynda BAIRD (SNP),John RICHARDS (Ind),Laurence LEONARD (Ind),Alan CLOUSTON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
42,Lynda BAIRD (SNP),John RICHARDS (Ind),Bryan LESLIE (Ind),David TULLOCK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
43,Lynda BAIRD (SNP),John RICHARDS (Ind),Jack MOODIE (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
44,Lynda BAIRD (SNP),John RICHARDS (Ind),Sandra SHEARER (Ind),Raymond SMITH (Ind),Walter HAYWOOD (Ind),Alan CLOUSTON (Ind),David DAWSON (Ind),skipped,skipped,skipped,skipped,4
45,Lynda BAIRD (SNP),John RICHARDS (Ind),Sandra SHEARER (Ind),Alan CLOUSTON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
46,Lynda BAIRD (SNP),Sandra SHEARER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
47,Lynda BAIRD (SNP),Sandra SHEARER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
48,Lynda BAIRD (SNP),Sandra SHEARER (Ind),David TULLOCK (Ind),John RICHARDS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
49,Lynda BAIRD (SNP),Sandra SHEARER (Ind),Alan CLOUSTON (Ind),David DAWSON (Ind),Walter HAYWOOD (Ind),Laurence LEONARD (Ind),Bryan LESLIE (Ind),Jack MOODIE (Ind),John RICHARDS (Ind),Raymond SMITH (Ind),David TULLOCK (Ind),4
50,Raymond SMITH (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
51,Raymond SMITH (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
52,Raymond SMITH (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
53,Raymond SMITH (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
54,Raymond SMITH (Ind),Lynda BAIRD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
55,Raymond SMITH (Ind),Alan CLOUSTON (Ind),David DAWSON (Ind),Jack MOODIE (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
56,Raymond SMITH (Ind),David DAWSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
57,Raymond SMITH (Ind),David DAWSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
58,Raymond SMITH (Ind),David DAWSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
59,Raymond SMITH (Ind),David DAWSON (Ind),Lynda BAIRD (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
60,Raymond SMITH (Ind),David DAWSON (Ind),Lynda BAIRD (SNP),John RICHARDS (Ind),Alan CLOUSTON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4
61,Raymond SMITH (Ind),David DAWSON (Ind),Jack MOODIE (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
62,Raymond SMITH (Ind),David DAWSON (Ind),John RICHARDS (Ind),David TULLOCK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
63,Raymond SMITH (Ind),David DAWSON (Ind),Sandra SHEARER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
64,Raymond SMITH (Ind),Walter HAYWOOD (Ind),Alan CLOUSTON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
65,Raymond SMITH (Ind),Walter HAYWOOD (Ind),Bryan LESLIE (Ind),Jack MOODIE (Ind),David TULLOCK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4
66,Raymond SMITH (Ind),Laurence LEONARD (Ind),David DAWSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
67,Raymond SMITH (Ind),Jack MOODIE (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
