voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,num_positions
0,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
1,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
2,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
3,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
4,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
5,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
6,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
7,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
8,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
9,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
10,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
11,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
12,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
13,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
14,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
15,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
16,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
17,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
18,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
19,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
20,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
21,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
22,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
23,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
24,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
25,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
26,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
27,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
28,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
29,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
30,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
31,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
32,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
33,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
34,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
35,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
36,John BRADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
37,John BRADLEY (SNP),Don FERGUSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
38,John BRADLEY (SNP),Don FERGUSON (Ind),Kieran James KIELY (UKIP),skipped,skipped,skipped,skipped,skipped,skipped,3
39,John BRADLEY (SNP),Don FERGUSON (Ind),Kieran James KIELY (UKIP),Ann LE BLOND (C),David MCCLEMONT (Grn),Clare MCCOLL (SNP),Norman RAE (LD),Margaret WALKER (Lab),skipped,3
40,John BRADLEY (SNP),Don FERGUSON (Ind),Kieran James KIELY (UKIP),Ann LE BLOND (C),David MCCLEMONT (Grn),Clare MCCOLL (SNP),Norman RAE (LD),Margaret WALKER (Lab),skipped,3
41,John BRADLEY (SNP),Don FERGUSON (Ind),Kieran James KIELY (UKIP),Ann LE BLOND (C),David MCCLEMONT (Grn),Clare MCCOLL (SNP),Margaret WALKER (Lab),Norman RAE (LD),skipped,3
42,John BRADLEY (SNP),Don FERGUSON (Ind),David MCCLEMONT (Grn),skipped,skipped,skipped,skipped,skipped,skipped,3
43,John BRADLEY (SNP),Don FERGUSON (Ind),David MCCLEMONT (Grn),Clare MCCOLL (SNP),Margaret WALKER (Lab),Norman RAE (LD),Kieran James KIELY (UKIP),Ann LE BLOND (C),skipped,3
44,John BRADLEY (SNP),Don FERGUSON (Ind),David MCCLEMONT (Grn),Margaret WALKER (Lab),Norman RAE (LD),Ann LE BLOND (C),Kieran James KIELY (UKIP),Clare MCCOLL (SNP),skipped,3
45,John BRADLEY (SNP),Don FERGUSON (Ind),Clare MCCOLL (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
46,John BRADLEY (SNP),Don FERGUSON (Ind),Clare MCCOLL (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
47,John BRADLEY (SNP),Don FERGUSON (Ind),Clare MCCOLL (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
48,John BRADLEY (SNP),Don FERGUSON (Ind),Clare MCCOLL (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
