voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,num_positions
32,Willie MCEWAN Scottish Labour Party,Ken BROWN Scottish Liberal Democrats,Richard THOMSON Scottish Conservative and Unionist,Helen Margaret ARMSTRONG Scottish Green Party,Connor MCMANUS Scottish National Party (SNP),Debbi MCCALL Scottish National Party (SNP),George BOYD Alba Party,3
33,Willie MCEWAN Scottish Labour Party,Ken BROWN Scottish Liberal Democrats,Richard THOMSON Scottish Conservative and Unionist,Helen Margaret ARMSTRONG Scottish Green Party,Connor MCMANUS Scottish National Party (SNP),Debbi MCCALL Scottish National Party (SNP),George BOYD Alba Party,3
34,Helen Margaret ARMSTRONG Scottish Green Party,Debbi MCCALL Scottish National Party (SNP),Connor MCMANUS Scottish National Party (SNP),Ken BROWN Scottish Liberal Democrats,Willie MCEWAN Scottish Labour Party,skipped,skipped,3
35,Helen Margaret ARMSTRONG Scottish Green Party,Debbi MCCALL Scottish National Party (SNP),Connor MCMANUS Scottish National Party (SNP),Ken BROWN Scottish Liberal Democrats,Willie MCEWAN Scottish Labour Party,skipped,skipped,3
36,Helen Margaret ARMSTRONG Scottish Green Party,Debbi MCCALL Scottish National Party (SNP),Connor MCMANUS Scottish National Party (SNP),Ken BROWN Scottish Liberal Democrats,Willie MCEWAN Scottish Labour Party,skipped,skipped,3
37,Helen Margaret ARMSTRONG Scottish Green Party,Debbi MCCALL Scottish National Party (SNP),Connor MCMANUS Scottish National Party (SNP),Ken BROWN Scottish Liberal Democrats,Willie MCEWAN Scottish Labour Party,skipped,skipped,3
38,Helen Margaret ARMSTRONG Scottish Green Party,Debbi MCCALL Scottish National Party (SNP),Connor MCMANUS Scottish National Party (SNP),Ken BROWN Scottish Liberal Democrats,Willie MCEWAN Scottish Labour Party,skipped,skipped,3
39,Helen Margaret ARMSTRONG Scottish Green Party,Debbi MCCALL Scottish National Party (SNP),Connor MCMANUS Scottish National Party (SNP),Ken BROWN Scottish Liberal Democrats,Willie MCEWAN Scottish Labour Party,skipped,skipped,3
40,Debbi MCCALL Scottish National Party (SNP),Ken BROWN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,3
41,Debbi MCCALL Scottish National Party (SNP),Ken BROWN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,3
42,Debbi MCCALL Scottish National Party (SNP),Ken BROWN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,3
43,Debbi MCCALL Scottish National Party (SNP),Ken BROWN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,3
44,Richard THOMSON Scottish Conservative and Unionist,Willie MCEWAN Scottish Labour Party,Ken BROWN Scottish Liberal Democrats,Helen Margaret ARMSTRONG Scottish Green Party,George BOYD Alba Party,Connor MCMANUS Scottish National Party (SNP),Debbi MCCALL Scottish National Party (SNP),3
45,Richard THOMSON Scottish Conservative and Unionist,Willie MCEWAN Scottish Labour Party,Ken BROWN Scottish Liberal Democrats,Helen Margaret ARMSTRONG Scottish Green Party,George BOYD Alba Party,Connor MCMANUS Scottish National Party (SNP),Debbi MCCALL Scottish National Party (SNP),3
46,Connor MCMANUS Scottish National Party (SNP),Debbi MCCALL Scottish National Party (SNP),Helen Margaret ARMSTRONG Scottish Green Party,Willie MCEWAN Scottish Labour Party,Ken BROWN Scottish Liberal Democrats,Richard THOMSON Scottish Conservative and Unionist,George BOYD Alba Party,3
47,Connor MCMANUS Scottish National Party (SNP),Debbi MCCALL Scottish National Party (SNP),Helen Margaret ARMSTRONG Scottish Green Party,Willie MCEWAN Scottish Labour Party,Ken BROWN Scottish Liberal Democrats,Richard THOMSON Scottish Conservative and Unionist,George BOYD Alba Party,3
48,Ken BROWN Scottish Liberal Democrats,Willie MCEWAN Scottish Labour Party,Helen Margaret ARMSTRONG Scottish Green Party,Debbi MCCALL Scottish National Party (SNP),George BOYD Alba Party,Connor MCMANUS Scottish National Party (SNP),Richard THOMSON Scottish Conservative and Unionist,3
49,Connor MCMANUS Scottish National Party (SNP),Ken BROWN Scottish Liberal Democrats,Debbi MCCALL Scottish National Party (SNP),Willie MCEWAN Scottish Labour Party,Helen Margaret ARMSTRONG Scottish Green Party,George BOYD Alba Party,Richard THOMSON Scottish Conservative and Unionist,3
50,Willie MCEWAN Scottish Labour Party,Richard THOMSON Scottish Conservative and Unionist,Helen Margaret ARMSTRONG Scottish Green Party,Ken BROWN Scottish Liberal Democrats,skipped,skipped,skipped,3
51,Willie MCEWAN Scottish Labour Party,Richard THOMSON Scottish Conservative and Unionist,Helen Margaret ARMSTRONG Scottish Green Party,Ken BROWN Scottish Liberal Democrats,skipped,skipped,skipped,3
52,Richard THOMSON Scottish Conservative and Unionist,George BOYD Alba Party,Helen Margaret ARMSTRONG Scottish Green Party,Ken BROWN Scottish Liberal Democrats,skipped,skipped,skipped,3
