,file,numCands,plurality,IRV,top-two,borda-pm,borda-om-no-uwi,borda-avg-no-uwi,top-3-truncation,condorcet,minimax,smith_plurality,smith_irv,smith-minimax,ranked-pairs,bucklin,approval,smith
0,Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Brighton with candidates.csv,9,['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['Allan L. Timms'],['James Newbury']
1,Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Northcote with candidates.csv,11,['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Campbell Gome'],['Campbell Gome'],['Campbell Gome'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Campbell Gome'],['Kat Theophanous']
2,Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Hawthorn with candidates.csv,8,['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['Faith Fuhrer'],['John Pesutto']
3,Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Preston with Candidates.csv,10,['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Gaetano Greco'],['Nathan Lambert']
4,Australia_NewSouthWales_Mayorals_2021/Ballina-mayoral-finalpreferencedatafile (1).csv,5,['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon']
5,Australia_NewSouthWales_Mayorals_2021/The_Hills_Shire-mayoral-finalpreferencedatafile.csv,5,['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter']
6,Australia_NewSouthWales_Mayorals_2021/Nambucca_Valley-mayoral-finalpreferencedatafile.csv,2,['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda']
7,Australia_NewSouthWales_Mayorals_2021/City_of_Sydney-mayoral-finalpreferencedatafile.csv,6,['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover']
8,Australia_NewSouthWales_Mayorals_2021/City_of_Coffs_Harbour-mayoral-finalpreferencedatafile.csv,10,['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul']
9,Australia_NewSouthWales_Mayorals_2021/City_of_Lismore-mayoral-finalpreferencedatafile.csv,6,['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve']
10,Australia_NewSouthWales_Mayorals_2021/Eurobodalla-mayoral-finalpreferencedatafile.csv,7,['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['STARMER Karyn'],['HATCHER Mat'],['HATCHER Mat']
11,Australia_NewSouthWales_Mayorals_2021/City_of_Shellharbour-mayoral-finalpreferencedatafile.csv,2,['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris']
12,Australia_NewSouthWales_Mayorals_2021/Singleton-mayoral-finalpreferencedatafile.csv,4,['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue']
13,Australia_NewSouthWales_Mayorals_2021/Uralla-mayoral-finalpreferencedatafile.csv,3,['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert']
14,Australia_NewSouthWales_Mayorals_2021/City_of_Shoalhaven-mayoral-finalpreferencedatafile.csv,6,['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['GREEN Paul'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda']
15,Australia_NewSouthWales_Mayorals_2021/Port_Macquarie-Hastings-mayoral-finalpreferencedatafile.csv,5,['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta']
16,Australia_NewSouthWales_Mayorals_2021/Richmond_Valley-mayoral-finalpreferencedatafile.csv,2,['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert']
17,Australia_NewSouthWales_Mayorals_2021/City_of_Lake_Macquarie-mayoral-finalpreferencedatafile.csv,4,['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay']
18,Australia_NewSouthWales_Mayorals_2021/Port_Stephens-mayoral-finalpreferencedatafile.csv,2,['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan']
19,Australia_NewSouthWales_Mayorals_2021/Wollondilly-mayoral-finalpreferencedatafile.csv,6,['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt']
20,Australia_NewSouthWales_Mayorals_2021/City_of_Griffith-mayoral-finalpreferencedatafile.csv,5,['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug']
21,Australia_NewSouthWales_Mayorals_2021/Hunters_Hill-mayoral-finalpreferencedatafile.csv,4,['MILES Zac'],['MILES Zac'],['MILES Zac'],['MILES Zac'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['MILES Zac'],['QUINN Richard']
22,Australia_NewSouthWales_Mayorals_2021/City_of_Cessnock-mayoral-finalpreferencedatafile.csv,4,['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay']
23,Australia_NewSouthWales_Mayorals_2021/City_of_Newcastle-mayoral-finalpreferencedatafile.csv,6,['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali']
