,file,borda-pm,borda-om-no-uwi,borda-avg-no-uwi,numCands,plurality,IRV,top-two,top-3-truncation,condorcet,minimax,smith_plurality,smith_irv,smith-minimax,ranked-pairs,bucklin,approval,smith
10,fe852d72ab.csv,['1'],['2'],['1'],12,['11'],['11'],['11'],['2'],[],['1'],['2'],['1'],['1'],['1'],"['""']",['1'],"['1', '2', '11']"
11,fe3f681d0b.csv,['7'],['7'],['7'],8,['7'],['7'],['7'],['7'],['7'],['7'],['7'],['7'],['7'],['7'],[']'],"['7', '1']",['7']
12,fe07eff0c1.csv,['1'],['1'],['1'],4,['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],['1'],"['""']",['3'],['1']
13,fe06217601.csv,['5'],['5'],['5'],6,['2'],['5'],['2'],['5'],['5'],['5'],['5'],['5'],['5'],['5'],['['],['1'],['5']
14,fce7e6b889.csv,['6'],['6'],['6'],7,['6'],['6'],['6'],['6'],['6'],['6'],['6'],['6'],['6'],['6'],[']'],['1'],['6']
15,fc7cb6479e.csv,['6'],['6'],['6'],7,['6'],['6'],['6'],['6'],['6'],['6'],['6'],['6'],['6'],['6'],"[""'""]",['1'],['6']
16,fc706554f1.csv,['4'],['4'],['4'],5,['4'],['4'],['4'],['4'],['4'],['4'],['4'],['4'],['4'],['4'],"['""']",['4'],['4']
17,fc45c3002a.csv,['7'],['7'],['7'],8,['7'],['7'],['7'],['7'],['7'],['7'],['7'],['7'],['7'],['7'],[']'],['1'],['7']
18,fc0751325e.csv,['1'],['1'],['1'],4,['3'],['3'],['1'],['1'],[],"['1', '3']",['3'],['1'],"['1', '3']",['1'],['['],['1'],"['1', '3']"
19,fbbbe3ae72.csv,['2'],['2'],['2'],6,['4'],['5'],['5'],['2'],[],['2'],['4'],['5'],['2'],['2'],"[""'""]","['1', '2']","['5', '3', '1', '2', '4']"
20,fb96929195.csv,['12'],['12'],['12'],13,['12'],['12'],['12'],['12'],['12'],['12'],['12'],['12'],['12'],['12'],"[""'""]",['12'],['12']
21,fb8a4767f8.csv,['2'],['4'],['4'],9,['4'],['4'],['4'],['6'],[],"['2', '4']",['2'],['4'],"['2', '4']",['2'],['['],['1'],"['2', '4']"
22,fb617d63cb.csv,['1'],['1'],['1'],6,['5'],['5'],['5'],['5'],['1'],['1'],['1'],['1'],['1'],['1'],"[""'""]",['1'],['1']
