,file,numCands,plurality,IRV,top-two,borda-pm,borda-om-no-uwi,borda-avg-no-uwi,top-3-truncation,condorcet,minimax,smith_plurality,smith_irv,smith-minimax,ranked-pairs,bucklin,approval,smith
17,Alaska/Alaska_11082022_HouseDistrict25.csv,4,"['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']"
18,Alaska/Alaska_11082022_HouseDistrict24.csv,5,"['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']"
19,Alaska/Alaska_11082022_HouseDistrict30.csv,5,"['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']"
20,Alaska/Alaska_11082022_HouseDistrict18.csv,5,"['Nelson, David']","['Groh, Cliff']","['Groh, Cliff']","['Nelson, David']","['Groh, Cliff']","['Groh, Cliff']","['Groh, Cliff']","['Groh, Cliff']","['Groh, Cliff']","['Groh, Cliff']","['Groh, Cliff']","['Groh, Cliff']","['Groh, Cliff']","['Groh, Cliff']","['Nelson, David']","['Groh, Cliff']"
21,Alaska/Alaska_11082022_HouseDistrict26.csv,4,"['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']"
22,Alaska/Alaska_11082022_HouseDistrict32.csv,5,"['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']"
23,Alaska/Alaska_11052024_StateHouseD40.csv,5,"['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']"
24,Alaska/Alaska_11082022_HouseDistrict33.csv,3,"['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']"
25,Alaska/Alaska_11082022_HouseDistrict27.csv,5,"['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']"
26,Alaska/Alaska_11082022_HouseDistrict40.csv,3,"['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']"
