country,file_name,num_voters,num_cands,num_seats,no_skipped,one_skipped,two_skipped,three_skipped,write_in,truncated,other_skipped,bullet_vote
america,Alaska_11052024_StateHouseD40.csv,3032,4,1,26,960,284,1762,0,0,0,1762
america,Alaska_11082022_HouseDistrict33.csv,5332,2,1,82,5250,0,0,0,0,0,5250
america,Alaska_11082022_HouseDistrict27.csv,5564,4,1,29,2139,874,2522,0,0,0,2522
america,Alaska_11082022_HouseDistrict40.csv,2202,2,1,36,2166,0,0,0,0,0,2166
america,Alaska_11052024_StateHouseD33.csv,7200,2,1,142,7058,0,0,0,0,0,7058
america,Alaska_11052024_StateHouseD27.csv,7615,3,1,70,1905,5640,0,0,0,0,5640
america,Alaska_11082022_HouseDistrict1.csv,6699,3,1,34,1699,4966,0,0,0,0,4966
america,Alaska_11052024_StateHouseD26.csv,7607,2,1,113,7494,0,0,0,0,0,7494
america,Alaska_11052024_StateHouseD32.csv,4796,3,1,65,928,3803,0,0,0,0,3803
america,Alaska_11052024_StateHouseD1.csv,8164,4,1,53,1307,1483,5321,0,0,0,5321
america,Alaska_11082022_SenateDistrictA.csv,12941,3,1,58,4093,8790,0,0,0,0,8790
america,Alaska_11052024_StateSenateJ.csv,10443,3,1,86,2073,8284,0,0,0,0,8284
america,Alaska_11052024_StateSenateH.csv,17966,3,1,207,2816,14943,0,0,0,0,14943
america,Alaska_11082022_SenateDistrictC.csv,13975,4,1,73,3376,2669,7857,0,0,0,7857
america,Alaska_11052024_StateHouseD3.csv,8291,2,1,75,8216,0,0,0,0,0,8216
america,Alaska_11052024_StateHouseD24.csv,8243,2,1,106,8137,0,0,0,0,0,8137
america,Alaska_11052024_StateHouseD30.csv,8740,3,1,101,2138,6501,0,0,0,0,6501
america,Alaska_11052024_StateHouseD18.csv,3737,3,1,52,614,3071,0,0,0,0,3071
america,Alaska_11082022_HouseDistrict2.csv,7119,3,1,32,1584,5503,0,0,0,0,5503
america,Alaska_11082022_HouseDistrict3.csv,6655,2,1,84,6571,0,0,0,0,0,6571
america,Alaska_11052024_StateHouseD19.csv,4363,4,1,29,683,402,3249,0,0,0,3249
america,Alaska_11052024_StateHouseD31.csv,6486,3,1,106,1205,5175,0,0,0,0,5175
america,Alaska_11052024_StateHouseD25.csv,8155,2,1,134,8021,0,0,0,0,0,8021
america,Alaska_11052024_StateHouseD2.csv,7239,2,1,80,7159,0,0,0,0,0,7159
america,Alaska_11082022_SenateDistrictB.csv,13278,2,1,179,13099,0,0,0,0,0,13099
america,Alaska_11082022_GovernorLieutenantGovernor.csv,263513,5,1,1735,44815,21429,107908,0,0,87626,87626
america,Alaska_11082022_SenateDistrictQ.csv,12976,4,1,82,2662,1853,8379,0,0,0,8379
america,Alaska_11082022_SenateDistrictF.csv,14300,3,1,90,2952,11258,0,0,0,0,11258
america,Alaska_11052024_StateHouseD6.csv,11417,4,1,99,1132,2108,8078,0,0,0,8078
america,Alaska_11052024_StateHouseD21.csv,8427,3,1,94,1381,6952,0,0,0,0,6952
america,Alaska_11052024_StateHouseD35.csv,9136,3,1,128,1360,7648,0,0,0,0,7648
america,Alaska_11082022_HouseDistrict7.csv,6855,3,1,87,2421,4347,0,0,0,0,4347
america,Alaska_11082022_HouseDistrict6.csv,9513,4,1,48,1450,2314,5701,0,0,0,5701
america,Alaska_11052024_StateHouseD34.csv,8735,3,1,108,2099,6528,0,0,0,0,6528
america,Alaska_11052024_StateHouseD20.csv,6157,3,1,52,1284,4821,0,0,0,0,4821
america,Alaska_11052024_StateHouseD7.csv,8460,3,1,85,1941,6434,0,0,0,0,6434
america,Alaska_11082022_SenateDistrictG.csv,11199,3,1,98,2549,8552,0,0,0,0,8552
america,Alaska_11082022_SenateDistrictP.csv,8357,4,1,64,2071,2210,4012,0,0,0,4012
america,Alaska_11052024_StateSenateL.csv,19540,4,1,156,2520,4314,12550,0,0,0,12550
america,Alaska_11052024_StateSenateN.csv,15493,4,1,119,3487,1487,10400,0,0,0,10400
america,Alaska_11082022_SenateDistrictR.csv,14624,4,1,100,3322,3351,7851,0,0,0,7851
america,Alaska_11082022_SenateDistrictE.csv,16680,4,1,93,3107,5991,7489,0,0,0,7489
america,Alaska_11052024_StateHouseD5.csv,7038,3,1,54,1209,5775,0,0,0,0,5775
america,Alaska_11052024_StateHouseD36.csv,8916,5,1,64,964,592,1607,0,0,5689,5689
america,Alaska_11052024_StateHouseD22.csv,5027,3,1,66,1074,3887,0,0,0,0,3887
america,Alaska_11082022_HouseDistrict4.csv,6864,3,1,58,1586,5220,0,0,0,0,5220
america,Alaska_11082022_HouseDistrict5.csv,5376,3,1,33,1702,3641,0,0,0,0,3641
america,Alaska_11052024_StateHouseD23.csv,9916,3,1,108,1487,8321,0,0,0,0,8321
america,Alaska_11052024_StateHouseD37.csv,3791,3,1,31,900,2860,0,0,0,0,2860
america,Alaska_11052024_StateHouseD4.csv,7244,2,1,75,7169,0,0,0,0,0,7169
america,Alaska_11082022_SenateDistrictD.csv,15169,4,1,88,2672,4808,7601,0,0,0,7601
america,Alaska_11082022_SenateDistrictS.csv,6839,3,1,68,2747,4024,0,0,0,0,4024
america,Alaska_11052024_StateSenateB.csv,16069,2,1,162,15907,0,0,0,0,0,15907
america,Alaska_11082022_SenateDistrictI.csv,7544,3,1,66,2074,5404,0,0,0,0,5404
america,Alaska_11052024_StateHouseD9.csv,11207,3,1,128,1702,9377,0,0,0,0,9377
america,Alaska_11052024_StateHouseD12.csv,7831,3,1,63,1497,6271,0,0,0,0,6271
america,Alaska_11082022_HouseDistrict8.csv,7150,2,1,135,7015,0,0,0,0,0,7015
america,Alaska_11082022_HouseDistrict9.csv,9821,3,1,72,1882,7867,0,0,0,0,7867
america,Alaska_11052024_StateHouseD13.csv,7024,3,1,122,1280,5622,0,0,0,0,5622
america,Alaska_11052024_StateHouseD8.csv,9034,3,1,69,2367,6598,0,0,0,0,6598
america,Alaska_11082022_SenateDistrictH.csv,15190,3,1,125,3400,11665,0,0,0,0,11665
america,Alaska_11082022_USRepresentative.csv,263371,5,1,2530,45676,34988,91606,0,0,88571,88571
america,Alaska_11052024_StateSenateT.csv,6425,2,1,107,6318,0,0,0,0,0,6318
america,Alaska_11082022_SenateDistrictJ.csv,8607,4,1,49,2023,2924,3611,0,0,0,3611
america,Alaska_11052024_StateHouseD11.csv,9194,3,1,65,1458,7671,0,0,0,0,7671
america,Alaska_11052024_StateHouseD39.csv,4014,3,1,56,1460,2498,0,0,0,0,2498
america,Alaska_11052024_StateHouseD38.csv,3565,5,1,27,997,339,349,0,0,1853,1853
america,Alaska_11052024_StateHouseD10.csv,7581,3,1,81,2039,5461,0,0,0,0,5461
america,Alaska_11082022_SenateDistrictK.csv,10806,3,1,82,2508,8216,0,0,0,0,8216
america,Alaska_11052024_StateSenateD.csv,19311,4,1,146,2072,4004,13089,0,0,0,13089
america,Alaska_11082022_SenateDistrictO.csv,14277,3,1,90,5792,8395,0,0,0,0,8395
america,Alaska_11052024_StateHouseD28.csv,7800,4,1,61,1804,722,5213,0,0,0,5213
america,Alaska_11052024_StateHouseD14.csv,6253,3,1,67,1623,4563,0,0,0,0,4563
america,Alaska_11052024_StateHouseD15.csv,8816,4,1,82,1110,1379,6245,0,0,0,6245
america,Alaska_11052024_StateHouseD29.csv,8170,2,1,129,8041,0,0,0,0,0,8041
america,Alaska_11082022_SenateDistrictN.csv,11544,4,1,84,4772,1627,5061,0,0,0,5061
america,Alaska_11052024_StateSenateR.csv,18109,4,1,169,2574,2254,13112,0,0,0,13112
america,Alaska_11052024_StateSenateP.csv,11506,3,1,208,2205,9093,0,0,0,0,9093
america,Alaska_11082022_SenateDistrictL.csv,14677,3,1,131,5671,8875,0,0,0,0,8875
america,Alaska_11082022_USSenator.csv,261468,5,1,3054,42741,31506,89800,0,0,94367,94367
america,Alaska_11052024_StateHouseD17.csv,5604,2,1,128,5476,0,0,0,0,0,5476
america,Alaska_11052024_StateHouseD16.csv,8592,3,1,80,1769,6743,0,0,0,0,6743
america,Alaska_11082022_SenateDistrictM.csv,14850,3,1,90,2717,12043,0,0,0,0,12043
america,Alaska_11052024_StateSenateF.csv,17006,4,1,119,2295,2814,11778,0,0,0,11778
america,Alaska_11052024_President.csv,337974,8,1,36903,4557,1883,2113,0,0,292518,231048
