country,file_name,num_voters,num_cands,num_seats,no_skipped,one_skipped,two_skipped,three_skipped,write_in,truncated
australia,BallotPaperDetails-Brighton with candidates.csv,41196,9,1,40480,716,0,0,0,0
australia,BallotPaperDetails-Northcote with candidates.csv,42642,11,1,41933,709,0,0,0,0
australia,BallotPaperDetails-Werribee with candidates.csv,38602,15,1,38105,497,0,0,0,0
australia,BallotPaperDetails-Point Cook with candidates.csv,39099,15,1,38556,543,0,0,0,0
australia,BallotPaperDetails-Hawthorn with candidates.csv,44310,8,1,43861,449,0,0,0,0
australia,BallotPaperDetails-Preston with Candidates.csv,39857,10,1,39047,810,0,0,0,0
australia,BallotPaperDetails-Melton with candidates.csv,37619,14,1,37137,482,0,0,0,0
australia,Ballina-mayoral-finalpreferencedatafile (1).csv,26913,6,1,4123,77,684,7616,0,0
australia,The_Hills_Shire-mayoral-finalpreferencedatafile.csv,105384,6,1,19708,332,3356,9947,0,0
australia,Nambucca_Valley-mayoral-finalpreferencedatafile.csv,12482,3,1,1001,11481,0,0,0,0
australia,City_of_Sydney-mayoral-finalpreferencedatafile.csv,118511,7,1,31912,517,1816,6375,0,0
australia,City_of_Coffs_Harbour-mayoral-finalpreferencedatafile.csv,45155,11,1,4575,403,71,63,0,0
australia,City_of_Lismore-mayoral-finalpreferencedatafile.csv,26474,7,1,6303,153,230,2980,0,0
australia,Eurobodalla-mayoral-finalpreferencedatafile.csv,25526,8,1,4001,163,834,682,0,0
australia,City_of_Shellharbour-mayoral-finalpreferencedatafile.csv,46273,3,1,5061,41212,0,0,0,0
australia,Singleton-mayoral-finalpreferencedatafile.csv,13755,5,1,3504,101,1183,8967,0,0
australia,Uralla-mayoral-finalpreferencedatafile.csv,3781,4,1,1179,292,2310,0,0,0
australia,City_of_Shoalhaven-mayoral-finalpreferencedatafile.csv,67030,7,1,12788,254,1883,1202,0,0
australia,Port_Macquarie-Hastings-mayoral-finalpreferencedatafile.csv,54499,6,1,10425,129,508,2953,0,0
australia,Richmond_Valley-mayoral-finalpreferencedatafile.csv,13405,3,1,886,12519,0,0,0,0
australia,City_of_Lake_Macquarie-mayoral-finalpreferencedatafile.csv,130336,5,1,33671,525,6596,89544,0,0
australia,Port_Stephens-mayoral-finalpreferencedatafile.csv,47807,3,1,2922,44885,0,0,0,0
australia,Wollondilly-mayoral-finalpreferencedatafile.csv,31355,7,1,5564,88,90,1022,0,0
australia,City_of_Griffith-mayoral-finalpreferencedatafile.csv,14179,6,1,2755,51,186,1203,0,0
australia,Hunters_Hill-mayoral-finalpreferencedatafile.csv,8356,5,1,3592,42,1449,3273,0,0
australia,City_of_Cessnock-mayoral-finalpreferencedatafile.csv,36497,5,1,9974,134,2008,24381,0,0
australia,City_of_Newcastle-mayoral-finalpreferencedatafile.csv,100275,7,1,29391,401,1425,3546,0,0
australia,City_of_Willoughby-mayoral-finalpreferencedatafile.csv,37942,4,1,10035,3624,24283,0,0,0
australia,City_of_Maitland-mayoral-finalpreferencedatafile.csv,54181,8,1,12391,349,536,2365,0,0
australia,City_of_Broken_Hill-mayoral-finalpreferencedatafile.csv,10812,4,1,3677,556,6579,0,0,0
australia,Bellingen-mayoral-finalpreferencedatafile (1).csv,8374,4,1,2388,349,5637,0,0,0
australia,Byron-mayoral-finalpreferencedatafile.csv,18165,10,1,3494,223,73,721,0,0
australia,City_of_Orange-mayoral-finalpreferencedatafile.csv,24355,8,1,4524,193,71,380,0,0
australia,Hornsby-mayoral-finalpreferencedatafile.csv,85656,3,1,5043,80613,0,0,0,0
australia,Kempsey-mayoral-finalpreferencedatafile.csv,17585,8,1,1908,79,66,713,0,0
australia,Burwood-mayoral-finalpreferencedatafile.csv,17797,5,1,3960,122,1220,12495,0,0
australia,City_of_Wollongong-mayoral-finalpreferencedatafile.csv,127240,7,1,29771,498,636,6313,0,0
australia,City_of_Liverpool-mayoral-finalpreferencedatafile.csv,115177,6,1,24037,362,1648,9764,0,0
australia,SB1702 LA Pref Data_NA_Cootamundra.csv,45608,7,1,12009,342,1761,3846,0,0
australia,SB1702 LA Pref Data_NA_Murray.csv,45551,7,1,12325,3232,389,3146,0,0
australia,SB1701 LA Pref Data_NA_Gosford.csv,46287,7,1,11632,192,392,1137,0,0
australia,SB1701 LA Pref Data_NA_North Shore.csv,42292,9,1,12969,167,106,232,0,0
australia,SB1701 LA Pref Data_NA_Manly.csv,42827,13,1,3290,149,54,30,0,0
australia,SB1702 LA Pref Data_NA_Blacktown.csv,43362,5,1,10658,386,3779,28539,0,0
australia,SGE2019 LA Pref Data Murray.csv,47233,11,1,5373,303,45,50,0,0
australia,SGE2019 LA Pref Data Sydney.csv,43201,7,1,12991,200,424,1954,0,0
australia,SGE2019 LA Pref Data Newtown.csv,46312,8,1,13795,324,739,7366,0,0
australia,SGE2019 LA Pref Data Balmain.csv,49299,7,1,14555,402,6749,2443,0,0
australia,SGE2019 LA Pref Data Camden.csv,62772,8,1,11873,265,213,530,0,0
australia,SGE2019 LA Pref Data Maitland.csv,53050,9,1,7739,292,81,241,0,0
australia,SGE2019 LA Pref Data Ku-ring-gai.csv,48730,7,1,10406,133,433,1649,0,0
australia,SGE2019 LA Pref Data Bega.csv,50701,7,1,16342,186,186,1186,0,0
australia,SGE2019 LA Pref Data Orange.csv,50295,10,1,7588,388,65,90,0,0
australia,SGE2019 LA Pref Data Goulburn.csv,51057,8,1,10073,311,137,656,0,0
australia,SGE2019 LA Pref Data Kiama.csv,48946,6,1,13260,165,718,3613,0,0
australia,SGE2019 LA Pref Data Wollondilly.csv,50989,9,1,10294,277,82,538,0,0
australia,SGE2019 LA Pref Data Fairfield.csv,44075,5,1,14361,311,2460,26943,0,0
australia,SGE2019 LA Pref Data Coogee.csv,46035,9,1,9312,242,172,3386,0,0
australia,SGE2019 LA Pref Data Cessnock.csv,49781,6,1,11361,434,593,2125,0,0
australia,SGE2019 LA Pref Data Maroubra.csv,48278,8,1,7330,218,234,708,0,0
australia,SGE2019 LA Pref Data The Entrance.csv,48086,8,1,11766,222,148,393,0,0
australia,SGE2019 LA Pref Data Bathurst.csv,50833,7,1,11343,209,226,1739,0,0
australia,SGE2019 LA Pref Data Oatley.csv,48120,6,1,11833,172,876,3371,0,0
australia,SGE2019 LA Pref Data Swansea.csv,49192,6,1,10037,176,664,2197,0,0
australia,SGE2019 LA Pref Data Blue Mountains.csv,49228,8,1,11865,182,405,4982,0,0
australia,SGE2019 LA Pref Data Miranda.csv,49066,7,1,8403,170,314,1332,0,0
australia,SGE2019 LA Pref Data Auburn.csv,44842,6,1,11290,177,844,2989,0,0
australia,SGE2019 LA Pref Data Barwon.csv,46174,10,1,8038,520,104,121,0,0
australia,SGE2019 LA Pref Data Lakemba.csv,44615,7,1,9912,231,412,1202,0,0
australia,SGE2019 LA Pref Data Mount Druitt.csv,47031,6,1,9172,175,688,3514,0,0
australia,SGE2019 LA Pref Data Pittwater.csv,49119,9,1,8926,196,86,273,0,0
australia,SGE2019 LA Pref Data East Hills.csv,47623,8,1,6546,186,153,504,0,0
australia,SGE2019 LA Pref Data Gosford.csv,48637,7,1,10092,196,372,4167,0,0
australia,SGE2019 LA Pref Data Monaro.csv,49448,7,1,15101,199,324,1496,0,0
australia,SGE2019 LA Pref Data Cootamundra.csv,47448,7,1,9943,211,172,2252,0,0
australia,SGE2019 LA Pref Data Parramatta.csv,48728,8,1,7792,218,445,693,0,0
australia,SGE2019 LA Pref Data Epping.csv,49224,6,1,13166,152,1121,3693,0,0
australia,SGE2019 LA Pref Data Blacktown.csv,46909,6,1,9817,275,980,4070,0,0
australia,SGE2019 LA Pref Data Wyong.csv,48121,5,1,11881,204,5139,30897,0,0
australia,SGE2019 LA Pref Data Lake Macquarie.csv,50082,7,1,10979,229,330,3163,0,0
australia,SGE2019 LA Pref Data North Shore.csv,47774,10,1,7738,286,73,208,0,0
australia,SGE2019 LA Pref Data Kogarah.csv,45576,6,1,8136,330,1017,3312,0,0
australia,SGE2019 LA Pref Data Wagga Wagga.csv,48578,8,1,13898,311,133,398,0,0
australia,SGE2019 LA Pref Data Shellharbour.csv,54840,5,1,14698,259,1963,37920,0,0
australia,SGE2019 LA Pref Data Port Macquarie.csv,52735,5,1,15235,270,1531,35699,0,0
australia,SGE2019 LA Pref Data Riverstone.csv,53510,4,1,16572,2860,34078,0,0,0
australia,SGE2019 LA Pref Data Wallsend.csv,51351,6,1,13970,118,916,2911,0,0
australia,SGE2019 LA Pref Data Penrith.csv,48853,11,1,5519,251,39,59,0,0
australia,SGE2019 LA Pref Data Seven Hills.csv,46977,7,1,7929,158,272,1146,0,0
australia,SGE2019 LA Pref Data Prospect.csv,46845,6,1,14077,233,824,2848,0,0
australia,SGE2019 LA Pref Data Terrigal.csv,50284,8,1,10770,228,128,428,0,0
australia,SGE2019 LA Pref Data Macquarie Fields.csv,52789,7,1,8070,214,343,1432,0,0
australia,SGE2019 LA Pref Data Dubbo.csv,48455,8,1,10901,285,128,390,0,0
australia,SGE2019 LA Pref Data Hornsby.csv,50003,10,1,8430,421,63,169,0,0
australia,SGE2019 LA Pref Data Lane Cove.csv,50941,7,1,14323,227,428,1987,0,0
australia,SGE2019 LA Pref Data Tweed.csv,46661,6,1,12946,189,2891,2156,0,0
australia,SGE2019 LA Pref Data Mulgoa.csv,51375,5,1,10013,244,2025,39093,0,0
australia,SGE2019 LA Pref Data Wollongong.csv,51435,8,1,11119,381,304,660,0,0
australia,SGE2019 LA Pref Data Keira.csv,51936,5,1,17336,419,2574,31607,0,0
australia,SGE2019 LA Pref Data Tamworth.csv,50578,7,1,16651,326,231,1100,0,0
australia,SGE2019 LA Pref Data Clarence.csv,49355,7,1,14062,244,248,1596,0,0
australia,SGE2019 LA Pref Data Port Stephens.csv,49642,7,1,8015,173,237,806,0,0
