rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,numSeats,numCands
"Reeves, Kenneth E.","Moore, M. Kevin","Toomey, Timothy J., Jr.","Ward, Larry W.","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Janik, Jonathan S.","Kelley, Craig A.","Maher, David P.","Moree, Gregg J.","Murphy, Brian","Podgers, Kathy","Seidel, Sam","Simmons, E. Denise",skipped,9,17
"Kelley, Craig A.","Janik, Jonathan S.","Ward, Larry W.","Simmons, E. Denise","Maher, David P.","Moore, M. Kevin","Moree, Gregg J.","Podgers, Kathy","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Ward, Larry W.","Simmons, E. Denise","Decker, Marjorie C.","Kelley, Craig A.","Murphy, Brian","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Sullivan, Edward J.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Podgers, Kathy","Decker, Marjorie C.","Galluccio, Anthony D.","Kelley, Craig A.","Moree, Gregg J.","Simmons, E. Denise","Murphy, Brian","Janik, Jonathan S.","Maher, David P.","Moore, M. Kevin","Seidel, Sam","Sullivan, Edward J.","Toomey, Timothy J., Jr.","Ward, Larry W.","Reeves, Kenneth E.",9,17
"Davis, Henrietta","Kelley, Craig A.","Moore, M. Kevin","Moree, Gregg J.","Decker, Marjorie C.","Podgers, Kathy","Reeves, Kenneth E.","Janik, Jonathan S.","Ward, Larry W.","Sullivan, Edward J.",skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Murphy, Brian","Davis, Henrietta","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Janik, Jonathan S.","Kelley, Craig A.","Murphy, Brian","Seidel, Sam","Simmons, E. Denise","Ward, Larry W.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Sullivan, Edward J.","Davis, Henrietta","Podgers, Kathy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
"Davis, Henrietta","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,17
