voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,num_positions
29,KENNY MACLAREN Scottish National Party (SNP),MAGS MACLAREN Scottish National Party (SNP),Cara RAE Scottish Green Party,Samuel Oludare YEROKUN Alba Party for independence,Mark BAILEY Scottish Liberal Democrats,Ben SMITH Scottish Labour Party,Janis MCDONALD Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,4
30,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,Mark BAILEY Scottish Liberal Democrats,MAGS MACLAREN Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
31,MAGS MACLAREN Scottish National Party (SNP),John MCINTYRE Independent,Samuel Oludare YEROKUN Alba Party for independence,Cara RAE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
32,Ben SMITH Scottish Labour Party,Janis MCDONALD Scottish Labour Party,Mark BAILEY Scottish Liberal Democrats,Jim HALFPENNY Scottish Trade Unionist and Socialist Coalition,John MCINTYRE Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
33,John MCINTYRE Independent,Ben SMITH Scottish Labour Party,KENNY MACLAREN Scottish National Party (SNP),Janis MCDONALD Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
34,Fraser PAUL Scottish Conservative and Unionist,Ben SMITH Scottish Labour Party,Janis MCDONALD Scottish Labour Party,John MCINTYRE Independent,Mark BAILEY Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
35,Cara RAE Scottish Green Party,Janis MCDONALD Scottish Labour Party,KENNY MACLAREN Scottish National Party (SNP),MAGS MACLAREN Scottish National Party (SNP),Ben SMITH Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
36,Cara RAE Scottish Green Party,KENNY MACLAREN Scottish National Party (SNP),MAGS MACLAREN Scottish National Party (SNP),Mark BAILEY Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
37,Samuel Oludare YEROKUN Alba Party for independence,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Jim HALFPENNY Scottish Trade Unionist and Socialist Coalition,John MCINTYRE Independent,Cara RAE Scottish Green Party,Mark BAILEY Scottish Liberal Democrats,Fraser PAUL Scottish Conservative and Unionist,Ben SMITH Scottish Labour Party,Janis MCDONALD Scottish Labour Party,MAGS MACLAREN Scottish National Party (SNP),KENNY MACLAREN Scottish National Party (SNP),skipped,4
38,Janis MCDONALD Scottish Labour Party,Mark BAILEY Scottish Liberal Democrats,Ben SMITH Scottish Labour Party,Cara RAE Scottish Green Party,KENNY MACLAREN Scottish National Party (SNP),MAGS MACLAREN Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
39,Jim HALFPENNY Scottish Trade Unionist and Socialist Coalition,Janis MCDONALD Scottish Labour Party,John MCINTYRE Independent,Ben SMITH Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
40,Janis MCDONALD Scottish Labour Party,Jim HALFPENNY Scottish Trade Unionist and Socialist Coalition,Mark BAILEY Scottish Liberal Democrats,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",KENNY MACLAREN Scottish National Party (SNP),MAGS MACLAREN Scottish National Party (SNP),John MCINTYRE Independent,Cara RAE Scottish Green Party,Ben SMITH Scottish Labour Party,Fraser PAUL Scottish Conservative and Unionist,skipped,skipped,4
41,Janis MCDONALD Scottish Labour Party,KENNY MACLAREN Scottish National Party (SNP),Cara RAE Scottish Green Party,Ben SMITH Scottish Labour Party,MAGS MACLAREN Scottish National Party (SNP),Mark BAILEY Scottish Liberal Democrats,John MCINTYRE Independent,skipped,skipped,skipped,skipped,skipped,4
42,Ben SMITH Scottish Labour Party,Janis MCDONALD Scottish Labour Party,Mark BAILEY Scottish Liberal Democrats,Fraser PAUL Scottish Conservative and Unionist,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
43,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,Cara RAE Scottish Green Party,Mark BAILEY Scottish Liberal Democrats,KENNY MACLAREN Scottish National Party (SNP),MAGS MACLAREN Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
44,Ben SMITH Scottish Labour Party,KENNY MACLAREN Scottish National Party (SNP),MAGS MACLAREN Scottish National Party (SNP),Janis MCDONALD Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
45,MAGS MACLAREN Scottish National Party (SNP),KENNY MACLAREN Scottish National Party (SNP),Cara RAE Scottish Green Party,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Samuel Oludare YEROKUN Alba Party for independence,Mark BAILEY Scottish Liberal Democrats,Jim HALFPENNY Scottish Trade Unionist and Socialist Coalition,John MCINTYRE Independent,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,Fraser PAUL Scottish Conservative and Unionist,skipped,4
46,Fraser PAUL Scottish Conservative and Unionist,Janis MCDONALD Scottish Labour Party,Cara RAE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
47,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
48,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
49,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
50,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
51,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
52,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
53,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
54,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
55,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
56,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
57,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
58,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
59,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
