voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,num_positions
94,Janis MCDONALD Scottish Labour Party,KENNY MACLAREN Scottish National Party (SNP),MAGS MACLAREN Scottish National Party (SNP),Cara RAE Scottish Green Party,Ben SMITH Scottish Labour Party,John MCINTYRE Independent,Mark BAILEY Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,4
95,Fraser PAUL Scottish Conservative and Unionist,John MCINTYRE Independent,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
96,Fraser PAUL Scottish Conservative and Unionist,John MCINTYRE Independent,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
97,Ben SMITH Scottish Labour Party,Janis MCDONALD Scottish Labour Party,MAGS MACLAREN Scottish National Party (SNP),KENNY MACLAREN Scottish National Party (SNP),Cara RAE Scottish Green Party,Jim HALFPENNY Scottish Trade Unionist and Socialist Coalition,Mark BAILEY Scottish Liberal Democrats,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",John MCINTYRE Independent,Samuel Oludare YEROKUN Alba Party for independence,Fraser PAUL Scottish Conservative and Unionist,skipped,4
98,Cara RAE Scottish Green Party,MAGS MACLAREN Scottish National Party (SNP),KENNY MACLAREN Scottish National Party (SNP),Ben SMITH Scottish Labour Party,Janis MCDONALD Scottish Labour Party,Mark BAILEY Scottish Liberal Democrats,Jim HALFPENNY Scottish Trade Unionist and Socialist Coalition,skipped,skipped,skipped,skipped,skipped,4
99,Samuel Oludare YEROKUN Alba Party for independence,MAGS MACLAREN Scottish National Party (SNP),KENNY MACLAREN Scottish National Party (SNP),Cara RAE Scottish Green Party,Jim HALFPENNY Scottish Trade Unionist and Socialist Coalition,John MCINTYRE Independent,Ben SMITH Scottish Labour Party,Janis MCDONALD Scottish Labour Party,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Mark BAILEY Scottish Liberal Democrats,Fraser PAUL Scottish Conservative and Unionist,skipped,4
100,Ben SMITH Scottish Labour Party,Janis MCDONALD Scottish Labour Party,Fraser PAUL Scottish Conservative and Unionist,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
101,Ben SMITH Scottish Labour Party,Janis MCDONALD Scottish Labour Party,Fraser PAUL Scottish Conservative and Unionist,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
102,Ben SMITH Scottish Labour Party,Janis MCDONALD Scottish Labour Party,Fraser PAUL Scottish Conservative and Unionist,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
103,Mark BAILEY Scottish Liberal Democrats,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,MAGS MACLAREN Scottish National Party (SNP),KENNY MACLAREN Scottish National Party (SNP),Cara RAE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,4
104,KENNY MACLAREN Scottish National Party (SNP),MAGS MACLAREN Scottish National Party (SNP),John MCINTYRE Independent,Samuel Oludare YEROKUN Alba Party for independence,Cara RAE Scottish Green Party,Jim HALFPENNY Scottish Trade Unionist and Socialist Coalition,Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Mark BAILEY Scottish Liberal Democrats,Fraser PAUL Scottish Conservative and Unionist,skipped,4
105,KENNY MACLAREN Scottish National Party (SNP),MAGS MACLAREN Scottish National Party (SNP),Janis MCDONALD Scottish Labour Party,Ben SMITH Scottish Labour Party,Samuel Oludare YEROKUN Alba Party for independence,Cara RAE Scottish Green Party,Jim HALFPENNY Scottish Trade Unionist and Socialist Coalition,Mark BAILEY Scottish Liberal Democrats,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Fraser PAUL Scottish Conservative and Unionist,John MCINTYRE Independent,skipped,4
106,Fraser PAUL Scottish Conservative and Unionist,John MCINTYRE Independent,"Rona GRIEVE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Jim HALFPENNY Scottish Trade Unionist and Socialist Coalition,Mark BAILEY Scottish Liberal Democrats,Janis MCDONALD Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,4
