voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
7239,Cammy DAY(Lab),Vicki REDPATH (Lab),Kate JOESTER(Grn),Steve CARDOWNIE (SNP),George GORDON (SNP),skipped,skipped,skipped,skipped,,9
7240,Cammy DAY(Lab),Vicki REDPATH (Lab),Steve CARDOWNIE (SNP),Tim WIGHT(LD),Seumas Stiubhard MACMHICEAN (Liberal),Allan George JACKSON (Con),Ruth Ann HENDERSON (TUSC),skipped,skipped,,9
7241,Cammy DAY(Lab),Vicki REDPATH (Lab),Steve CARDOWNIE (SNP),Seumas Stiubhard MACMHICEAN (Liberal),Tim WIGHT(LD),Ruth Ann HENDERSON (TUSC),Allan George JACKSON (Con),skipped,skipped,,9
7242,Cammy DAY(Lab),Vicki REDPATH (Lab),Steve CARDOWNIE (SNP),Seumas Stiubhard MACMHICEAN (Liberal),Tim WIGHT(LD),Allan George JACKSON (Con),Ruth Ann HENDERSON (TUSC),skipped,skipped,,9
7243,Cammy DAY(Lab),Vicki REDPATH (Lab),Kate JOESTER(Grn),Seumas Stiubhard MACMHICEAN (Liberal),skipped,skipped,skipped,skipped,skipped,,9
7244,Cammy DAY(Lab),Vicki REDPATH (Lab),Kate JOESTER(Grn),Seumas Stiubhard MACMHICEAN (Liberal),skipped,skipped,skipped,skipped,skipped,,9
7245,Cammy DAY(Lab),Vicki REDPATH (Lab),Kate JOESTER(Grn),Seumas Stiubhard MACMHICEAN (Liberal),skipped,skipped,skipped,skipped,skipped,,9
7246,Cammy DAY(Lab),Vicki REDPATH (Lab),Kate JOESTER(Grn),Seumas Stiubhard MACMHICEAN (Liberal),skipped,skipped,skipped,skipped,skipped,,9
7247,Cammy DAY(Lab),Vicki REDPATH (Lab),Kate JOESTER(Grn),Seumas Stiubhard MACMHICEAN (Liberal),skipped,skipped,skipped,skipped,skipped,,9
7248,Cammy DAY(Lab),Vicki REDPATH (Lab),Kate JOESTER(Grn),Seumas Stiubhard MACMHICEAN (Liberal),skipped,skipped,skipped,skipped,skipped,,9
7249,Cammy DAY(Lab),Vicki REDPATH (Lab),Kate JOESTER(Grn),Seumas Stiubhard MACMHICEAN (Liberal),skipped,skipped,skipped,skipped,skipped,,9
7250,Cammy DAY(Lab),Vicki REDPATH (Lab),Kate JOESTER(Grn),Seumas Stiubhard MACMHICEAN (Liberal),skipped,skipped,skipped,skipped,skipped,,9
7251,Cammy DAY(Lab),Vicki REDPATH (Lab),Kate JOESTER(Grn),Seumas Stiubhard MACMHICEAN (Liberal),Tim WIGHT(LD),skipped,skipped,skipped,skipped,,9
7252,Cammy DAY(Lab),Vicki REDPATH (Lab),Seumas Stiubhard MACMHICEAN (Liberal),Allan George JACKSON (Con),Ruth Ann HENDERSON (TUSC),Steve CARDOWNIE (SNP),George GORDON (SNP),skipped,skipped,,9
7253,Cammy DAY(Lab),Vicki REDPATH (Lab),Seumas Stiubhard MACMHICEAN (Liberal),George GORDON (SNP),Ruth Ann HENDERSON (TUSC),Allan George JACKSON (Con),Tim WIGHT(LD),skipped,skipped,,9
7254,Cammy DAY(Lab),Steve CARDOWNIE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
7255,Cammy DAY(Lab),Steve CARDOWNIE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
7256,Cammy DAY(Lab),Steve CARDOWNIE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
7257,Cammy DAY(Lab),Steve CARDOWNIE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
7258,Cammy DAY(Lab),Steve CARDOWNIE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
7259,Cammy DAY(Lab),Steve CARDOWNIE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
7260,Cammy DAY(Lab),Steve CARDOWNIE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
7261,Cammy DAY(Lab),Steve CARDOWNIE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
7262,Cammy DAY(Lab),Steve CARDOWNIE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
7263,Cammy DAY(Lab),Steve CARDOWNIE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
7264,Cammy DAY(Lab),Steve CARDOWNIE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
7265,Cammy DAY(Lab),Steve CARDOWNIE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
7266,Cammy DAY(Lab),Steve CARDOWNIE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
7267,Cammy DAY(Lab),Steve CARDOWNIE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
7268,Cammy DAY(Lab),Steve CARDOWNIE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
7269,Cammy DAY(Lab),Steve CARDOWNIE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
7270,Cammy DAY(Lab),Steve CARDOWNIE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
