ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4,rank5,Num cands,Num seats
01010_00474_000379,BT39,Vote by Mail,"EBMUD, Ward #6",UTILITY DISTRICTS,400300,400300,Election Office,CLIFFORD THOMPSON,skipped,skipped,skipped,skipped,3,1
01010_00474_000301,BT41,Vote by Mail,"EBMUD, Ward #6",UTILITY DISTRICTS,410700,410700,Election Office,CLIFFORD THOMPSON,DOMONIC WARE,skipped,skipped,skipped,3,1
01010_00474_000238,BT41,Vote by Mail,"EBMUD, Ward #6",UTILITY DISTRICTS,410700,410700,Election Office,CLIFFORD THOMPSON,skipped,skipped,skipped,skipped,3,1
01010_00474_000113,BT41,Vote by Mail,"EBMUD, Ward #6",UTILITY DISTRICTS,410700,410700,Election Office,CLIFFORD THOMPSON,skipped,skipped,skipped,skipped,3,1
01010_00474_000638,BT39,Vote by Mail,"EBMUD, Ward #6",UTILITY DISTRICTS,400300,400300,Election Office,CLIFFORD THOMPSON,DOMONIC WARE,skipped,skipped,skipped,3,1
01010_00474_000515,BT41,Vote by Mail,"EBMUD, Ward #6",UTILITY DISTRICTS,410700,410700,Election Office,DOMONIC WARE,CLIFFORD THOMPSON,skipped,skipped,skipped,3,1
01010_00474_000369,BT39,Vote by Mail,"EBMUD, Ward #6",UTILITY DISTRICTS,400300,400300,Election Office,CLIFFORD THOMPSON,skipped,skipped,skipped,skipped,3,1
01010_00474_000221,BT41,Vote by Mail,"EBMUD, Ward #6",UTILITY DISTRICTS,410700,410700,Election Office,CLIFFORD THOMPSON,skipped,skipped,skipped,skipped,3,1
01010_00474_000092,BT41,Vote by Mail,"EBMUD, Ward #6",UTILITY DISTRICTS,410700,410700,Election Office,DOMONIC WARE,CLIFFORD THOMPSON,skipped,skipped,skipped,3,1
01010_00474_000046,BT41,Vote by Mail,"EBMUD, Ward #6",UTILITY DISTRICTS,410700,410700,Election Office,CLIFFORD THOMPSON,skipped,skipped,skipped,skipped,3,1
01010_00474_000657,BT39,Vote by Mail,"EBMUD, Ward #6",UTILITY DISTRICTS,400300,400300,Election Office,CLIFFORD THOMPSON,skipped,skipped,skipped,skipped,3,1
01010_00474_000488,BT39,Vote by Mail,"EBMUD, Ward #6",UTILITY DISTRICTS,400300,400300,Election Office,CLIFFORD THOMPSON,skipped,skipped,skipped,skipped,3,1
01010_00474_000356,BT39,Vote by Mail,"EBMUD, Ward #6",UTILITY DISTRICTS,400300,400300,Election Office,DOMONIC WARE,CLIFFORD THOMPSON,skipped,skipped,skipped,3,1
01010_00474_000282,BT41,Vote by Mail,"EBMUD, Ward #6",UTILITY DISTRICTS,410700,410700,Election Office,CLIFFORD THOMPSON,skipped,skipped,skipped,skipped,3,1
