precincts,tally_type,ballotID,rank1,rank2,rank3,Num cands,Num seats
244100,Vote by Mail - 400C,12307,LIBBY SCHAAF,CLINTON KILLIAN,RALPH KANZ,8,1
344200,Vote by Mail - 400C,12313,JASON GILLEN,LIBBY SCHAAF,DANIEL SWAFFORD,8,1
244100,Vote by Mail - 400C,12769,LIBBY SCHAAF,DANIEL SWAFFORD,skipped,8,1
244100,Vote by Mail - 400C,12770,RALPH KANZ,DANIEL SWAFFORD,JASON GILLEN,8,1
244100,Vote by Mail - 400C,12771,LIBBY SCHAAF,DANIEL SWAFFORD,RALPH KANZ,8,1
244100,Vote by Mail - 400C,12772,DANIEL SWAFFORD,CLINTON KILLIAN,skipped,8,1
244100,Vote by Mail - 400C,12774,LIBBY SCHAAF,skipped,skipped,8,1
244100,Vote by Mail - 400C,12775,DANIEL SWAFFORD,CLINTON KILLIAN,skipped,8,1
244100,Vote by Mail - 400C,12776,LIBBY SCHAAF,RALPH KANZ,DANIEL SWAFFORD,8,1
244100,Vote by Mail - 400C,12777,RALPH KANZ,skipped,skipped,8,1
244100,Vote by Mail - 400C,12778,LIBBY SCHAAF,JILL BROADHURST,DANIEL SWAFFORD,8,1
244100,Vote by Mail - 400C,12779,CLINTON KILLIAN,MELANIE SHELBY,JASON GILLEN,8,1
244100,Vote by Mail - 400C,12780,LIBBY SCHAAF,DANIEL SWAFFORD,skipped,8,1
244100,Vote by Mail - 400C,12781,LIBBY SCHAAF,JILL BROADHURST,skipped,8,1
244100,Vote by Mail - 400C,12782,LIBBY SCHAAF,JILL BROADHURST,DANIEL SWAFFORD,8,1
244100,Vote by Mail - 400C,12783,LIBBY SCHAAF,skipped,skipped,8,1
244100,Vote by Mail - 400C,12784,LIBBY SCHAAF,JILL BROADHURST,CLINTON KILLIAN,8,1
244100,Vote by Mail - 400C,12785,LIBBY SCHAAF,skipped,skipped,8,1
244100,Vote by Mail - 400C,12787,JASON GILLEN,JILL BROADHURST,DANIEL SWAFFORD,8,1
244100,Vote by Mail - 400C,12788,LIBBY SCHAAF,JILL BROADHURST,MELANIE SHELBY,8,1
244100,Vote by Mail - 400C,12789,LIBBY SCHAAF,CLINTON KILLIAN,MELANIE SHELBY,8,1
244100,Vote by Mail - 400C,12790,LIBBY SCHAAF,DANIEL SWAFFORD,JILL BROADHURST,8,1
