precincts,tally_type,ballotID,rank1,rank2,rank3,Num cands,Num seats
450610,Vote by Mail - 400C,13724,JOYCE RUTLEDGE STAROSCIAK,STEPHEN H. CASSIDY,SARA M. MESTAS,7,1
450610,Vote by Mail - 400C,13725,JOYCE RUTLEDGE STAROSCIAK,JOHN R. PALAU,SARA M. MESTAS,7,1
456200,Vote by Mail - 400C,13726,STEPHEN H. CASSIDY,JOYCE RUTLEDGE STAROSCIAK,ANTHONY B. ''TONY'' SANTOS,7,1
456600,Vote by Mail - 400C,13727,STEPHEN H. CASSIDY,JOYCE RUTLEDGE STAROSCIAK,ANTHONY B. ''TONY'' SANTOS,7,1
450300,Vote by Mail - 400C,31883,STEPHEN H. CASSIDY,SARA M. MESTAS,JOHN R. PALAU,7,1
450300,Vote by Mail - 400C,31884,JOYCE RUTLEDGE STAROSCIAK,skipped,skipped,7,1
450300,Vote by Mail - 400C,31885,STEPHEN H. CASSIDY,JOHN R. PALAU,SARA M. MESTAS,7,1
450300,Vote by Mail - 400C,31886,STEPHEN H. CASSIDY,JOHN R. PALAU,SARA M. MESTAS,7,1
450300,Vote by Mail - 400C,31887,STEPHEN H. CASSIDY,JOYCE RUTLEDGE STAROSCIAK,JOHN R. PALAU,7,1
450300,Vote by Mail - 400C,31888,ANTHONY B. ''TONY'' SANTOS,STEPHEN H. CASSIDY,JOHN R. PALAU,7,1
450300,Vote by Mail - 400C,31889,ANTHONY B. ''TONY'' SANTOS,STEPHEN H. CASSIDY,JOYCE RUTLEDGE STAROSCIAK,7,1
450300,Vote by Mail - 400C,31890,STEPHEN H. CASSIDY,JOYCE RUTLEDGE STAROSCIAK,skipped,7,1
450300,Vote by Mail - 400C,31891,STEPHEN H. CASSIDY,skipped,skipped,7,1
450300,Vote by Mail - 400C,31892,JOYCE RUTLEDGE STAROSCIAK,SARA M. MESTAS,ANTHONY B. ''TONY'' SANTOS,7,1
450300,Vote by Mail - 400C,31893,STEPHEN H. CASSIDY,skipped,skipped,7,1
450300,Vote by Mail - 400C,31894,ANTHONY B. ''TONY'' SANTOS,JOYCE RUTLEDGE STAROSCIAK,SARA M. MESTAS,7,1
450300,Vote by Mail - 400C,31895,ANTHONY B. ''TONY'' SANTOS,STEPHEN H. CASSIDY,JOYCE RUTLEDGE STAROSCIAK,7,1
450300,Vote by Mail - 400C,31896,ANTHONY B. ''TONY'' SANTOS,SARA M. MESTAS,JOYCE RUTLEDGE STAROSCIAK,7,1
450300,Vote by Mail - 400C,31897,STEPHEN H. CASSIDY,skipped,skipped,7,1
450300,Vote by Mail - 400C,31898,ANTHONY B. ''TONY'' SANTOS,STEPHEN H. CASSIDY,JOYCE RUTLEDGE STAROSCIAK,7,1
450300,Vote by Mail - 400C,31899,STEPHEN H. CASSIDY,JOYCE RUTLEDGE STAROSCIAK,SARA M. MESTAS,7,1
450300,Vote by Mail - 400C,31900,ANTHONY B. ''TONY'' SANTOS,STEPHEN H. CASSIDY,JOYCE RUTLEDGE STAROSCIAK,7,1
450300,Vote by Mail - 400C,31901,STEPHEN H. CASSIDY,JOYCE RUTLEDGE STAROSCIAK,SARA M. MESTAS,7,1
450300,Vote by Mail - 400C,31902,STEPHEN H. CASSIDY,JOHN R. PALAU,SARA M. MESTAS,7,1
450300,Vote by Mail - 400C,31903,JOHN R. PALAU,JOYCE RUTLEDGE STAROSCIAK,skipped,7,1
450300,Vote by Mail - 400C,31904,STEPHEN H. CASSIDY,JOYCE RUTLEDGE STAROSCIAK,ANTHONY B. ''TONY'' SANTOS,7,1
450300,Vote by Mail - 400C,31905,ANTHONY B. ''TONY'' SANTOS,skipped,skipped,7,1
450300,Vote by Mail - 400C,31906,ANTHONY B. ''TONY'' SANTOS,JOYCE RUTLEDGE STAROSCIAK,JOHN R. PALAU,7,1
450300,Vote by Mail - 400C,31907,STEPHEN H. CASSIDY,skipped,skipped,7,1
450300,Vote by Mail - 400C,31908,STEPHEN H. CASSIDY,skipped,skipped,7,1
450300,Vote by Mail - 400C,31909,ANTHONY B. ''TONY'' SANTOS,STEPHEN H. CASSIDY,skipped,7,1
450300,Vote by Mail - 400C,31910,ANTHONY B. ''TONY'' SANTOS,JOYCE RUTLEDGE STAROSCIAK,JOHN R. PALAU,7,1
450300,Vote by Mail - 400C,31911,STEPHEN H. CASSIDY,ANTHONY B. ''TONY'' SANTOS,JOYCE RUTLEDGE STAROSCIAK,7,1
450300,Vote by Mail - 400C,31912,STEPHEN H. CASSIDY,JOYCE RUTLEDGE STAROSCIAK,ANTHONY B. ''TONY'' SANTOS,7,1
450300,Vote by Mail - 400C,31913,ANTHONY B. ''TONY'' SANTOS,JOYCE RUTLEDGE STAROSCIAK,STEPHEN H. CASSIDY,7,1
450300,Vote by Mail - 400C,31914,STEPHEN H. CASSIDY,JOYCE RUTLEDGE STAROSCIAK,SARA M. MESTAS,7,1
450300,Vote by Mail - 400C,31915,ANTHONY B. ''TONY'' SANTOS,skipped,skipped,7,1
450300,Vote by Mail - 400C,31916,JOYCE RUTLEDGE STAROSCIAK,STEPHEN H. CASSIDY,skipped,7,1
450300,Vote by Mail - 400C,31917,ANTHONY B. ''TONY'' SANTOS,JOYCE RUTLEDGE STAROSCIAK,skipped,7,1
450300,Vote by Mail - 400C,31918,ANTHONY B. ''TONY'' SANTOS,JOYCE RUTLEDGE STAROSCIAK,skipped,7,1
450300,Vote by Mail - 400C,31919,STEPHEN H. CASSIDY,JOHN R. PALAU,SARA M. MESTAS,7,1
450300,Vote by Mail - 400C,31920,STEPHEN H. CASSIDY,JOYCE RUTLEDGE STAROSCIAK,SARA M. MESTAS,7,1
450300,Vote by Mail - 400C,31921,SARA M. MESTAS,skipped,skipped,7,1
450300,Vote by Mail - 400C,31922,SARA M. MESTAS,skipped,skipped,7,1
450300,Vote by Mail - 400C,31923,ANTHONY B. ''TONY'' SANTOS,JOHN R. PALAU,JOYCE RUTLEDGE STAROSCIAK,7,1
450300,Vote by Mail - 400C,31924,STEPHEN H. CASSIDY,skipped,skipped,7,1
450300,Vote by Mail - 400C,31925,JOYCE RUTLEDGE STAROSCIAK,SARA M. MESTAS,ANTHONY B. ''TONY'' SANTOS,7,1
450300,Vote by Mail - 400C,31926,STEPHEN H. CASSIDY,JOHN R. PALAU,JOYCE RUTLEDGE STAROSCIAK,7,1
450300,Vote by Mail - 400C,31927,ANTHONY B. ''TONY'' SANTOS,skipped,skipped,7,1
450300,Vote by Mail - 400C,31928,ANTHONY B. ''TONY'' SANTOS,JOYCE RUTLEDGE STAROSCIAK,JOHN R. PALAU,7,1
450300,Vote by Mail - 400C,31929,JOYCE RUTLEDGE STAROSCIAK,STEPHEN H. CASSIDY,SARA M. MESTAS,7,1
450300,Vote by Mail - 400C,31930,SARA M. MESTAS,STEPHEN H. CASSIDY,JOYCE RUTLEDGE STAROSCIAK,7,1
450300,Vote by Mail - 400C,31931,ANTHONY B. ''TONY'' SANTOS,JOYCE RUTLEDGE STAROSCIAK,STEPHEN H. CASSIDY,7,1
450300,Vote by Mail - 400C,31932,JOYCE RUTLEDGE STAROSCIAK,ANTHONY B. ''TONY'' SANTOS,JOHN R. PALAU,7,1
450300,Vote by Mail - 400C,31933,STEPHEN H. CASSIDY,skipped,skipped,7,1
450300,Vote by Mail - 400C,31934,STEPHEN H. CASSIDY,JOHN R. PALAU,SARA M. MESTAS,7,1
450300,Vote by Mail - 400C,31935,JOYCE RUTLEDGE STAROSCIAK,STEPHEN H. CASSIDY,ANTHONY B. ''TONY'' SANTOS,7,1
450300,Vote by Mail - 400C,31936,STEPHEN H. CASSIDY,skipped,skipped,7,1
450300,Vote by Mail - 400C,31937,STEPHEN H. CASSIDY,JOYCE RUTLEDGE STAROSCIAK,JOHN R. PALAU,7,1
450300,Vote by Mail - 400C,31938,STEPHEN H. CASSIDY,skipped,skipped,7,1
450300,Vote by Mail - 400C,31939,SARA M. MESTAS,STEPHEN H. CASSIDY,JOYCE RUTLEDGE STAROSCIAK,7,1
450300,Vote by Mail - 400C,31940,STEPHEN H. CASSIDY,ANTHONY B. ''TONY'' SANTOS,SARA M. MESTAS,7,1
450300,Vote by Mail - 400C,31941,STEPHEN H. CASSIDY,JOYCE RUTLEDGE STAROSCIAK,ANTHONY B. ''TONY'' SANTOS,7,1
450300,Vote by Mail - 400C,31942,ANTHONY B. ''TONY'' SANTOS,skipped,skipped,7,1
450300,Vote by Mail - 400C,31943,ANTHONY B. ''TONY'' SANTOS,STEPHEN H. CASSIDY,JOYCE RUTLEDGE STAROSCIAK,7,1
450300,Vote by Mail - 400C,31944,ANTHONY B. ''TONY'' SANTOS,JOYCE RUTLEDGE STAROSCIAK,STEPHEN H. CASSIDY,7,1
450300,Vote by Mail - 400C,31945,STEPHEN H. CASSIDY,JOHN R. PALAU,skipped,7,1
450300,Vote by Mail - 400C,31946,STEPHEN H. CASSIDY,JOHN R. PALAU,skipped,7,1
450300,Vote by Mail - 400C,31947,SARA M. MESTAS,STEPHEN H. CASSIDY,JOYCE RUTLEDGE STAROSCIAK,7,1
