,file,smith_plurality,smith_irv,smith-minimax
0,dumgal17-ballots/Nith_dumgal17-09.csv,['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)']
1,dumgal17-ballots/AnnandaleSouth_dumgal17-10.csv,['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)']
2,dumgal17-ballots/AnnandaleNorth_dumgal17-11.csv,['Doug FAIRBAIRN (Con)'],['Doug FAIRBAIRN (Con)'],['Doug FAIRBAIRN (Con)']
3,dumgal17-ballots/MidGallowayandWigtownWest_dumgal17-02.csv,['David INGLIS (Con)'],['David INGLIS (Con)'],['David INGLIS (Con)']
4,dumgal17-ballots/CastleDouglasandCrocketford_dumgal17-04.csv,['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)']
5,dumgal17-ballots/NorthWestDumfries_dumgal17-06.csv,['David MCKIE (Lab)'],['David MCKIE (Lab)'],['David MCKIE (Lab)']
6,dumgal17-ballots/DeeandGlenkens_dumgal17-03.csv,['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)']
7,dumgal17-ballots/Lochar_dumgal17-08.csv,['John CHARTERIS (Con)'],['John CHARTERIS (Con)'],['John CHARTERIS (Con)']
8,dumgal17-ballots/AnnandaleEastandEskdale_dumgal17-12.csv,['Karen CARRUTHERS (Con)'],['Karen CARRUTHERS (Con)'],['Karen CARRUTHERS (Con)']
9,dumgal17-ballots/Abbey_dumgal17-05.csv,['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)']
10,dumgal17-ballots/MidandUpperNithsdale_dumgal17-07.csv,['Jim DEMPSTER (Lab)'],['Jim DEMPSTER (Lab)'],['Jim DEMPSTER (Lab)']
11,dumgal17-ballots/StranraerandtheRhins_dumgal17-01.csv,['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)']
12,"w-lothian17-ballots/Ward2-Broxburn,UphallandWinchburgh_w-lothian17-02.csv",['Diane CALDER (SNP)'],['Diane CALDER (SNP)'],['Diane CALDER (SNP)']
13,w-lothian17-ballots/Ward6-FauldhouseandtheBreichValley_w-lothian17-06.csv,['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)']
14,w-lothian17-ballots/Ward7-WhitburnandBlackburn_w-lothian17-07.csv,['George PAUL (Lab)'],['George PAUL (Lab)'],['George PAUL (Lab)']
15,w-lothian17-ballots/Ward4-LivingstonSouth_w-lothian17-04.csv,['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)']
16,w-lothian17-ballots/Ward1-Linlithgow_w-lothian17-01.csv,['Tom KERR (Con)'],['Tom KERR (Con)'],['Tom KERR (Con)']
17,w-lothian17-ballots/Ward8-Bathgate_w-lothian17-08.csv,['Harry CARTMILL (Lab)'],['Harry CARTMILL (Lab)'],['Harry CARTMILL (Lab)']
18,w-lothian17-ballots/Ward5-EastLivingstonandEastCalder_w-lothian17-05.csv,['Dave KING (Lab)'],['Dave KING (Lab)'],['Dave KING (Lab)']
19,w-lothian17-ballots/Ward9-ArmadaleandBlackridge_w-lothian17-09.csv,['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)']
20,w-lothian17-ballots/Ward3-LivingstonNorth_w-lothian17-03.csv,['Robert DE BOLD (SNP)'],['Robert DE BOLD (SNP)'],['Robert DE BOLD (SNP)']
21,glasgow12/Ward7Langside_glasgow12-07-recalc.csv,['Archie GRAHAM (Lab)'],['Archie GRAHAM (Lab)'],['Archie GRAHAM (Lab)']
22,glasgow12/Ward16Canal_glasgow12-16.csv,['Chris KELLY (Lab)'],['Chris KELLY (Lab)'],['Chris KELLY (Lab)']
23,glasgow12/Ward20Baillieston_glasgow12-20.csv,['James COLEMAN (Lab)'],['James COLEMAN (Lab)'],['James COLEMAN (Lab)']
24,glasgow12/Ward21NorthEast_glasgow12-21.csv,['Maureen BURKE (Lab)'],['Maureen BURKE (Lab)'],['Maureen BURKE (Lab)']
25,glasgow12/Ward17Springburn_glasgow12-17.csv,['Gilbert DAVIDSON (Lab)'],['Gilbert DAVIDSON (Lab)'],['Gilbert DAVIDSON (Lab)']
26,glasgow12/Ward9Calton_glasgow12-09.csv,['George REDMOND (Lab)'],['George REDMOND (Lab)'],['George REDMOND (Lab)']
27,glasgow12/Ward1Linn_glasgow12-01.csv,['Malcolm Robert CUNNING (Lab)'],['Malcolm Robert CUNNING (Lab)'],['Malcolm Robert CUNNING (Lab)']
28,glasgow12/Ward13Garscadden-Scotstounhill_glasgow12-13.csv,['Liz CAMERON (Lab)'],['Liz CAMERON (Lab)'],['Liz CAMERON (Lab)']
29,glasgow12/Ward15Maryhill-Kelvin_glasgow12-15.csv,['Martin RHODES (Lab)'],['Martin RHODES (Lab)'],['Martin RHODES (Lab)']
30,glasgow12/Ward2Newlands-Auldburn_glasgow12-02.csv,['Stephen CURRAN (Lab)'],['Stephen CURRAN (Lab)'],['Stephen CURRAN (Lab)']
31,glasgow12/Ward14Drumchapel-Anniesland_glasgow12-14.csv,['Paul CAREY (Lab)'],['Paul CAREY (Lab)'],['Paul CAREY (Lab)']
