,filename,elections_with_changes,country,percentage,method,IRV,approval,borda-avg,borda-om,borda-pm,bucklin,condorcet,minimax,plurality,ranked-pairs,smith,smith-minimax,smith_irv,smith_plurality,top-3-truncation,top-two
67,australia_mention_scores_0.7-mention,17,australia,0.7,mention,,,,17.0,,,,,,,,,,,,
61,civs_borda_scores_0.2-borda,22,civs,0.2,borda,,22.0,,,,,,,,,,,,,,
53,scotland_mention_scores_0.7-mention,25,scotland,0.7,mention,,,,,,,,,25.0,,,,,,,3.0
47,australia_borda_scores_0.7-borda,25,australia,0.7,borda,,,,25.0,,,,,,,,,,,,
3,australia_mention_scores_0.8-mention,41,australia,0.8,mention,,1.0,,40.0,,,,,,,,,,,,
33,australia_borda_scores_0.8-borda,46,australia,0.8,borda,,2.0,1.0,44.0,,,,,,,,,,,,
71,civs_borda_scores_0.3-borda,52,civs,0.3,borda,,52.0,,,,,,,,,,,,,,
4,scotland_borda_scores_0.8-borda,53,scotland,0.8,borda,,,,3.0,,,,,50.0,,,,,,,5.0
14,australia_mention_scores_0.9-mention,66,australia,0.9,mention,5.0,8.0,6.0,58.0,1.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0
29,australia_borda_scores_0.9-borda,75,australia,0.9,borda,2.0,9.0,11.0,66.0,,2.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,7.0,2.0
49,civs_borda_scores_0.4-borda,88,civs,0.4,borda,,88.0,,,,,,,,,,,,,,
20,scotland_mention_scores_0.8-mention,100,scotland,0.8,mention,9.0,,,,,,,,99.0,,,,,,2.0,21.0
55,civs_borda_scores_0.5-borda,163,civs,0.5,borda,,162.0,,,,,,,,,1.0,,,,,
12,scotland_borda_scores_0.9-borda,171,scotland,0.9,borda,13.0,1.0,,25.0,,5.0,,,147.0,,,,,,8.0,29.0
66,civs_mention_scores_0.1-mention,213,civs,0.1,mention,40.0,158.0,78.0,83.0,77.0,83.0,57.0,65.0,37.0,64.0,79.0,65.0,60.0,62.0,50.0,34.0
43,scotland_mention_scores_0.9-mention,233,scotland,0.9,mention,52.0,,14.0,48.0,10.0,1.0,22.0,24.0,209.0,24.0,27.0,24.0,22.0,24.0,62.0,71.0
30,civs_borda_scores_0.6-borda,283,civs,0.6,borda,,277.0,,,,,,,5.0,,2.0,,,,1.0,2.0
13,civs_mention_scores_0.2-mention,426,civs,0.2,mention,118.0,326.0,179.0,187.0,179.0,195.0,137.0,159.0,107.0,155.0,185.0,159.0,149.0,150.0,133.0,102.0
34,civs_borda_scores_0.7-borda,436,civs,0.7,borda,3.0,417.0,,,,,,,26.0,,5.0,,1.0,,2.0,9.0
5,civs_mention_scores_0.3-mention,621,civs,0.3,mention,215.0,492.0,278.0,288.0,279.0,304.0,218.0,256.0,204.0,248.0,284.0,256.0,248.0,249.0,230.0,195.0
46,civs_borda_scores_0.8-borda,711,civs,0.8,borda,31.0,632.0,,1.0,,7.0,1.0,1.0,105.0,1.0,24.0,1.0,2.0,1.0,4.0,62.0
42,civs_mention_scores_0.4-mention,814,civs,0.4,mention,341.0,630.0,409.0,420.0,409.0,443.0,337.0,390.0,315.0,380.0,423.0,390.0,378.0,380.0,360.0,319.0
21,civs_mention_scores_0.5-mention,962,civs,0.5,mention,446.0,739.0,500.0,518.0,505.0,545.0,430.0,492.0,439.0,481.0,527.0,492.0,479.0,483.0,468.0,432.0
57,civs_borda_scores_0.9-borda,1110,civs,0.9,borda,112.0,916.0,,9.0,,55.0,13.0,22.0,288.0,17.0,90.0,21.0,28.0,29.0,34.0,179.0
56,civs_mention_scores_0.6-mention,1147,civs,0.6,mention,590.0,885.0,611.0,630.0,619.0,650.0,542.0,614.0,593.0,605.0,653.0,614.0,608.0,614.0,589.0,575.0
48,civs_mention_scores_0.7-mention,1325,civs,0.7,mention,744.0,1044.0,741.0,761.0,751.0,779.0,669.0,763.0,759.0,745.0,801.0,763.0,752.0,760.0,732.0,738.0
36,civs_mention_scores_0.8-mention,1478,civs,0.8,mention,897.0,1203.0,880.0,895.0,882.0,905.0,793.0,902.0,919.0,884.0,936.0,902.0,891.0,896.0,878.0,890.0
28,civs_mention_scores_0.9-mention,1602,civs,0.9,mention,1042.0,1323.0,1024.0,1041.0,1030.0,1035.0,925.0,1046.0,1069.0,1032.0,1075.0,1046.0,1035.0,1040.0,1020.0,1038.0
