5 0
825 1 0
39 1 2 0
5 1 2 3 4 5 0
3 1 2 3 5 4 0
8 1 2 4 0
6 1 2 4 3 5 0
4 1 2 4 5 0
17 1 2 4 5 3 0
17 1 2 5 0
2 1 2 5 3 4 0
3 1 2 5 4 0
17 1 2 5 4 3 0
31 1 3 0
3 1 3 2 0
1 1 3 2 4 0
12 1 3 2 4 5 0
1 1 3 2 5 0
3 1 3 2 5 4 0
5 1 3 4 0
6 1 3 4 2 5 0
1 1 3 4 5 0
3 1 3 4 5 2 0
5 1 3 5 0
3 1 3 5 2 4 0
362 1 4 0
12 1 4 2 0
2 1 4 2 3 0
8 1 4 2 3 5 0
5 1 4 2 5 0
20 1 4 2 5 3 0
4 1 4 3 0
9 1 4 3 2 5 0
5 1 4 3 5 2 0
42 1 4 5 0
17 1 4 5 2 0
65 1 4 5 2 3 0
10 1 4 5 3 2 0
452 1 5 0
36 1 5 2 0
1 1 5 2 3 0
18 1 5 2 3 4 0
16 1 5 2 4 0
70 1 5 2 4 3 0
2 1 5 3 0
1 1 5 3 2 0
9 1 5 3 2 4 0
5 1 5 3 4 2 0
59 1 5 4 0
25 1 5 4 2 0
93 1 5 4 2 3 0
5 1 5 4 3 2 0
29 2 0
5 2 1 0
1 2 1 3 0
1 2 1 3 4 0
2 2 1 3 4 5 0
1 2 1 3 5 4 0
1 2 1 4 0
1 2 1 5 0
11 2 3 0
1 2 3 1 0
7 2 3 4 0
1 2 3 4 1 0
3 2 3 4 1 5 0
6 2 3 4 5 1 0
4 2 3 5 0
2 2 3 5 4 1 0
22 2 4 0
2 2 4 1 0
1 2 4 1 3 0
2 2 4 1 3 5 0
2 2 4 1 5 3 0
7 2 4 3 0
1 2 4 3 1 0
3 2 4 3 1 5 0
4 2 4 3 5 1 0
8 2 4 5 0
3 2 4 5 1 3 0
2 2 4 5 3 1 0
6 2 5 0
2 2 5 1 0
1 2 5 1 3 4 0
1 2 5 1 4 3 0
1 2 5 3 1 4 0
3 2 5 3 4 1 0
5 2 5 4 0
2 2 5 4 1 0
2 2 5 4 1 3 0
2 2 5 4 3 1 0
331 3 0
11 3 1 0
1 3 1 2 0
2 3 1 2 4 5 0
1 3 1 2 5 4 0
5 3 1 4 0
7 3 1 4 2 5 0
1 3 1 4 5 2 0
85 3 2 0
3 3 2 1 0
3 3 2 1 4 5 0
1 3 2 1 5 4 0
117 3 2 4 0
1 3 2 4 1 0
4 3 2 4 1 5 0
5 3 2 4 5 0
24 3 2 4 5 1 0
14 3 2 5 0
2 3 2 5 1 0
2 3 2 5 1 4 0
4 3 2 5 4 0
5 3 2 5 4 1 0
311 3 4 0
1 3 4 1 0
1 3 4 1 2 5 0
140 3 4 2 0
7 3 4 2 1 5 0
9 3 4 2 5 0
25 3 4 2 5 1 0
4 3 4 5 0
1 3 4 5 1 2 0
3 3 4 5 2 0
5 3 4 5 2 1 0
7 3 5 0
1 3 5 1 0
8 3 5 2 0
1 3 5 2 4 0
4 3 5 2 4 1 0
7 3 5 4 0
1 3 5 4 1 2 0
2 3 5 4 2 0
1 3 5 4 2 1 0
912 4 0
184 4 1 0
9 4 1 2 0
2 4 1 2 3 5 0
2 4 1 2 5 0
23 4 1 2 5 3 0
11 4 1 3 0
15 4 1 3 2 5 0
3 4 1 3 5 2 0
10 4 1 5 0
4 4 1 5 2 0
24 4 1 5 2 3 0
5 4 1 5 3 2 0
179 4 2 0
9 4 2 1 0
2 4 2 1 3 0
3 4 2 1 3 5 0
2 4 2 1 5 0
6 4 2 1 5 3 0
48 4 2 3 0
2 4 2 3 1 0
9 4 2 3 1 5 0
4 4 2 3 5 0
24 4 2 3 5 1 0
41 4 2 5 0
1 4 2 5 1 0
16 4 2 5 1 3 0
12 4 2 5 3 0
18 4 2 5 3 1 0
216 4 3 0
10 4 3 1 0
1 4 3 1 2 0
5 4 3 1 2 5 0
2 4 3 1 5 2 0
92 4 3 2 0
11 4 3 2 1 5 0
7 4 3 2 5 0
35 4 3 2 5 1 0
10 4 3 5 0
2 4 3 5 2 0
3 4 3 5 2 1 0
118 4 5 0
24 4 5 1 0
2 4 5 1 2 0
10 4 5 1 2 3 0
3 4 5 1 3 2 0
26 4 5 2 0
2 4 5 2 1 0
16 4 5 2 1 3 0
3 4 5 2 3 0
21 4 5 2 3 1 0
5 4 5 3 0
4 4 5 3 2 1 0
12 5 0
50 5 1 0
2 5 1 2 0
1 5 1 2 3 4 0
2 5 1 2 4 0
7 5 1 2 4 3 0
2 5 1 3 0
1 5 1 3 4 2 0
19 5 1 4 0
5 5 1 4 2 0
13 5 1 4 2 3 0
3 5 1 4 3 2 0
14 5 2 0
4 5 2 1 0
2 5 2 1 3 4 0
1 5 2 1 4 0
3 5 2 1 4 3 0
1 5 2 3 0
3 5 2 3 4 1 0
4 5 2 4 0
1 5 2 4 1 0
3 5 2 4 1 3 0
3 5 2 4 3 1 0
2 5 3 0
1 5 3 1 0
3 5 3 1 4 2 0
26 5 4 0
16 5 4 1 0
2 5 4 1 2 0
5 5 4 1 2 3 0
1 5 4 1 3 2 0
7 5 4 2 0
2 5 4 2 1 3 0
1 5 4 2 3 0
5 5 4 2 3 1 0
1 5 4 3 0
1 5 4 3 2 1 0
0
SNP
LD
Con
Labour and Co-operative Party
Grn
