file,candidate_removed,plurality,IRV,condorcet,minimax,smith,smith-minimax,ranked-pairs
civs/processed_data/e4119ed4da.csv,none,1.0,2.0,2.0,2.0,2.0,2.0,2.0
civs/processed_data/e4119ed4da.csv,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
civs/processed_data/e4119ed4da.csv,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
civs/processed_data/e4119ed4da.csv,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
civs/processed_data/e4119ed4da.csv,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
civs/processed_data/e4119ed4da.csv,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
civs/processed_data/fe8e8df1f6.csv,none,1.0,1.0,1.0,1.0,1.0,1.0,1.0
civs/processed_data/fe8e8df1f6.csv,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
civs/processed_data/fe8e8df1f6.csv,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
civs/processed_data/fe8e8df1f6.csv,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
civs/processed_data/fe8e8df1f6.csv,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
civs/processed_data/d277605e04.csv,none,1.0,1.0,4.0,4.0,4.0,4.0,4.0
civs/processed_data/d277605e04.csv,1.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0
civs/processed_data/d277605e04.csv,2.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0
civs/processed_data/d277605e04.csv,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0
civs/processed_data/d277605e04.csv,4.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0
civs/processed_data/d277605e04.csv,5.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0
civs/processed_data/79713f1df3.csv,none,5.0,5.0,3.0,3.0,3.0,3.0,3.0
civs/processed_data/79713f1df3.csv,1.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0
civs/processed_data/79713f1df3.csv,2.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0
civs/processed_data/79713f1df3.csv,3.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0
civs/processed_data/79713f1df3.csv,4.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0
civs/processed_data/79713f1df3.csv,5.0,1.0,5.0,3.0,3.0,3.0,3.0,3.0
civs/processed_data/36b42b323d.csv,none,2.0,2.0,2.0,2.0,2.0,2.0,2.0
