file,candidate_removed,plurality,IRV,top-two,borda-pm,top-3-truncation,condorcet,minimax,smith,smith-minimax,ranked-pairs
american/St Louis Park/StLouisPark_11022021_CityCouncilWard2.csv,writein,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag,John Basill,John Basill,John Basill,John Basill,John Basill
american/St Louis Park/StLouisPark_11022021_CityCouncilWard1.csv,none,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog
american/St Louis Park/StLouisPark_11022021_CityCouncilWard1.csv,Margaret Rog,writein,writein,unknown,writein,writein,writein,writein,writein,writein,writein
american/St Louis Park/StLouisPark_11022021_CityCouncilWard1.csv,writein,Margaret Rog,Margaret Rog,unknown,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog
american/St Louis Park/StLouisPark_11022021_CityCouncilWard4.csv,none,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen
american/St Louis Park/StLouisPark_11022021_CityCouncilWard4.csv,writein,Tim Brausen,Tim Brausen,unknown,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen
american/St Louis Park/StLouisPark_11022021_CityCouncilWard4.csv,Tim Brausen,writein,writein,unknown,writein,writein,writein,writein,writein,writein,writein
american/Alaska/Alaska_11082022_HouseDistrict23.csv,none,"Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie"
american/Alaska/Alaska_11082022_HouseDistrict23.csv,"Allard, Jamie","Branson, Roger L.","Branson, Roger L.",unknown,"Branson, Roger L.","Branson, Roger L.","Branson, Roger L.","Branson, Roger L.","Branson, Roger L.","Branson, Roger L.","Branson, Roger L."
american/Alaska/Alaska_11082022_HouseDistrict23.csv,"Branson, Roger L.","Allard, Jamie","Allard, Jamie",unknown,"Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie"
