file,candidate_removed,plurality,IRV,top-two,borda-pm,top-3-truncation,condorcet,minimax,smith,smith-minimax,ranked-pairs
scotland/processed_data/glasgow12/Ward13Garscadden-Scotstounhill_glasgow12-13.csv,none,Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP)
scotland/processed_data/glasgow12/Ward13Garscadden-Scotstounhill_glasgow12-13.csv,Graeme Andrew HENDRY (SNP),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Paul ROONEY (Lab),Paul ROONEY (Lab),Paul ROONEY (Lab),Paul ROONEY (Lab),Paul ROONEY (Lab)
scotland/processed_data/glasgow12/Ward13Garscadden-Scotstounhill_glasgow12-13.csv,Donald T WILSON (SNP),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP)
scotland/processed_data/glasgow12/Ward13Garscadden-Scotstounhill_glasgow12-13.csv,Paul ROONEY (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP)
scotland/processed_data/glasgow12/Ward13Garscadden-Scotstounhill_glasgow12-13.csv,Phil JARVIS (Ind),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP)
scotland/processed_data/glasgow12/Ward13Garscadden-Scotstounhill_glasgow12-13.csv,Mark MUIR (Glasgow First),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP)
scotland/processed_data/glasgow12/Ward13Garscadden-Scotstounhill_glasgow12-13.csv,Ryan STUART (TUSC),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP)
scotland/processed_data/glasgow12/Ward13Garscadden-Scotstounhill_glasgow12-13.csv,Iain CUMMING (UKIP),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP)
scotland/processed_data/glasgow12/Ward13Garscadden-Scotstounhill_glasgow12-13.csv,James Douglas SPEIRS (LD),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP)
scotland/processed_data/glasgow12/Ward13Garscadden-Scotstounhill_glasgow12-13.csv,Susan Marion MCCOURT (Con),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Liz CAMERON (Lab),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP),Graeme Andrew HENDRY (SNP)
