rank1,rank2,rank3,numSeats,numCands
Sophie Maxwell,skipped,skipped,1,7
Espanola Jackson,skipped,skipped,1,7
Sophie Maxwell,Marie L. Harrison,Dwayne Jusino,1,7
Espanola Jackson,skipped,skipped,1,7
Sophie Maxwell,skipped,skipped,1,7
Sophie Maxwell,skipped,skipped,1,7
Charlie Walker,Rodney Hampton Jr.,Espanola Jackson,1,7
Marie L. Harrison,Sala Chandler,Dwayne Jusino,1,7
Rodney Hampton Jr.,skipped,skipped,1,7
Sophie Maxwell,skipped,skipped,1,7
Sophie Maxwell,skipped,skipped,1,7
Sophie Maxwell,Rodney Hampton Jr.,skipped,1,7
Sophie Maxwell,Marie L. Harrison,Charlie Walker,1,7
Dwayne Jusino,Sophie Maxwell,skipped,1,7
Espanola Jackson,skipped,skipped,1,7
Sophie Maxwell,skipped,skipped,1,7
Rodney Hampton Jr.,skipped,skipped,1,7
Sala Chandler,Dwayne Jusino,Marie L. Harrison,1,7
Dwayne Jusino,Espanola Jackson,skipped,1,7
Sala Chandler,Marie L. Harrison,skipped,1,7
Dwayne Jusino,Sophie Maxwell,Rodney Hampton Jr.,1,7
Charlie Walker,Sophie Maxwell,skipped,1,7
Sophie Maxwell,skipped,skipped,1,7
Espanola Jackson,Sophie Maxwell,Charlie Walker,1,7
Espanola Jackson,Sophie Maxwell,skipped,1,7
Dwayne Jusino,skipped,skipped,1,7
Sophie Maxwell,skipped,skipped,1,7
Sophie Maxwell,Espanola Jackson,skipped,1,7
Sophie Maxwell,skipped,skipped,1,7
Sophie Maxwell,skipped,skipped,1,7
Rodney Hampton Jr.,Charlie Walker,Sophie Maxwell,1,7
Sophie Maxwell,Rodney Hampton Jr.,Sala Chandler,1,7
Espanola Jackson,Rodney Hampton Jr.,skipped,1,7
Sophie Maxwell,skipped,skipped,1,7
Sophie Maxwell,skipped,skipped,1,7
Sophie Maxwell,skipped,skipped,1,7
Sophie Maxwell,skipped,skipped,1,7
Sophie Maxwell,skipped,skipped,1,7
Sophie Maxwell,skipped,skipped,1,7
Sophie Maxwell,skipped,skipped,1,7
Rodney Hampton Jr.,Espanola Jackson,skipped,1,7
Sophie Maxwell,skipped,skipped,1,7
Sophie Maxwell,skipped,skipped,1,7
Rodney Hampton Jr.,Marie L. Harrison,skipped,1,7
Sophie Maxwell,skipped,skipped,1,7
Sophie Maxwell,Dwayne Jusino,Rodney Hampton Jr.,1,7
Espanola Jackson,Charlie Walker,Sophie Maxwell,1,7
Espanola Jackson,Charlie Walker,Sophie Maxwell,1,7
Sophie Maxwell,skipped,skipped,1,7
Dwayne Jusino,Marie L. Harrison,Espanola Jackson,1,7
Rodney Hampton Jr.,Espanola Jackson,skipped,1,7
Sophie Maxwell,Espanola Jackson,Marie L. Harrison,1,7
Sala Chandler,Dwayne Jusino,Espanola Jackson,1,7
Sophie Maxwell,skipped,skipped,1,7
Sophie Maxwell,Rodney Hampton Jr.,Dwayne Jusino,1,7
Sophie Maxwell,Dwayne Jusino,Rodney Hampton Jr.,1,7
Espanola Jackson,skipped,skipped,1,7
Sophie Maxwell,skipped,skipped,1,7
Espanola Jackson,Charlie Walker,Dwayne Jusino,1,7
Sophie Maxwell,Dwayne Jusino,Espanola Jackson,1,7
Sophie Maxwell,skipped,skipped,1,7
Sophie Maxwell,Rodney Hampton Jr.,Dwayne Jusino,1,7
Dwayne Jusino,skipped,skipped,1,7
Rodney Hampton Jr.,skipped,skipped,1,7
Rodney Hampton Jr.,skipped,skipped,1,7
Sophie Maxwell,skipped,skipped,1,7
Sophie Maxwell,skipped,skipped,1,7
Sophie Maxwell,Marie L. Harrison,Sala Chandler,1,7
Sala Chandler,Rodney Hampton Jr.,Sophie Maxwell,1,7
Marie L. Harrison,Espanola Jackson,skipped,1,7
Sala Chandler,Dwayne Jusino,Rodney Hampton Jr.,1,7
Dwayne Jusino,Espanola Jackson,Sophie Maxwell,1,7
Dwayne Jusino,Marie L. Harrison,Rodney Hampton Jr.,1,7
Sophie Maxwell,skipped,skipped,1,7
Dwayne Jusino,skipped,skipped,1,7
Dwayne Jusino,skipped,skipped,1,7
Sophie Maxwell,Charlie Walker,Dwayne Jusino,1,7
Dwayne Jusino,skipped,skipped,1,7
Sala Chandler,Rodney Hampton Jr.,Sophie Maxwell,1,7
Espanola Jackson,Dwayne Jusino,Rodney Hampton Jr.,1,7
Rodney Hampton Jr.,skipped,skipped,1,7
Dwayne Jusino,skipped,skipped,1,7
Marie L. Harrison,Sophie Maxwell,Dwayne Jusino,1,7
Dwayne Jusino,Espanola Jackson,Sophie Maxwell,1,7
