,file,smith_plurality,smith_irv,smith-minimax,smith,0.1_smith_irv_hit_percent,0.1_smith_plurality_hit_percent,0.1_smith_minimax_hit_percent
0,Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Brighton with candidates.csv,['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],0,0,0
1,Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Northcote with candidates.csv,['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],0,0,0
2,Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Hawthorn with candidates.csv,['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],0,0,0
3,Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Preston with Candidates.csv,['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],0,0,0
4,Australia_NewSouthWales_Mayorals_2021/Ballina-mayoral-finalpreferencedatafile (1).csv,['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],0,0,0
5,Australia_NewSouthWales_Mayorals_2021/The_Hills_Shire-mayoral-finalpreferencedatafile.csv,['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],0,0,0
6,Australia_NewSouthWales_Mayorals_2021/Nambucca_Valley-mayoral-finalpreferencedatafile.csv,['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],0,0,0
7,Australia_NewSouthWales_Mayorals_2021/City_of_Sydney-mayoral-finalpreferencedatafile.csv,['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],0,0,0
8,Australia_NewSouthWales_Mayorals_2021/City_of_Coffs_Harbour-mayoral-finalpreferencedatafile.csv,['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],0,0,0
9,Australia_NewSouthWales_Mayorals_2021/City_of_Lismore-mayoral-finalpreferencedatafile.csv,['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],0,0,0
10,Australia_NewSouthWales_Mayorals_2021/Eurobodalla-mayoral-finalpreferencedatafile.csv,['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],['HATCHER Mat'],0,0,0
11,Australia_NewSouthWales_Mayorals_2021/City_of_Shellharbour-mayoral-finalpreferencedatafile.csv,['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],['HOMER Chris'],0,0,0
12,Australia_NewSouthWales_Mayorals_2021/Singleton-mayoral-finalpreferencedatafile.csv,['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],['MOORE Sue'],0,0,0
13,Australia_NewSouthWales_Mayorals_2021/Uralla-mayoral-finalpreferencedatafile.csv,['BELL Robert'],['BELL Robert'],['BELL Robert'],['BELL Robert'],0,0,0
14,Australia_NewSouthWales_Mayorals_2021/City_of_Shoalhaven-mayoral-finalpreferencedatafile.csv,['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],['FINDLEY Amanda'],0,0,0
15,Australia_NewSouthWales_Mayorals_2021/Port_Macquarie-Hastings-mayoral-finalpreferencedatafile.csv,['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],['PINSON Peta'],0,0,0
16,Australia_NewSouthWales_Mayorals_2021/Richmond_Valley-mayoral-finalpreferencedatafile.csv,['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],['MUSTOW Robert'],0,0,0
17,Australia_NewSouthWales_Mayorals_2021/City_of_Lake_Macquarie-mayoral-finalpreferencedatafile.csv,['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],['FRASER Kay'],0,0,0
18,Australia_NewSouthWales_Mayorals_2021/Port_Stephens-mayoral-finalpreferencedatafile.csv,['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],['PALMER Ryan'],0,0,0
19,Australia_NewSouthWales_Mayorals_2021/Wollondilly-mayoral-finalpreferencedatafile.csv,['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],['GOULD Matt'],0,0,0
20,Australia_NewSouthWales_Mayorals_2021/City_of_Griffith-mayoral-finalpreferencedatafile.csv,['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],['CURRAN Doug'],0,0,0
21,Australia_NewSouthWales_Mayorals_2021/Hunters_Hill-mayoral-finalpreferencedatafile.csv,['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],['QUINN Richard'],0,0,0
22,Australia_NewSouthWales_Mayorals_2021/City_of_Cessnock-mayoral-finalpreferencedatafile.csv,['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],['SUVAAL Jay'],0,0,0
23,Australia_NewSouthWales_Mayorals_2021/City_of_Newcastle-mayoral-finalpreferencedatafile.csv,['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],['NELMES Nuatali'],0,0,0
24,Australia_NewSouthWales_Mayorals_2021/City_of_Willoughby-mayoral-finalpreferencedatafile.csv,['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],['TAYLOR Tanya'],0,0,0
25,Australia_NewSouthWales_Mayorals_2021/City_of_Maitland-mayoral-finalpreferencedatafile.csv,['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],['PENFOLD Philip'],0,0,0
26,Australia_NewSouthWales_Mayorals_2021/City_of_Broken_Hill-mayoral-finalpreferencedatafile.csv,['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],['KENNEDY Tom'],0,0,0
27,Australia_NewSouthWales_Mayorals_2021/Bellingen-mayoral-finalpreferencedatafile (1).csv,['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],['ALLAN Steve'],0,0,0
