ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,numSeats,numCands
00012_00001_000001,Ballot Type 5 - VBM,Vote by Mail,VISITACION VALLEY,NEIGHBORHOOD,PCT 7048,PCT 7048,City Hall Vote Center,BRIAN SAM ADAM,skipped,skipped,1,2
00002_00537_000043,Ballot Type 5 - VBM,Vote by Mail,VISITACION VALLEY,NEIGHBORHOOD,PCT 7048,PCT 7048,City Hall Vote Center,SHAMANN WALTON,BRIAN SAM ADAM,skipped,1,2
00024_00351_000020,Ballot Type 4 - VBM,Vote by Mail,POTRERO HILL,NEIGHBORHOOD,PCT 7012,PCT 7012,City Hall Vote Center,SHAMANN WALTON,skipped,skipped,1,2
00024_00351_000030,Ballot Type 4 - VBM,Vote by Mail,POTRERO HILL,NEIGHBORHOOD,PCT 7005,PCT 7005,City Hall Vote Center,SHAMANN WALTON,skipped,skipped,1,2
00024_00352_000054,Ballot Type 4 - VBM,Vote by Mail,POTRERO HILL,NEIGHBORHOOD,PCT 7012,PCT 7012,City Hall Vote Center,SHAMANN WALTON,skipped,skipped,1,2
00026_01087_000066,Ballot Type 4 - VBM,Vote by Mail,POTRERO HILL,NEIGHBORHOOD,PCT 7009,PCT 7009,City Hall Vote Center,BRIAN SAM ADAM,SHAMANN WALTON,skipped,1,2
00026_01087_000029,Ballot Type 4 - VBM,Vote by Mail,POTRERO HILL,NEIGHBORHOOD,PCT 7006,PCT 7006,City Hall Vote Center,SHAMANN WALTON,skipped,skipped,1,2
00026_01087_000080,Ballot Type 4 - VBM,Vote by Mail,POTRERO HILL,NEIGHBORHOOD,PCT 7006,PCT 7006,City Hall Vote Center,BRIAN SAM ADAM,SHAMANN WALTON,skipped,1,2
00028_00836_000069,Ballot Type 4 - VBM,Vote by Mail,POTRERO HILL,NEIGHBORHOOD,PCT 7008,PCT 7008,City Hall Vote Center,BRIAN SAM ADAM,skipped,skipped,1,2
00032_00826_000067,Ballot Type 4 - VBM,Vote by Mail,BAYVIEW HUNTERS POINT,NEIGHBORHOOD,PCT 7028,PCT 7028,City Hall Vote Center,SHAMANN WALTON,skipped,skipped,1,2
00012_01021_000023,Ballot Type 4 - VBM,Vote by Mail,BAYVIEW HUNTERS POINT,NEIGHBORHOOD,PCT 7026,PCT 7026,City Hall Vote Center,SHAMANN WALTON,BRIAN SAM ADAM,skipped,1,2
00014_00038_000071,Ballot Type 4 - VBM,Vote by Mail,BAYVIEW HUNTERS POINT,NEIGHBORHOOD,PCT 7034,PCT 7034,City Hall Vote Center,SHAMANN WALTON,skipped,skipped,1,2
00014_00038_000065,Ballot Type 4 - VBM,Vote by Mail,BAYVIEW HUNTERS POINT,NEIGHBORHOOD,PCT 7019,PCT 7019,City Hall Vote Center,SHAMANN WALTON,skipped,skipped,1,2
00014_00038_000025,Ballot Type 5 - VBM,Vote by Mail,BAYVIEW HUNTERS POINT,NEIGHBORHOOD,PCT 7052,PCT 7052,City Hall Vote Center,SHAMANN WALTON,BRIAN SAM ADAM,skipped,1,2
00014_00038_000076,Ballot Type 4 - VBM,Vote by Mail,BAYVIEW HUNTERS POINT,NEIGHBORHOOD,PCT 7024,PCT 7024,City Hall Vote Center,BRIAN SAM ADAM,SHAMANN WALTON,skipped,1,2
00016_00275_000027,Ballot Type 4 - VBM,Vote by Mail,BAYVIEW HUNTERS POINT,NEIGHBORHOOD,PCT 7021,PCT 7021,City Hall Vote Center,SHAMANN WALTON,skipped,skipped,1,2
00016_00275_000008,Ballot Type 4 - VBM,Vote by Mail,BAYVIEW HUNTERS POINT,NEIGHBORHOOD,PCT 7025,PCT 7025,City Hall Vote Center,SHAMANN WALTON,skipped,skipped,1,2
00002_00538_000027,Ballot Type 4 - VBM,Vote by Mail,POTRERO HILL,NEIGHBORHOOD,PCT 7009,PCT 7009,City Hall Vote Center,SHAMANN WALTON,BRIAN SAM ADAM,skipped,1,2
00002_00538_000086,Ballot Type 4 - VBM,Vote by Mail,BAYVIEW HUNTERS POINT,NEIGHBORHOOD,PCT 7021,PCT 7021,City Hall Vote Center,SHAMANN WALTON,skipped,skipped,1,2
00016_00276_000001,Ballot Type 4 - VBM,Vote by Mail,BAYVIEW HUNTERS POINT,NEIGHBORHOOD,PCT 7019,PCT 7019,City Hall Vote Center,SHAMANN WALTON,skipped,skipped,1,2
00016_00276_000008,Ballot Type 5 - VBM,Vote by Mail,VISITACION VALLEY,NEIGHBORHOOD,PCT 7046,PCT 7046,City Hall Vote Center,SHAMANN WALTON,BRIAN SAM ADAM,skipped,1,2
