Ballot Style,Cast Vote Record,Precinct,rank1,rank2,rank3,numSeats,numCands
ST LOUIS PARK W-4 P-13 ISD 270,22159,ST LOUIS PARK W-4 P-13,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-13 ISD 270,22160,ST LOUIS PARK W-4 P-13,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-13 ISD 270,22161,ST LOUIS PARK W-4 P-13,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-13 ISD 283,22162,ST LOUIS PARK W-4 P-13,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-13 ISD 283,22163,ST LOUIS PARK W-4 P-13,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-13 ISD 270,22164,ST LOUIS PARK W-4 P-13,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-13 ISD 270,22165,ST LOUIS PARK W-4 P-13,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-13 ISD 283,22166,ST LOUIS PARK W-4 P-13,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-13 ISD 270,22167,ST LOUIS PARK W-4 P-13,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-13 ISD 270,22168,ST LOUIS PARK W-4 P-13,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-13 ISD 270,22169,ST LOUIS PARK W-4 P-13,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22170,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22171,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22172,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22173,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22174,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22175,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22176,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22177,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22178,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22179,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22180,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22181,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22182,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22183,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22184,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22185,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22186,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22187,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22188,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22189,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22190,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22191,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22192,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22193,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22194,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22195,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22196,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22197,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,22198,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,22199,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,22200,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,22201,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,22202,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-15,22203,ST LOUIS PARK W-4 P-15,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,22205,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,22206,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,22207,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,22208,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,22209,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,22210,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,22211,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,22212,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-14,22222,ST LOUIS PARK W-4 P-14,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-13 ISD 270,22223,ST LOUIS PARK W-4 P-13,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151652,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151653,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151654,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151655,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151657,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151658,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151659,ST LOUIS PARK W-4 P-16,writein,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151660,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151661,ST LOUIS PARK W-4 P-16,writein,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151662,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151663,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151664,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151665,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151666,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151667,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151668,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151669,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151670,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151671,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151672,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151673,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151674,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151675,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151676,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151677,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151678,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151680,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151681,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151682,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151683,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151684,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151685,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151686,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151687,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151688,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151689,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151690,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151691,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151692,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151693,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151694,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151695,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151696,ST LOUIS PARK W-4 P-16,writein,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151697,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151698,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151699,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151700,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151701,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151702,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151703,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151704,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151705,ST LOUIS PARK W-4 P-16,Tim Brausen,writein,skipped,1,2
ST LOUIS PARK W-4 P-16,151706,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151707,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151708,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151709,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151710,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151711,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151712,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151713,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151714,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151715,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151716,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151717,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151718,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151719,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151720,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151721,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151722,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
ST LOUIS PARK W-4 P-16,151723,ST LOUIS PARK W-4 P-16,Tim Brausen,skipped,skipped,1,2
