Ballot Style,Cast Vote Record,Precinct,rank1,rank2,rank3,numSeats,numCands
ST LOUIS PARK W-1 P-01,21809,ST LOUIS PARK W-1 P-01,writein,skipped,skipped,1,2
ST LOUIS PARK W-1 P-01,21810,ST LOUIS PARK W-1 P-01,Margaret Rog,skipped,skipped,1,2
ST LOUIS PARK W-1 P-01,21811,ST LOUIS PARK W-1 P-01,Margaret Rog,skipped,skipped,1,2
ST LOUIS PARK W-1 P-01,21812,ST LOUIS PARK W-1 P-01,writein,skipped,skipped,1,2
ST LOUIS PARK W-1 P-01,21813,ST LOUIS PARK W-1 P-01,Margaret Rog,skipped,skipped,1,2
ST LOUIS PARK W-1 P-01,21814,ST LOUIS PARK W-1 P-01,Margaret Rog,skipped,skipped,1,2
ST LOUIS PARK W-1 P-01,21815,ST LOUIS PARK W-1 P-01,writein,skipped,skipped,1,2
ST LOUIS PARK W-1 P-01,21816,ST LOUIS PARK W-1 P-01,Margaret Rog,skipped,skipped,1,2
ST LOUIS PARK W-1 P-01,21817,ST LOUIS PARK W-1 P-01,Margaret Rog,skipped,skipped,1,2
ST LOUIS PARK W-1 P-01,21818,ST LOUIS PARK W-1 P-01,Margaret Rog,skipped,skipped,1,2
ST LOUIS PARK W-1 P-01,21819,ST LOUIS PARK W-1 P-01,Margaret Rog,skipped,skipped,1,2
ST LOUIS PARK W-1 P-01,21820,ST LOUIS PARK W-1 P-01,Margaret Rog,skipped,skipped,1,2
ST LOUIS PARK W-1 P-01,21821,ST LOUIS PARK W-1 P-01,Margaret Rog,skipped,skipped,1,2
ST LOUIS PARK W-1 P-01,21822,ST LOUIS PARK W-1 P-01,Margaret Rog,skipped,skipped,1,2
ST LOUIS PARK W-1 P-01,21823,ST LOUIS PARK W-1 P-01,Margaret Rog,skipped,skipped,1,2
ST LOUIS PARK W-1 P-01,21824,ST LOUIS PARK W-1 P-01,Margaret Rog,skipped,skipped,1,2
ST LOUIS PARK W-1 P-01,21825,ST LOUIS PARK W-1 P-01,Margaret Rog,skipped,skipped,1,2
ST LOUIS PARK W-1 P-01,21826,ST LOUIS PARK W-1 P-01,Margaret Rog,skipped,skipped,1,2
