voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
31,NEIL CAMERON Scottish National Party (SNP),James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,skipped,skipped,skipped,4
32,NEIL CAMERON Scottish National Party (SNP),James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,skipped,skipped,skipped,4
33,James ALLAN Scottish Conservative and Unionist,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),Bridget MUSTARD Scottish Conservative and Unionist,Andrew O'NEILL Scottish Labour Party,CALUM CAMERON Scottish Liberal Democrats,4
34,NEIL CAMERON Scottish National Party (SNP),CALUM CAMERON Scottish Liberal Democrats,Andrew O'NEILL Scottish Labour Party,James ALLAN Scottish Conservative and Unionist,skipped,skipped,4
35,Andrew O'NEILL Scottish Labour Party,CALUM CAMERON Scottish Liberal Democrats,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,4
36,Andrew O'NEILL Scottish Labour Party,CALUM CAMERON Scottish Liberal Democrats,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,4
37,Andrew O'NEILL Scottish Labour Party,CALUM CAMERON Scottish Liberal Democrats,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,4
38,Andrew O'NEILL Scottish Labour Party,CALUM CAMERON Scottish Liberal Democrats,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,4
39,Andrew O'NEILL Scottish Labour Party,CALUM CAMERON Scottish Liberal Democrats,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,4
40,Andrew O'NEILL Scottish Labour Party,CALUM CAMERON Scottish Liberal Democrats,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,4
41,Andrew O'NEILL Scottish Labour Party,CALUM CAMERON Scottish Liberal Democrats,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,4
42,Andrew O'NEILL Scottish Labour Party,CALUM CAMERON Scottish Liberal Democrats,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,4
43,Andrew O'NEILL Scottish Labour Party,CALUM CAMERON Scottish Liberal Democrats,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,4
44,Andrew O'NEILL Scottish Labour Party,CALUM CAMERON Scottish Liberal Democrats,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,4
45,Andrew O'NEILL Scottish Labour Party,CALUM CAMERON Scottish Liberal Democrats,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,4
46,Andrew O'NEILL Scottish Labour Party,CALUM CAMERON Scottish Liberal Democrats,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,4
47,Andrew O'NEILL Scottish Labour Party,CALUM CAMERON Scottish Liberal Democrats,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,4
48,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
49,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
50,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
51,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
52,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
53,John COWE Independent,NEIL CAMERON Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
