voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,num_positions
1119,Marc BOZZA Independent,Rhys STENHOUSE Scottish Green Party,Robert SPEARS Independent,skipped,skipped,skipped,skipped,skipped,3
1120,Alan NIMMO Scottish Labour Party,Robert SPEARS Independent,Mandy BRYSON Scottish Conservative and Unionist,Marc BOZZA Independent,Rhys STENHOUSE Scottish Green Party,Stuart MARTIN UKIP,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),3
1121,Alan NIMMO Scottish Labour Party,Mandy BRYSON Scottish Conservative and Unionist,Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
1122,Alan NIMMO Scottish Labour Party,Mandy BRYSON Scottish Conservative and Unionist,Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
1123,Alan NIMMO Scottish Labour Party,Mandy BRYSON Scottish Conservative and Unionist,Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
1124,Alan NIMMO Scottish Labour Party,Mandy BRYSON Scottish Conservative and Unionist,Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
1125,Alan NIMMO Scottish Labour Party,Mandy BRYSON Scottish Conservative and Unionist,Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
1126,Alan NIMMO Scottish Labour Party,Mandy BRYSON Scottish Conservative and Unionist,Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
1127,Alan NIMMO Scottish Labour Party,Mandy BRYSON Scottish Conservative and Unionist,Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
1128,Alan NIMMO Scottish Labour Party,Mandy BRYSON Scottish Conservative and Unionist,Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
1129,Alan NIMMO Scottish Labour Party,Mandy BRYSON Scottish Conservative and Unionist,Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
1130,Alan NIMMO Scottish Labour Party,Mandy BRYSON Scottish Conservative and Unionist,Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
1131,Alan NIMMO Scottish Labour Party,Mandy BRYSON Scottish Conservative and Unionist,Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
1132,Alan NIMMO Scottish Labour Party,Mandy BRYSON Scottish Conservative and Unionist,Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
1133,Alan NIMMO Scottish Labour Party,Rhys STENHOUSE Scottish Green Party,Mandy BRYSON Scottish Conservative and Unionist,Marc BOZZA Independent,Stuart MARTIN UKIP,Robert SPEARS Independent,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),3
1134,Marc BOZZA Independent,Mandy BRYSON Scottish Conservative and Unionist,Stuart MARTIN UKIP,skipped,skipped,skipped,skipped,skipped,3
