Precinct,Ballot Style,source_file,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
AD: 70 ED: 007,DEM ABS Ballot Style 46,2021P1V1_ABS,Bill Perkins,William A. Allen,Bernadette McNear,skipped,skipped,1,14
AD: 70 ED: 007,DEM ABS Ballot Style 46,2021P1V1_ABS,Bill Perkins,Keith Taylor,Athena Moore,Billy Council,skipped,1,14
AD: 70 ED: 007,DEM ABS Ballot Style 46,2021P1V1_ABS,Pierre A. Gooding,Keith Taylor,Cordell Cleare,Athena Moore,Kristin Richardson Jordan,1,14
AD: 70 ED: 007,DEM ABS Ballot Style 46,2021P1V1_ABS,Athena Moore,Kristin Richardson Jordan,Bernadette McNear,Sheba T. Simpson-Amsterdam,Ruth L. McDaniels,1,14
AD: 70 ED: 007,DEM ABS Ballot Style 46,2021P1V1_ABS,Joshua Albert Clennon,Sheba T. Simpson-Amsterdam,Mario Rosser,Athena Moore,Ruth L. McDaniels,1,14
AD: 70 ED: 007,DEM ABS Ballot Style 46,2021P1V1_ABS,writein,Cordell Cleare,Bernadette McNear,Mario Rosser,Keith Taylor,1,14
AD: 70 ED: 007,DEM ABS Ballot Style 46,2021P1V1_ABS,Kristin Richardson Jordan,skipped,skipped,skipped,skipped,1,14
AD: 70 ED: 007,DEM ABS Ballot Style 46,2021P1V1_ABS,William A. Allen,Bill Perkins,skipped,skipped,skipped,1,14
AD: 70 ED: 007,DEM ABS Ballot Style 46,2021P1V1_ABS,Kristin Richardson Jordan,Cordell Cleare,Athena Moore,Sheba T. Simpson-Amsterdam,Ruth L. McDaniels,1,14
AD: 70 ED: 007,DEM ABS Ballot Style 46,2021P1V1_ABS,Kristin Richardson Jordan,skipped,skipped,skipped,skipped,1,14
AD: 70 ED: 007,DEM ABS Ballot Style 46,2021P1V1_ABS,Kristin Richardson Jordan,Mario Rosser,skipped,skipped,skipped,1,14
AD: 70 ED: 007,DEM ABS Ballot Style 46,2021P1V1_ABS,Pierre A. Gooding,Ruth L. McDaniels,Kristin Richardson Jordan,Keith Taylor,Bill Perkins,1,14
AD: 70 ED: 007,DEM ABS Ballot Style 46,2021P1V1_ABS,Keith Taylor,Pierre A. Gooding,Mario Rosser,Billy Council,Joshua Albert Clennon,1,14
AD: 70 ED: 012,DEM ABS Ballot Style 46,2021P1V1_ABS,Bill Perkins,Mario Rosser,Keith Taylor,Billy Council,Kristin Richardson Jordan,1,14
AD: 70 ED: 012,DEM ABS Ballot Style 46,2021P1V1_ABS,Bill Perkins,Mario Rosser,Keith Taylor,Billy Council,Kristin Richardson Jordan,1,14
AD: 70 ED: 012,DEM ABS Ballot Style 46,2021P1V1_ABS,Keith Taylor,Ruth L. McDaniels,Bernadette McNear,William A. Allen,Athena Moore,1,14
AD: 70 ED: 012,DEM ABS Ballot Style 46,2021P1V1_ABS,Kristin Richardson Jordan,Mario Rosser,Sheba T. Simpson-Amsterdam,Keith Taylor,Joshua Albert Clennon,1,14
AD: 70 ED: 012,DEM ABS Ballot Style 46,2021P1V1_ABS,Keith Taylor,Mario Rosser,skipped,skipped,skipped,1,14
AD: 70 ED: 012,DEM ABS Ballot Style 46,2021P1V1_ABS,Sheba T. Simpson-Amsterdam,Kristin Richardson Jordan,Athena Moore,Bernadette McNear,Ruth L. McDaniels,1,14
AD: 70 ED: 012,DEM ABS Ballot Style 46,2021P1V1_ABS,Bill Perkins,Cordell Cleare,skipped,skipped,skipped,1,14
AD: 70 ED: 012,DEM ABS Ballot Style 46,2021P1V1_ABS,Bill Perkins,William A. Allen,Ruth L. McDaniels,Keith Taylor,Pierre A. Gooding,1,14
AD: 70 ED: 012,DEM ABS Ballot Style 46,2021P1V1_ABS,Bill Perkins,Ruth L. McDaniels,skipped,skipped,skipped,1,14
AD: 70 ED: 012,DEM ABS Ballot Style 46,2021P1V1_ABS,Keith Taylor,Ruth L. McDaniels,William A. Allen,Athena Moore,Cordell Cleare,1,14
AD: 70 ED: 012,DEM ABS Ballot Style 46,2021P1V1_ABS,Cordell Cleare,Kristin Richardson Jordan,skipped,skipped,skipped,1,14
AD: 70 ED: 012,DEM ABS Ballot Style 46,2021P1V1_ABS,Cordell Cleare,Kristin Richardson Jordan,skipped,skipped,skipped,1,14
AD: 70 ED: 012,DEM ABS Ballot Style 46,2021P1V1_ABS,Athena Moore,skipped,skipped,skipped,skipped,1,14
AD: 70 ED: 012,DEM ABS Ballot Style 46,2021P1V1_ABS,Mario Rosser,skipped,skipped,skipped,skipped,1,14
